title,released,gf_score,metascore,genre,description,cover_art_url
Marvel vs. Capcom 2,2000,4.25,,Action » Fighting » 2D,"Marvel vs. Capcom 2: New Age of Heroes is a crossover fighting game developed and published by Capcom. It is the fourth installment in both the Marvel vs. Capcom series and Capcom's Vs. series respectively, which features characters from both Capcom's video game franchises and comic book series published by Marvel Comics. Originally released in Japanese arcades in 2000, the game received ports to the Dreamcast, PlayStation 2, PlayStation 3, Xbox, Xbox 360, and iOS devices over the span of twelve years.",https://images.launchbox-app.com/469dc5d4-33ed-4cab-b782-c3ea5b8ffaf5.jpg
The Last Blade 2,1998,4.25,,Action » Fighting » 2D,"The Last Blade 2 is a video game developed and released by SNK in 1998. Like its predecessor, The Last Blade, it is a weapons-based versus fighting game originally released to arcades via the Neo Geo MVS arcade system, although it has since been released for various other platforms.",https://images.launchbox-app.com/f38f3fb4-09ce-4dd8-8ad3-f7ed96ad35ad.png
Garou: Mark of the Wolves,1999,4.25,,Action » Fighting » 2D,"Garou: Mark of the Wolves (餓狼 MARK OF THE WOLVES Garō Mark of the Wolves, ""Hungry Wolf: Mark of the Wolves""), released as Fatal Fury: Mark of the Wolves on Dreamcast, is a 1999 fighting game produced by SNK, originally for the Neo Geo system. It is the eighth installment in the Fatal Fury series.",https://images.launchbox-app.com/49132c94-dc6c-4dfd-9fb7-74bd7eb9ef84.png
The King of Fighters '98: The Slugfest,1998-07-22,4.23,,Action » Fighting » 2D,"The King of Fighters '98 (KOF '98, subtitled Dream Match Never Ends in Japan and The Slugfest in the U.S.) is a fighting gamereleased by SNK for the Neo Geo arcade and home consoles in 1998. It is the fifth game in The King of Fighters series. It was advertised by SNK as a ""special edition"" of the series, as it featured most of the characters who appeared in the previous games (from KOF '94 to '97).",https://images.launchbox-app.com/2f95554e-3e45-483f-9712-bcb570fba04e.jpg
Street Fighter III: 3rd Strike - Fight for the Future,1999,4.22,,ction » Fighting » 2D,"Street Fighter III 3rd Strike: Fight for the Future (ストリートファイターⅢ サードストライク ファイト・フォー・ザ・フューチャー) is a 2D fighting game developed and published by Capcom, originally released for the arcades in 1999. It was ported to the Dreamcast, PlayStation 2, and Xbox between 2000 and 2010. A downloadable online version titled Street Fighter III: Third Strike Online Editionwas released on PlayStation Network and Xbox Live Arcade in 2011.",https://images.launchbox-app.com/f4fe60a0-94d2-4bce-a2f6-f5b1177855f8.png
Samurai Shodown II,1994,4.2,,Action » Fighting » 2D,Samurai Shodown II is a 1994 fighting game released as the second entry in SNK's Samurai Shodown series.,https://images.launchbox-app.com/c3b8c238-ae39-445a-ab44-87c4951cbd58.jpg
Wangan Midnight Maximum Tune 3,2007-07-18,4.19,,Racing » Simulation » Automobile,"Wangan Midnight (Japanese: 湾岸ミッドナイト Hepburn: Wangan Middonaito) is a Japanese racing manga series written and illustrated by Michiharu Kusunoki. It was first serialized in Shogakukan's Big Comic Spirits since 1990, but was later serialized in Kodansha's Young Magazine, in which Initial D is also serialized. In 1999, it won the Kodansha Manga Award for general manga. Years before Wangan Midnight was created, Michiharu Kusunoki worked on a similar series known as Shakotan Boogie.",
The King of Fighters XIII,2010-07-14,4.17,,Action » Fighting » 2D,"The King of Fighters XIII (Japanese: ザ・キング・オブ・ファイターズ XIII) is a fighting game in The King of Fighters series, developed and published by SNK Playmore originally in 2010. King of Fighters XIII was released for Japanese arcades on July 14, 2010, while ports for the Xbox 360 and PlayStation 3 were during late 2011 in Japan and English regions, with Atlus USA and Rising Star Gamesbeing in charge of releasing them in the United States and Europe respectively. Versions for iOS and Android followed in 2011–2012. A PC version was released on Steam on September 13, 2013.",https://images.launchbox-app.com/409e8826-3fbd-4988-8b9f-e689f5bafe4b.png
Street Fighter II: The World Warrior,1991,4.16,,Action » Fighting » 2D,"Street Fighter II is a competitive fighting game developed by Capcom and released for arcades in 1991. The sequel to the 1987 game Street Fighter, it adds multiple playable characters, each with their own fighting style, and features such as command-based special moves, a six-button configuration, and a combo system. It was the fourteenth Capcom game to use the CP System arcade system board.",https://images.launchbox-app.com/sf2.png
WWF WrestleFest,1991,4.16,,Sports » Individual » Combat » Wrestling,"WWF WrestleFest is a professional wrestling arcade game released by Technōs in 1991, featuring stars of the World Wrestling Federation(WWF). The game was distributed by Technōs in Japan and North America and by Tecmo in Europe and Australasia. It is the sequel to Technōs' previous WWF game, WWF Superstars. Compared to Superstars, WrestleFest adds a variety of different wrestlers to the roster as well as enhanced graphics and sound. There are more voice samples, including commentary and pre-match introductions by WWF ring announcer Mike McGuirk. The voiced cut scenes featuring Gene Okerlund from Superstars returned as well.",https://images.launchbox-app.com/0485a77a-2f1b-4c24-8081-aa307e2a94c7.jpg
Vampire Savior: The Lord of Vampire,1997-05-,4.15,,Action » Fighting » 2D,Vampire: Darkstalkers Collection (ヴァンパイア ダークストーカーズコレクション Vanpaia Dākusutāzu Korekushon) is a compilation of all five Darkstalkers arcade games that were released in Japan only for the PlayStation 2 in 2005. Darkstalkers Collection was also released together with Hyper Street Fighter II: The Anniversary Edition as part of one of the Value Pack compilations for the PS2 in 2008 in Japan.,https://images.launchbox-app.com/f01a8a13-f3f9-4d7a-94d5-76f207f8c415.jpg
Metal Slug 3,2000,4.14,,Action » Shooter » Shoot-'Em-Up » Horizontal,"Metal Slug 3 (メタルスラッグ 3) is a run and gun video gamedeveloped by SNK. It was originally released in 2000 for the Neo-Geo MVS arcade platform as the sequel to Metal Slug 2/Metal Slug X. The music of the game was developed by Noise Factory. The game was later ported to the PlayStation 2, Xbox (not compatible with Xbox 360), Xbox Live Arcade, Virtual Console, Microsoft Windows, iOS, Android, Wii, PlayStation Portable, PlayStation 3, PlayStation 4, PlayStation Vita, and Nintendo Switch. The game added several new features to the gameplay of the original Metal Slug and Metal Slug 2, such as new weapons and vehicles, as well as introducing branching paths into the series. It received generally positive reviews.",https://images.launchbox-app.com/10a1289e-f77d-4cef-b1bf-51d5d53893ad.png
Samurai Shodown IV,1996,4.14,,Action » Fighting » 2D,"Samurai Shodown IV: Amakusa's Revenge, also known as Samurai Spirits: Amakusa's Descent (サムライスピリッツ天草降臨 Samurai Supirittsu Amakusa Kōrin, TenSamu in short) in Japan, is the fourth in SNK's flagship Samurai Shodown series of fighting games. Chronologically, it is the second and final chapter of a story between Samurai Shodown and Samurai Shodown II, with Samurai Shodown III being the first chapter.",https://images.launchbox-app.com/860e4c01-a071-4ac6-93dc-b121bb02ad09.png
Tekken 3,1997-03-20,4.13,,Action » Fighting » 3D,"Tekken 3 (Japanese: 鉄拳3) is a fighting game, the third installment in the Tekken series. It was released in arcades in March 1997, and for the PlayStation in 1998. The original arcade version of the game was released in 2005 for the PlayStation 2 as part of Tekken 5's Arcade History mode. The game was re-released in 2018 as part of Sony's PlayStation Classic.",https://images.launchbox-app.com/a5ec760a-dcea-4038-806e-34e74c4f47c8.jpg
