title,released,gf_score,metascore,genre,description,cover_art_url
H.E.R.O.,1984-03-23,4.14,,Action - General,"Hero Games (DOJ, Inc dba Hero Games) is the publisher of the Hero System, a generic roleplaying rules set that can be used to simulate many different genres, and was the co-developer of the Fuzionsystem.",https://images.launchbox-app.com/72254079-9255-4279-9273-f8f32952ac4e.jpg
River Raid,1982,3.92,,Action - Shooter - Shoot-'Em-Up - Vertical,"River Raid is a vertically scrolling shooter designed and programmed by Carol Shaw and published by Activision in 1982 for the Atari 2600video game console. Over a million game cartridges were sold.Activision later ported the title to the Atari 5200, ColecoVision, and Intellivision consoles, as well as to the Commodore 64, IBM PCjr, MSX, ZX Spectrum, and Atari 8-bit family. Shaw did the Atari 8-bit and Atari 5200 ports herself.",https://images.launchbox-app.com/4d489264-8e10-4465-8b21-331f5794f5ca.jpg
Warlords,1981,3.87,,Action - General,"Warlords is an arcade game released by Atari, Inc. in 1980. The game resembles a combination of Breakout and Quadrapong (an early Atari arcade game) in the sense that not only can up to 4 players play the game at the same time, but also the ""castles"" in the four corners of the screen are brick walls that could be broken with a flaming ball.",https://images.launchbox-app.com/7ffd6eaa-8a1f-4dc8-9e0b-56e68c5633e5.jpg
Ms. Pac-Man,1982,3.86,,Action - Arcade,"Ms. Pac-Man is the second game in the Pac-Man series, released in arcades in February 1982. Ms. Pac-Man introduced a female protagonist, four different mazes, more colorful graphics, and several gameplay changes.",https://images.launchbox-app.com/4a13dc30-0892-4de5-86e2-2f43e7f70c22.jpg
Yars' Revenge,1982-05,3.84,,Action - Shooter - Shoot-'Em-Up - Top-Down,Yars' Revenge is a video game released for the Atari 2600 in 1982. It was created by Howard Scott Warshaw and is Atari's best-selling original title for the 2600.:236-240,https://images.launchbox-app.com/abd1f684-286a-424a-ac92-060b9b5abe80.jpg
Keystone Kapers,1983-04,3.8,,Action - Platformer - 2D,"Keystone Kapers is a video game published by Activision for the Atari 2600 in April 1983, and later ported to the Atari 5200, Atari 8-bit family, ColecoVision, and in 1984, MSX. Inspired by Mack Sennett's slapstick Keystone Cops series of silent films, the object of the game is for Officer Keystone Kelly (the player) to catch Harry Hooligan before he can escape from a department store. Keystone Kapers was written by Activision designer Garry Kitchen.",https://images.launchbox-app.com/d9915962-e78b-4ce0-b5c9-532dc7530726.jpg
Seaquest,1983,3.79,,Action - Shooter - Shoot-'Em-Up - Horizontal,"SeaQuest DSV (stylized as seaQuest DSV and also promoted as simply seaQuest) is an American science fiction television series created by Rockne S. O'Bannon. It originally aired on NBC between 1993 and 1996. In its final season, it was renamed seaQuest 2032. Set in ""the near future""—originally the year 2018 in the first season—seaQuest DSV originally mixed high drama with realistic scientific fiction. It originally starred film star Roy Scheider as Captain Nathan Bridger, designer and commander of the eponymous naval submarineseaQuest DSV 4600. Jonathan Brandis also starred as Lucas Wolenczak, a teenaged computer genius placed aboard seaQuest by his father and Stephanie Beacham as Kristin Westphalen, the chief medical officer and head of the seaQuest science department. In the third season, Michael Ironside replaced Scheider as lead of the series and starred as Captain Oliver Hudson. Also present was a dolphin character called Darwin who, due to technological advances, was able to communicate with the crew. Steven Spielberg expressed interest in the project and served as one of the show's executive producers during the first two seasons.",https://images.launchbox-app.com/1245ce72-9965-4467-8dfe-90dadacb6d7c.jpg
Super Breakout,1978,3.79,,Action - Arcade,"Super Breakout was released in arcades in September 1978 as the sequel to Atari, Inc.'s Breakout from 1976. It was designed by Ed Rotberg, who later designed Battlezone for Atari. The game uses the same mechanics as Breakout, but allows the selection of three distinct game modes via a knob on the cabinet and introduced multiple, simultaneous balls to the series. Atari published home versions for most of its consoles and computers, including as the pack-in game for the Atari 5200 console.",https://images.launchbox-app.com/e9b17553-da30-4790-af9b-aff315cb91a3.jpg
Space Invaders,1980,3.79,,Action - Shooter - Shoot-'Em-Up - Vertical,"Space Invaders (Japanese: スペースインベーダー Hepburn: Supēsu Inbēdā) is a 1978 arcade game created by Tomohiro Nishikado. It was manufactured and sold by Taito in Japan, and licensed in the United States by the Midway division of Bally. Within the shooter genre, Space Invaders was the first fixed shooter and set the template for the shoot 'em up genre. The goal is to defeat wave after wave of descending aliens with a horizontally moving laser to earn as many points as possible.",https://images.launchbox-app.com/cd8e20ce-2ba0-4627-93a1-b11ead5b5474.jpg
Adventure,1979,3.78,,Action Adventure - General,"This article is about the video game genre. For the board game genre, see Adventure board game. For the television series, see The Adventure Game. For games that take place in real life, see Real-life room escape. For games named ""Adventure"", see Adventure (disambiguation).",https://images.launchbox-app.com/65565aab-8b4d-470b-b10b-4c702f1a71e8.jpg
Pitfall II: Lost Caverns,1983-09-16,3.78,,Action - Platformer - 2D,"Pitfall II: Lost Caverns is a platform video game originally released for the Atari 2600 by Activision in 1984, the sequel to Pitfall! (1982). Both games were designed and programmed by David Crane and star jungle explorer Pitfall Harry. Pitfall II's major additions are a much larger world with vertical scrolling, rivers to swim in, and balloons that can be grabbed to float between locations.",https://images.launchbox-app.com/2f5c9398-7fd1-4a3a-9dd6-b433469a0c82.jpg
Enduro,Feb-83,3.77,,Racing - Arcade - Automobile,"Enduro is a racing video game designed by Larry Miller for the Atari 2600 and published by Activision in 1983. Miller previously wrote Spider Fighter for Activision. The object of the game is to complete an endurance race, passing a certain number of cars each day to continue the next day. Enduro features a day and night cycle, which was still a new concept at the time.",https://images.launchbox-app.com/1f9d80ac-43ba-49dd-8075-e8efe8a7106b.jpg
Kaboom,1981,3.75,,Action - Arcade,"Kaboom! is an Activision video game published in 1981 for Atari 2600 that was designed by Larry Kaplan. David Crane coded the overlaid sprites. It was well-received and successful commercially, selling over one million cartridges by 1983.",https://images.launchbox-app.com/bc6ce1e7-dc69-4f39-a997-a4c151109951.jpg
Moon Patrol,1983,3.75,,Action - Shooter - Shoot-'Em-Up - Vertical,"Moon Patrol (ムーンパトロール Mūn Patorōru) is an arcade game by Irem released in 1982. It was licensed to Williams for distribution in North America. Moon Patrol is widely credited for the introduction of parallax scrolling in side-scrolling video games. Taito's Jungle Huntside-scroller, released the same year as Moon Patrol, also features parallax scrolling.",https://images.launchbox-app.com/78bfa809-9eed-43d4-92ac-fe58283e6844.jpg
Cosmic Ark,1982,3.73,,Action - Shooter - Shoot-'Em-Up - Top-Down,"Cosmic Ark is an Atari 2600 game designed by Rob Fulop and published by Imagic in 1982. The game is loosely connected with Imagic's Atlantis, in that the same small spacecraft appears in both games. The objective is to gather specimens from different planets in a spaceship which contains the survivors from the city of Atlantis.",https://images.launchbox-app.com/61cdbcda-1ca8-4f83-9cd2-76b683b31d3a.jpg
Millipede,1984,3.73,,Action - Shooter - Shoot-'Em-Up - Vertical,"Millipede (stylized millipede or Milli-Pede) is a 1982 arcade gameby Atari, Inc. and is the sequel to the arcade hit Centipede with more gameplay variety and a wider array of insects than the original. The objective is to score as many points as possible by destroying all segments of the millipede as it moves toward the bottom of the screen, as well as destroying and avoiding other enemies. The game is played with a trackball and a single fire button, which can be held down for rapid-fire.",https://images.launchbox-app.com/07a6136a-5822-4641-b132-cabe7b55be30.jpg
Dig Dug,1983,3.73,,Action - Arcade,"Dig Dug is a maze arcade game developed and released by Namco in 1982. The player controls the titular character, who must eliminate all of the enemies on the screen by pumping them up with air until they explode or causing rocks to fall on them. The game was published by Atari, Inc. in North America and Europe. It runs on Namco Galaga arcade hardware.",https://images.launchbox-app.com/549bd4ee-8a78-4213-9bfc-1a753b15f16f.jpg
Jr. Pac-Man,1984,3.72,,Action - Arcade,"r. Pac-Man is an arcade game, released by Bally Midway on August 13, 1983. It is based on Pac-Man and its derivatives but, like Baby Pac-Man, and Pac-Man Plus, was created without the authorization of Namco. This was one of several games that would eventually lead to the termination of the licensing agreement between Namco and Bally Midway in 1984. Unlike prior games in the series, the maze in Jr. Pac-Man scrolls horizontally.",https://images.launchbox-app.com/e323daa1-6a42-4527-a11b-9f938df9a32c.jpg
Frogger,1982,3.72,,Action - Arcade,Frogger (フロッガー (Furoggā)) is a 1981 disc game developed by Luigi De stefano. The object of the game is to direct frogs to their homes one by one by crossing a busy road and navigating a river full of hazards.,https://images.launchbox-app.com/117cb987-983f-4cbc-b43f-fd854cea802d.jpg
Spider Fighter,1983,3.7,,Action - Shooter - Shoot-'Em-Up - Vertical,"Spider Fighter is a fixed shooter designed by Larry Miller for the Atari 2600 and published by Activision in 1982. The manual states that ""Larry is the newest addition to the Activision design team."" He went on to create the Atari 2600 racing game Enduro for Activision, released in 1983.",https://images.launchbox-app.com/1a74b288-6c81-4153-9b8a-7362aa98b768.jpg
