title,released,gf_score,metascore,genre,description,cover_art_url
Jungle Hunt,1983,4.44,,Action - Platformer - 2D,"Jungle Hunt (ジヤングル・ハン卜) is a right-to-left side-scrolling arcade game produced and released by Taito in 1982. It was initially released as Jungle King, but changed as a result of copyright disputes. Published the same year as Moon Patrol, Jungle Hunt is one of the first video games to use parallax scrolling.",https://images.launchbox-app.com/fdc57a00-54d8-4975-9725-65426a300777.jpg
Journey to the Planets,1983,4.44,,Adventure - 3D - Third-Person,"Journey to the Planets is game for the Atari 8-bit family. The player takes on the role of an interplanetary adventurer who has to solve various puzzles on the planets on which he lands. The game was originally released on disk and cassette in 1982 by JV Software. In 1983, Roklan Software published a cartridge version with some differences from the original",
Fort Apocalypse,1982,4.43,,Action - Shooter - Shoot-'Em-Up - Horizontal,"Fort Apocalypse is video game for the Atari 8-bit family created by Steve Hales and published by Synapse Software in 1982. Joe Vierra ported it to the Commodore 64 the same year. Fort Apocalypse is a multi-directional scrolling shooter where the player navigates an underground prison in a helicopter, destroying or avoiding enemies and rescuing the prisoners. A contemporary of Choplifter, it has similarities to that game as well as the arcade games Scramble and Super Cobra.",https://images.launchbox-app.com/23396947-888e-4664-a855-eb4ffbba1cca.jpg
Andromeda Conquest,1982,4.43,,Strategy  -Turn-Based - General,"Andromeda Conquest is a 1982 strategy video game released for the Apple II, Atari 8-bit family, Commodore PET, MS-DOS, and TRS-80. It is notable for its influence on the 4X game genre.",https://images.launchbox-app.com/bfff4966-f7b0-4256-9b55-0f411e62f1b3.jpg
Time Machine,1990,4.42,,Action Adventure - General,"Time Machine is an American game show where contestants compete to answer trivia questions about popular culture and recent history to win prizes. The show aired on NBC from January 7 through April 26, 1985, and was hosted by John Davidson. Charlie Tunawas the announcer, with Rich Jeffries as his substitute. Reg Grundy Productions produced the series, and upon its premiere Time Machine was one of three Grundy series airing on NBC (Sale of the Century, which followed Time Machine on NBC's daytime schedule, and Scrabble were the other two).",https://images.launchbox-app.com/8ef5dd4d-e8a6-47cc-8ee0-379e9668b8dd.jpg
Gorf,1982,4.36,,Action - Shooter - Shoot-'Em-Up - Vertical,"Gorf is an arcade game released in 1981 by Midway Mfg., whose name was advertised as an acronym for ""Galactic Orbiting Robot Force"". It is a multiple-mission fixed shooter with five distinct modes of play, essentially making it five games in one. The game makes heavy use of synthesized speech, powered by the Votrax speech chip. One of the first games to allow the player to buy additional lives before starting the game, Gorf allows the player to insert extra coins to buy up to seven starting lives.",https://images.launchbox-app.com/589c421c-d75c-4345-8d70-2f44ce82ed03.jpg
Donkey Kong Junior,1984-06-01,4.36,,Action - Platformer - 2D,"Donkey Kong Jr. is a 1982 platform game that was released by Nintendo. It is the sequel to Donkey Kong, which featured Mario as the hero and Donkey Kong Junior's father as the villain; the roles are reversed here. It first appeared in arcades, and, over the course of the 1980s, was released for a variety of home platforms. The game's title is written out as Donkey Kong Junior in the North American arcade version and various ports to non-Nintendo systems.",https://images.launchbox-app.com/6002bcbc-d341-4455-bf6e-322cc6b09e06.jpg
Blue Max,1983,1983,,Action - Shooter - Shoot-'Em-Up - Vertical,"Blue Max is a video game written by Bob Polin for the Atari 8-bit family and published by Synapse Software in 1983. It was released for the Commodore 64 the same year, and in 1984 it was ported to the ZX Spectrum by U.S. Gold. In 1987 Atari Corp. published it in cartridge form for the then-new Atari XEGS.",https://images.launchbox-app.com/1bdd023c-334d-4682-8722-739751b0e86d.jpg
Crystal Castles,1988,4.33,,Action - General,"Crystal Castles is an arcade game released by Atari, Inc. in 1983. The player controls the character Bentley Bear who has to collect gems located throughout trimetric-projected rendered castles while avoiding enemies out to get him as well as the gems. Crystal Castles is one of the first arcade action games with an actual ending, instead of continuing indefinitely, looping, or ending in a kill screen, and to contain advance warp zones.",https://images.launchbox-app.com/fb73f834-add1-48df-9eda-7feda13802a4.jpg
Night Mission Pinball,1982,4.33,,Action - Pinball,Night Mission Pinball is a pinball simulation video game released by subLOGIC in 1982. It was developed by Bruce Artwick for the Apple II and was ported to several other home computers.,https://images.launchbox-app.com/46ec89a0-5024-45de-9630-187951888284.jpg
F-15 Strike Eagle,1984,4.33,,Simulation - Flight - Combat,"F-15 Strike Eagle is an F-15 Strike Eagle combat flight simulator first released in 1984 by MicroProse. It is the first in the F-15 Strike Eagle series comprising also the sequels F-15 Strike Eagle II and F-15 Strike Eagle III. It was initially released for the Atari 8-bit family, Apple II, and Commodore 64, followed by ports to other systems. An arcade version of the game was released simply as F-15 Strike Eagle in 1991. It uses higher-end hardware than was available in home systems, including the TMS34010 graphics-oriented CPU.",https://images.launchbox-app.com/dd2fbaea-f510-499c-9e14-0e646f333f89.jpg
