title,released,gf_score,metascore,genre,description,cover_art_url
Shenmue II,2001-11-23,4.58,N/A,Action Adventure - Open-World,"Shenmue II is an action-adventure game developed by Sega AM2 and published by Sega for the Dreamcast in 2001. It was directed, produced and written by Yu Suzuki. Like the original Shenmue, Shenmue II consists of open-world environments interspersed with brawler battles and quick time events. It features a day-and-night system, variable weather effects, non-player characters with daily schedules, and various minigames. The player controls teenage martial artist Ryo Hazuki as he arrives in Hong Kong in 1987 in pursuit of his father's killer. His journey takes him to Kowloon and the mountains of Guilin, where he meets a girl who is part of his destiny.",https://images.launchbox-app.com/c2cea214-407c-43ef-87fe-121e9cd90388.jpg
Skies of Arcadia,2000-11-13,4.46,93,Role-Playing - Japanese-Style,"Skies of Arcadia is a role-playing video game developed by Overworks for the Dreamcast and published by Sega in 2000. Players control Vyse, a young air pirate, and his friends as they attempt to stop the Valuan Empire from reviving ancient weapons with the potential to destroy the world.",https://images.launchbox-app.com/48c56aa7-bf3a-427c-895e-8fea8fc290b4.jpg
SoulCalibur,1999-09-08,4.45,88,Action - Fighting - 3D,"Soulcalibur series (ソウルキャリバー シリーズ Sōrukyaribā shirīzu) is a weapon-based fighting video game franchise by Bandai Namco Entertainment. There are seven main installments of video games and various media spin-offs, including music albums and a series of manga books. Originally released as an arcade game, Soul Edge, in 1995 and later ported to video game consoles, more recent versions have been released for consoles only and have evolved to include online playing modes.",https://images.launchbox-app.com/soulclbr.png
Shenmue,2000-11-07,4.36,88,Action Adventure - Open-World,"Shenmue is an action-adventure game series created, produced and directed by Yu Suzuki. Shenmue and Shenmue II were developed by Sega AM2 and published by Sega for Dreamcast in 1999 and 2001 respectively; Shenmue II was ported to Xbox in 2002. Shenmue III, developed by Suzuki's company Ys Net, is due for release in 2019 for PlayStation 4 and Windows.",https://images.launchbox-app.com/ff89b02e-8cad-414d-aacf-28dd7e674cb1.jpg
Marvel vs. Capcom 2,2000-06-29,4.35,90,Action - Fighting - 2D,"Marvel vs. Capcom 2: New Age of Heroes is a crossover fighting game developed and published by Capcom. It is the fourth installment in both the Marvel vs. Capcom series and Capcom's Vs. series respectively, which features characters from both Capcom's video game franchises and comic book series published by Marvel Comics. Originally released in Japanese arcades in 2000, the game received ports to the Dreamcast, PlayStation 2, PlayStation 3, Xbox, Xbox 360, and iOS devices over the span of twelve years.",https://images.launchbox-app.com/b993f8ed-6818-49e1-9ae3-7ea43eafec94.jpg
Resident Evil 2,2000-12-06,4.34,77,Action Adventure - Survival,"Resident Evil 2 is a survival horror game developed and published by Capcom and released for the PlayStation in 1998. The player controls Leon S. Kennedy and Claire Redfield, who must escape Raccoon City after its citizens are transformed into zombies by a biological weapon two months after the events of the original Resident Evil. The gameplay focuses on exploration, puzzles, and combat; the main difference from its predecessor are the branching paths, with each player character having unique storylines and obstacles.",https://images.launchbox-app.com/9654917b-569f-482b-90f7-393ad49d7480.jpg
Street Fighter III: 3rd Strike,2000-10-04,4.32,84,Action - Fighting - 2D,"Street Fighter III 3rd Strike: Fight for the Future (ストリートファイターⅢ サードストライク ファイト・フォー・ザ・フューチャー) is a 2D fighting game developed and published by Capcom, originally released for the arcades in 1999. It was ported to the Dreamcast, PlayStation 2, and Xbox between 2000 and 2010. A downloadable online version titled Street Fighter III: Third Strike Online Edition was released on PlayStation Network and Xbox Live Arcade in 2011",https://images.launchbox-app.com/dd982175-85a1-4e07-a37c-7eb24213c3e6.jpg
Rez,2002-01-11,4.32,N/A,Action - Shooter - Rail,"Rez is a musical rail shooter developed by United Game Artists and published by Sega for the Dreamcast and PlayStation 2. It was released in Japan on November 2001, followed by releases to the United States and Europe in January 2002. The game has since seen two remasters: Rez HD, released to the Xbox Live Arcade in 2008, and Rez Infinite, developed for PlayStation VR and released to the PlayStation Network in October 2016 and Microsoft Windows in August 2017. Inspired by the work of Russian painter, Wassily Kandinsky, the game was developed under the working title K-Project, and was conceptualized and produced by Tetsuya Mizuguchi. Rez is notable for replacing the typical sound effects found in most rail shooters with electronic music. The player creates sounds and melodies as they target and destroy foes in the game, leading to a form of synesthesia.",https://images.launchbox-app.com/01a76bb2-c1e9-4b92-96b7-09ffcc7e61af.jpg
Street Fighter Alpha 3,2000-05-31,4.3,N/A,Action - Fighting - 2D,"Street Fighter Alpha 3 is a 2D competitive fighting game originally released by Capcom for the arcades in 1998. It is the third game in the Street Fighter Alpha sub-series, which serves as a prequel to Street Fighter II, and ran on the same CP System II hardware as previous Alpha games. The game was produced after the Street Fighter III sub-series has started, being released after 2nd Impact, but before 3rd Strike. Alpha 3 further expanded the playable fighter roster from Street Fighter Alpha 2 and added new features such as selectable fighting styles called ""isms"".",https://images.launchbox-app.com/130d5e4c-f5ba-48f8-932d-2546f6986d04.jpg
Phantasy Star Online Ver. 2,2001-09-24,4.28,80,Role-Playing - General,"Phantasy Star Online is an online role-playing game (RPG) developed by Sonic Team and published by Sega in 2000 for the Dreamcast. It was the first online RPG for game consoles; players adventure with up to three others over the internet to complete quests, collect items, and fight enemies in real-time action RPG combat. The story is unrelated to previous games in the Phantasy Star series.",https://images.launchbox-app.com/497a2336-21e7-4d7e-b44c-f28f3f99b8d0.jpg
