title,released,gf_score,metascore,genre,description,cover_art_url
The Legend of Zelda: Link's Awakening,1993-08,4.41,,Action Adventure,"A Game Boy fantasy adventure like no other! Nintendo's fantasy adventure hero, Link of Hyrule, returns in this new epic quest...Link's Awakening. Link's newest challenge is set on the mysterious Koholint Island, a place where dreams and reality collide. As a castaway, Link must find a way to escape from the island and return to his beloved homeland of Hyrule. But it won't be as easy as chartering a boat.",https://i.postimg.cc/MHZf69MZ/fcbdbf5a-0614-4ccf-9e29-f62ae578facb.png
Pokemon Blue Version,1998-09-28,4.29,,Role-Playing,"Pokémon Red Version and Pokémon Blue Version are role-playing video games developed by Game Freak and published by Nintendo for the Game Boy. They are the first installments of the Pokémon series. They were first released in Japan in 1996 as Pocket Monsters Red and Pocket Monsters Green, with the special edition Pocket Monsters Blue being released in Japan later that same year. The games were later released as Pokémon Red and Blue in North America and Australia in 1998 and Europe in 1999.",https://i.postimg.cc/wMPqC2DG/6f6d894a-b6c5-494e-9b68-91ae09052bf2.jpg
Pokemon Red Version,1998-09-28,4.28,,Role-Playing,"Pokémon Red Version and Pokémon Blue Version are role-playing video games developed by Game Freak and published by Nintendo for the Game Boy. They are the first installments of the Pokémon series. They were first released in Japan in 1996 as Pocket Monsters Red and Pocket Monsters Green, with the special edition Pocket Monsters Blue being released in Japan later that same year. The games were later released as Pokémon Red and Blue in North America and Australia in 1998 and Europe in 1999.",https://i.postimg.cc/Qx1VLLng/2a4520a5-d3d5-404b-959a-7766800f13f7.png
Pokemon Yellow Version: Special Pikachu Edition,1999-10-18,4.27,,Role-Playing,"Pokémon Yellow Version: Special Pikachu Edition more commonly known as Pokémon Yellow Version, is a 1998 role-playing video game developed by Game Freak and published by Nintendo for the Game Boy handheld video game console. It is an enhanced version of Pokémon Red and Blue, loosely based on the anime, and is part of the first generation of the Pokémon series. Along with the release of Pokémon Yellow, a special edition yellow Pokémon-themed Game Boy Color was also released.",https://i.postimg.cc/52f4ZXz1/dbd48fd8-3c28-4b68-b969-743827505f4c.jpg
Tetris,1989-06,4.21,,Puzzle,"The Soviet game sensation! Beams, boxes, zig-zags and L-shaped blocks drop down a narrow passage. Feel your pulse quicken as you spin, shift and align the shapes for a perfect fit. It's challenging and demands split-second decision making! Start at new heights for a tougher contest. Pick the music and set your pace from 20 progressive skill levels!",https://i.postimg.cc/nzmfsxm0/f1514adc-27cb-4a30-8fee-a9bcb52c21cb.jpg
Mega Man V,1994-09,4.16,,Action,Mega Man V is a video game published by Capcom for the Game Boy handheld game console. It is the fifth game in the Game Boy version of the original Mega Man series. The game follows the adventures of the protagonist Mega Man as he must defend the Earth from a group of powerful robots from outer space called the Stardroids. Mega Man V is unique among the Game Boy Mega Man games as it features original bosses rather than recycling those from the Nintendo Entertainment System (NES) Mega Man games.,https://i.postimg.cc/4NL2TM7d/e192c377-e9e8-44d8-b026-1d39cb267524.jpg
Donkey Kong,1994-06,4.14,,Action,"Donkey Kong returns to Game Boy! This famous ape has kidnapped Pauline and climbed to the top of a perilous skyscraper. Challenged by many perils and unending puzzles, Mario must reach his arch rival. As he makes his way Mario will need to gather disappearing keys to unlock doors of hidden rooms. Donkey Kong devises evil tricks to confuse and trap him. Our heroic plumber has his hands full this time! Donkey Kong is a platform game developed in 1994 by Nintendo for the Game Boy handheld video game system, which also contains puzzle elements. Donkey Kong is loosely based on the 1981 arcade game of the same name and its sequel Donkey Kong Jr. The game was known under the working title Donkey Kong '94 before the release.",https://i.postimg.cc/tTktNZFT/d83a28ce-3e0b-41d9-ba84-055d18fbd0a0.jpg
Pokemon Green,1996-02-27,4.1,,Role-Playing,"Pokemon Green or Pocket Monsters Green is the first of the original Pokemon hand held games released. Within this game, players are young Pokemon trainers who set out upon the continent of Kanto. Your dream is to become a Pokemon master, catch all 151 known Pokemon, defeat the 8 Gym Leaders, and then beat the Elite Four for Pokemon Fame!",https://i.postimg.cc/CLBkz6rd/b5aba88c-0e63-4fd1-be64-5aa5f58ae765.jpg
Super Mario Land 2: 6 Golden Coins,1992-11,4.03,,Action,"Super Mario Land 2: 6 Golden Coins is a platforming video game developed and published by Nintendo for the Game Boy, and is the sequel to Super Mario Land, also on the Game Boy. It was released in Japan on October 21, 1992, in North America on November 2, 1992, and in Europe on January 28, 1993. Super Mario Land 2 was created by director Hiroji Kiyotake rather than Mario series creator Shigeru Miyamoto.",https://i.postimg.cc/jdP6MFHm/905e6085-6f44-47f5-bdd5-dbbbf9ca5df8.png
Kaeru no Tame ni Kane wa Naru,1992-09-14,4,,Role-Playing,"Kaeru no Tame ni Kane wa Naru, also referred to as The Frog for Whom the Bell Tolls, is an action role-playing video game developed by ""Team Shikamaru"" of Nintendo's Research and Development 1 division, in cooperation with the external company Intelligent Systems. It was published by Nintendo for the Game Boy and released in Japan on September 14, 1992.",https://i.postimg.cc/pT55pmk4/5b6c949b-ea99-45c4-8540-9dfad3b2c2cf.jpg
Super Mario Land 3: Wario Land,1994-03-13,3.96,,Action,"Wario Land: Super Mario Land 3 is a platform game developed by Nintendo for the Game Boy in 1994. It is the first video game to feature Wario as both a playable character and the main character, as well as the first appearance of Captain Syrup and her Brown Sugar Pirates, recurring villains in the Wario Land series.",https://i.postimg.cc/jdP9yvLd/2814ca70-c3ca-490a-957a-5d6ad40de69c.jpg
Kirby's Dream Land 2,1995-05-01,3.95,,Action,"Kirby's Dream Land 2 is a platforming video game developed by HAL Laboratory and published by Nintendo for the Game Boy handheld video game console. It was released in Japan on March 21, 1995, and in North America on May 1, 1995. It was released in Europe on July 31, 1995. Kirby's Dream Land 2 continues the adventures of Kirby from Kirby's Dream Land and Kirby's Adventure, adding three animal friends to aid Kirby in battle. It can be played on the Super Game Boy, and gives slight changes to the game, such as adding a custom color scheme, a special game border, and a few new sound effects.",https://i.postimg.cc/26NTjN7Q/1133101d-c36a-41c5-8395-2d55d8a2252c.png
Wario Land II,1998-03-02,3.93,,Action,"Wario Land II is a platform game released for the Game Boy in 1998. It was later remade to take advantage of the Game Boy Color hardware. In the game, Wario has to recover his treasure from Captain Syrup and her Black Sugar Gang (formerly the Brown Sugar Pirates). The Game Boy Color version was released for Virtual Console in 2012.",https://i.postimg.cc/x80wCz33/f3fa6a02-cba1-4c4f-a29b-d6df0a41b313.png
Mega Man IV,1993-12,3.93,,Action,"Mega Man IV is a action-platform video game by Capcom for the Nintendo Game Boy. It is the fourth installment in the handheld version of the Mega Man series. The game continues the quest of the protagonist Mega Man in the struggle with his long-time nemesis Dr. Wily, who sends out a disruptive radio signal to cause a rampage, citywide destruction from dormant robots. Mega Man IV features the traditional action platforming gameplay of the prior games while introducing one new feature, the ability to purchase items with power-ups found throughout each stage.",https://i.postimg.cc/vBvKpmwg/2dd225b2-5777-4c65-a9fd-6e33a2c2b012.png
Mole Mania,1997-02,3.9,,Puzzle,"Mole Mania is a 1996 video game developed by Nintendo EAD and Pax Softnica, and published by Nintendo for the original Game Boy. It is also one of the least known works of Shigeru Miyamoto. The game was re-released for the Nintendo 3DS Virtual Console in all major regions throughout 2012.",https://i.postimg.cc/tgQmJ6Xn/99cebe9a-e953-4e78-8b71-eceee115422f.jpg
Final Fantasy Adventure,1991-11,3.88,,Role-Playing,"Final Fantasy Adventure, originally released in Japan as Seiken Densetsu: Final Fantasy Gaiden, and later released in Europe as Mystic Quest, is a Final Fantasy spinoff and the first game in the Mana series. Published by Square in 1991 on the Game Boy, it saw a North American re-release by Sunsoft in April 1998.",https://i.postimg.cc/yxbLHgQd/32d87fb7-7d9b-4c23-afa7-a71fb2c3e579.png
Mario's Picross,1995-03,3.86,,Puzzle,"Mario's Picross is a 1995 puzzle video game for the Game Boy. Developed by Jupiter and Ape and published by Nintendo, it is a compilation of nonogram logic puzzles. The game stars Mario who chisels away at puzzle grids to form pictures. The game initially received positive reviews, with reviewers citing its length and addictive nature as a positive, but its grid sizes and absence of typical Mario elements as a negative.",https://i.postimg.cc/257T5Xcg/8d14ae73-12aa-47f2-b5d7-bdc5d4ee77bc.jpg
Lock 'n' Chase,1990-07,3.83,,Action,"Lock 'n' Chase is a 1981 maze arcade game developed and published by Data East in Japan in 1981, and later published in North America by Taito. Lock 'n' Chase was Data East's response to Pac-Man. The game was licensed to Mattel who produced the Intellivision and Atari 2600 home console versions in 1982 and an Apple II version in January 1983.",https://i.postimg.cc/s2m9zG1r/bcce19e1-659f-4b45-90fc-ec5d55f47b2d.jpg
Gradius: The Interstellar Assault,1992-01,3.83,,Action,"Nemesis II, released as Gradius: The Interstellar Assault in North America and Nemesis II: The Return of the Hero in Europe, is the second Game Boy game in the Gradius series. The game was later ported to the Konami GB Collection series of Super Game Boy and Game Boy Color compilations; it can be found in the Japanese Vol. 3 and the European Vol. 4. Like Nemesis before it, these versions were renamed Gradius II for the Japanese Vol. 3 and Gradius II: The Return of the Hero for the European Vol. 4.",https://i.postimg.cc/dtC21xDn/0e6dbeac-c9b7-4a1e-a9ff-2b19b8142193.jpg
Bionic Commando,1992-10,3.83,,Action,"Swing into action against the forces of evil! A ruthless army stands ready for war and the one man who can stop it has disappeared. Now, in a desperate fight for survival, the world tums to an elite group of men and women to put an end to the threat. More than simple soldiers, they are the Bionic Commandos. Drop behind the lines with Rad Spencer as he infiltrates the Doraize military stronghold. Blast your way through enemy lines with your assault rifle and gather the information needed to rescue Super Joe. Tap enemy communications to learn the dark secrets of director Wiseman and then come face to face with the awesome might of his mysterious Albatross Project!",https://i.postimg.cc/sxhhMMf1/65cf032a-d71d-42bb-8073-31c0181dfe66.jpg
Disney's DuckTales 2,1993-11,3.81,,Action,"DuckTales 2 is a platform video game developed by Make Software and published by Capcom. It is a sequel to the original DuckTales based on the Disney animated series of the same name. It was released on the Nintendo Entertainment System in early 1993, 3 years after the series was ended. The title was ported to the Game Boy handheld system in Japan and North America at the end of the year.",https://i.postimg.cc/GtyMJPxC/dbe5bcc5-5ea7-4e95-a59c-b0bc7a9a5806.jpg
Catrap,1990-09,3.8,,Puzzle,"Catrap, also known as Pitman in Japan, is a puzzle-platform video game originally developed for the Sharp MZ-700 computer in 1985 and released by Asmik for the Nintendo Game Boy in 1990. The Game Boy version was rereleased on the Nintendo 3DS Virtual Console in October 2011. Destructoid credits the game with using a time-rewind mechanic before games like Blinx, Prince of Persia: The Sands of Time, and Braid.",https://i.postimg.cc/D0Lgbv7f/a87db6cc-2ed2-49eb-9ff6-24340084c1cb.jpg
Gargoyle's Quest,1990-07,3.8,,Action Adventure,"Gargoyle's Quest: Ghosts 'n Goblins is an action-adventure game for the original Game Boy.Developed by Capcom, it was released on May 2, 1990, in Japan, then North America in July, and lastly Europe in 1991. The playable character Red Arremer (Firebrand in the U.S.) made his debut in the video game series Ghosts 'n Goblins as an antagonist character, of which this is a spin-off.",https://i.postimg.cc/K8vPmr38/7f53d1ec-4b89-4d1f-8e73-d6a269577182.jpg
Operation C,1991-02,3.8,,Action,"Operation C, released as Contra in Japan and as Probotector in the PAL region, is a 1991 run and gun game by Konami released for the Game Boy. It is the first portable installment in the Contra series and features gameplay and graphics similar to the Nintendo Entertainment System versions of Contra and Super C.",https://i.postimg.cc/TPBgjz7K/b3054292-20df-468b-a445-40abb4de4f1e.jpg
Parodius,1992-,3.79,,Action,"The Parodius series is a series of horizontally scrolling shooters developed by Konami. The games are tongue-in-cheek parodies of Gradius, hence the name (Parodius is a portmanteau of Parody and Gradius). It also parodies many other Konami franchises, including Antarctic Adventure, Castlevania, Xexex, Axelay, Thunder Cross, Taisen Puzzle-Dama, Space Manbow, Ganbare Goemon, Lethal Enforcers, Tokimeki Memorial and TwinBee.",https://i.postimg.cc/bNLnVDVc/51622072-3171-4983-aaea-3447996c5d37.jpg
Kid Dracula,1993-03,3.79,,Action,"Kid Dracula is a comical gothic-themed platform game video game, and a spinoff to Castlevania. It is simultaneously a remake and a sequel to the 1990 Famicom game Akumajō Special: Boku Dracula-kun which, before 2019, was only available in Japan. Konami released the title for the Game Boy in 1993 in Japan and North America.",https://i.postimg.cc/XJwGfpBP/f41b068e-b47b-44ca-8059-7d3aa3b11ae5.png
Tetris Attack,1996-08,3.78,,Puzzle,"In Tetris Attack, the player is presented with a playfield consisting of a virtual grid of squares, each of which can be occupied by a block. Blocks are stacked on top of one another and rise steadily toward the top of the playfield, with new blocks being added at the bottom. The player must arrange blocks in horizontal or vertical lines of three or more matching shapes by swapping blocks horizontally two at a time. As matching lines are formed, the blocks are cleared from the screen and any blocks above them fall into the gaps.",https://i.postimg.cc/ZKf9xk0J/29637369-4da0-469c-a35d-10ec5432956c.jpg
Ninja Gaiden Shadow,1991-12,3.78,,Action,"When a madman threatens to take over the entire world, our beloved hero Ryu must travel the globe to get to New York. Once he gets there, there are hazards and enemies hiding in each and every nook and cranny. If you think the ""Big Apple"" is dangerous in real life, you'll be amazed at the depths of evil employed by the big-city villains in this escapade. You'll have to hack, slash, and kick your way through the streets and all the way to one of the most dangerous bosses in videogame history. Another installment in the ongoing Ninja Gaiden series, Ninja Gaiden Shadow boasts intense graphics, a great storyline, and smooth gameplay. The world could really use a hero, and if you've got the skills and know-how, you could be it.",https://i.postimg.cc/rFbVpqKR/d130d4c9-86db-4cda-b562-4dcd11c3bae9.png
Sword of Hope II,1996-09,3.77,,Role-Playing,"When a pack of vile demons breaks open an ancient casket to release the Dark King, an epic quest ensues. Its up to you to find the magic crystals, return stolen shards of the Earth to their rightful places, and more. The follow up to the acclaimed SWORD OF HOPE, this installment continues to follow the stories of Prince Theo and Layla (the brave warrior who hunts by submarine). Battle the elements as you try to find a passage to the Tower of Mystery. Beware the Dragon of Darkness and muster all of your courage in order to return the stolen Sword of Hope to its place. Role-playing adventure has never been this exciting, as a rich story and amazing characters mark a truly masterful game.",https://i.postimg.cc/s2mbvJwH/1db2d10e-b4be-48e6-92c5-048ae6339775.png
Metroid II: Return of Samus,1991-11,3.76,,Action Adventure,"Metroid II: Return of Samus is an action-adventure game developed and published by Nintendo for the Game Boy. The first Metroid game for a handheld game console, it was released in North America in November 1991 and in Japan and Europe in 1992. The story follows bounty hunter Samus Aran on her mission to exterminate the Metroid creatures from their home planet before the Space Pirates can obtain them. Players must find and destroy the Metroids to progress through the planet's tunnels.",https://i.postimg.cc/J7s4CyhC/d700b995-7d8a-41c9-acf7-455acbc0abb3.png
Revenge of the 'Gator,1990-03,3.76,,Action,"Revenge of the 'Gator,known in Europe as Pinball: Revenge of the Gator, is a pinball video game developed and published by HAL Laboratory. It was released for the original Game Boy in 1989/1990. The theme of the game is to score as many points as possible without having the player's pinball eaten by the gator.",https://gamefaqs.akamaized.net/box/6/3/8/46638_front.jpg
Donkey Kong Land 2,1996-09,3.74,,Action,"Donkey Kong Land 2 is a Game Boy game released in 1996. It is the sequel to the 1995 Game Boy game Donkey Kong Land and was developed by Rare and published by Nintendo. The game was followed by Donkey Kong Land III, which was released in 1997. It was enhanced for the Super Game Boy with different shades of color, as well as a 16-bit banana border on the edges of the television screen. Like the original Donkey Kong Land, it came packaged in a banana-yellow cartridge.",https://gamefaqs.akamaized.net/box/0/2/6/3026_front.jpg
Bubble Bobble,1991-03,3.74,,Action,"Bubble Bobble (バブルボブル Baburu Boburu) is a platform game by Taito, first released in arcades in 1986and later ported to home systems. The game, starring the twin Bubble Dragons Bub and Bob, tasks players with travelling through one hundred stages, blowing and bursting bubbles, jumping on and off blown bubbles to navigate level obstacles, dodging and eliminating enemies, and collecting a variety of items including some that carry power-upsand significant bonuses.For example, the red shoe allows Bub and Bob to move faster, while wrapped candies cause Bub and Bob to blow bubbles faster, and blow bubbles at greater distances. Other items, such as umbrellas, allow to skip numerous levels, moving closer to the final level. The game became popular and led to a long series of sequels and spin-offs. The main goal of the game is to rescue Bub and Bob's girlfriends from the Cave of Monsters. The game has multiple endings, which depend on the player's performance and discovery of secrets.",https://gamefaqs.akamaized.net/box/8/5/1/21851_front.jpg
Kirby's Dream Land,1992-08,3.73,,Action,"Kirby's Dream Land is an action platform video gamedeveloped by HAL Laboratoryand published by Nintendo for the Game Boy. Released in 1992, it is the first video game in the Kirby series and the debut of Kirby. As the inaugural Kirby title it created many conventions that would appear in later games in the series. However, Kirby's iconic copy ability would not appear until Kirby's Adventure, released less than one year later.",https://gamefaqs.akamaized.net/box/0/3/0/21030_front.jpg
Kirby's Block Ball,1996-05,3.73,,Action,"Kirby's Block Ball is a 1995 action video game, a spin-off from the Kirby seriesfor the Game Boy portable console. It is a Breakoutclone; the player controls paddles along the screen's edge to knock a bouncing ball, Kirby, into destructible bricks. The game's 55 levelsinclude power-ups, bonus rounds, and minigames. Kirby's Block Ball was developed by HAL Laboratoryand Nintendo R&D1. The team spent half a year revising the gameplay to match Kirby's signature characteristics. Kirby's Block Ball was published by Nintendo first in Japan in 1995, later in Europe, and last in North America in 1996.",https://gamefaqs.akamaized.net/box/3/6/7/46367_front.jpg
Donkey Kong Land III,1997-10,3.73,,Action,"Donkey Kong Land III is the third entry in the Donkey Kong Land trilogy of games for the original Game Boy and later became ported to the Game Boy Color exclusively in Japan, under the name Donkey Kong GB: Dinky Kong & Dixie Kong (ドンキーコングGB ディンキーコング&ディクシーコング Donkī Kongu Jī Bī: Dinkī Kongu & Dikushī Kongu). It was developed by Rare and distributed by Nintendo. Like the other games in the series, Donkey Kong Land III served as the portable counterpart to the SNES game Donkey Kong Country 3: Dixie Kong's Double Trouble!. In this case, Donkey Kong Land III is both a remake and a partial follow-up to Donkey Kong Country 3: Dixie Kong's Double Trouble!. Like the other games in the Donkey Kong Land series, Donkey Kong Land III was enhanced for the Super Game Boy and was packaged with a ""banana yellow"" cartridge.",https://gamefaqs.akamaized.net/box/2/3/3/24233_front.jpg
Final Fantasy Legend III,1993-09-29,3.72,,Role-Playing,"Final Fantasy Legend III is a role-playing video game developed and published by Square Co. for the Game Boy handheld system as the third game of their SaGa series. Initially released for Japanese audiences in December 1991, the game was made available in North America nearly two years later in August 1993. While the title retains many similarities to its predecessors in terms of style and gameplay, the game's development was headed by series newcomer Chihiro Fujioka, who also served as composer alongside Ryuji Sasai. The North American version of the game saw a re-release alongside the two other Final Fantasy Legendtitles in July 1998 courtesy of Sunsoft. In 2010, an enhanced remake of the game was announced for the Nintendo DS titled SaGa 3 Jikū no Hasha: Shadow or Light, featuring three-dimensional graphics, new story elements, and an arranged soundtrack.",https://gamefaqs.akamaized.net/box/0/2/7/21027_front.jpg
Tetris Blast,1996-01,3.72,,Puzzle,"Tetris Blast is the North American version of Bombliss. It features many unique Tetris modes mainly dealing with clearing the screen of all blocks by using bombs which were both given at the start as well as in the tetrominoes. In addition to the tetrominoes of other Tetrisgames, Tetris Blast also uses dominoes and triminoes.",https://gamefaqs.akamaized.net/box/0/6/0/8060_front.jpg
