title,released,gf_score,metascore,genre,description,cover_art_url
Mother 3,2006-04-20,4.58,,Role-Playing,"Mother 3 is a role-playing video game developed by Brownie Brown and HAL Laboratory and published by Nintendo for the Game Boy Advance. The final entry in the Mother series, it was released in Japan on April 20, 2006. The game follows Lucas, a young boy with psychic abilities, and a party of characters as they attempt to prevent a mysterious invading army from corrupting and destroying the world.",https://i.postimg.cc/MGg3cr1D/04b6be7c-e132-454b-b522-cee34aa64fb6.jpg
Final Fantasy VI Advance,2007-02-05,4.44,92,Role-Playing,"This title is more than a simple port of the SNES classic — every aspect of the games has been reviewed and enhanced. Additionally, a host of brand-new elements has been seamlessly merged with the original game, providing unexpected surprises for longtime fans. With new dungeons, new job classes, and other exciting features, both old-school players and newcomers can enjoy this genre-defining FINAL FANTASY title in a portable format.",https://i.postimg.cc/6qfMmWgj/7c5ea7cf-363e-40a3-a7bb-3c94a242bc9f.jpg
Golden Sun: The Lost Age,2003-04-14,4.43,86,Role-Playing,"Golden Sun: The Lost Age, released under different names in some regions, is a 2002 role-playing video game for the Game Boy Advance, developed by Camelot Software Planning and published by Nintendo. It is the second installment in the Golden Sun series. It was released on June 28, 2002 in Japan, and through 2003 in North America and Europe.",https://i.postimg.cc/NGkbY0Cb/1655e436-eec9-4e70-9f9d-6673a87c3e72.jpg
The Legend of Zelda: A Link to the Past,2002-12-03,4.39,95,Action Adventure,The Legend of Zelda: A Link to the Past is an action-adventure video game developed and published by Nintendo for the Super Nintendo Entertainment System video game console. It is the third installment in The Legend of Zelda series and was released in 1991 in Japan and 1992 in North America and Europe.,https://i.postimg.cc/6qMdZyDX/e78c77a3-0d29-4db9-a042-b591f671cf0f.png
Castlevania: Aria of Sorrow,2003-05-06,4.36,91,Role-Playing,"Castlevania: Aria of Sorrow is a side-scrolling platforming video game developed and published by Konami for the Game Boy Advance. It is the third and final installment of the Castlevania series on the Game Boy Advance and was released in North America on May 6, 2003 and in Japan on May 8, 2003. Producer Koji Igarashi, who had led the production teams for previous Castlevania titles, led Aria of Sorrow's development as well. Michiru Yamanealso returned to compose the music for the game alongside Takashi Yoshida and Soshiro Hokkai. Director Junichi Murakami was new to the Castlevania series.",https://i.postimg.cc/W1B00Rfh/30ca6712-81a2-4f68-a9f2-45f43d52b011.png
Super Mario Advance 2: Super Mario World,2002-02-09,4.36,92,Action,"Super Mario World is a 1990 side-scrolling platform game developed and published by Nintendo for the Super Nintendo Entertainment System (SNES). The story follows Mario's quest to save Princess Toadstool and Dinosaur Land from the series antagonist Bowser and his minions, the Koopalings. The gameplay is similar to that of earlier Super Mario games: Players control Mario or his brother Luigi through a series of levels in which the goal is to reach the flagpole at the end. Super Mario World introduced Yoshi, a dinosaur who can eat enemies and gain abilities by eating the shells of Koopa Troopas.",https://i.postimg.cc/R01JfWHD/3a476c08-c33c-44b3-9746-3f397429fc5f.png
Fire Emblem,2003-11-03,4.34,88,Strategy,"Fire Emblem is a tactical role-playing game developed by Intelligent Systems and published by Nintendo for the Game Boy Advance handheld video game console. It is the seventh entry in the Fire Emblem series, the second to be released for the platform after Fire Emblem: The Binding Blade, and the first to be localized for Western audiences. It was released in Japan and North America in 2003, and in Europe and Australia in 2004.",https://i.postimg.cc/wBk3MSKK/0992e6f5-d91b-4f7d-82c1-20a48407ee97.jpg
Pokemon Emerald Version,2005-04-30,4.3,76,Role-Playing,"Pokemon Emerald Version takes Trainers back to the land of Hoenn for an expanded adventure, this time against both Team Magma and Team Aqua! Pokemon Emerald also features an even more exciting storyline featuring the Legendary Rayquaza, and the chance to catch more Legendary Pokemon such as both Latios and Latias! Around the region you'll notice exciting locales, especially the Battle Frontier. The Battle Frontier is basically an amusement park for Trainers, with a variety of challenges in a number of arenas headed by the always-intimidating Frontier Brains, some of the most formidable Trainers you've ever faced.",https://i.postimg.cc/d0Jtb4h5/76544f7b-a881-4a4a-83ec-721b9bdef3c1.jpg
Metroid: Zero Mission,2004-02-09,4.29,89,Action Adventure,"Metroid: Zero Mission is a side-scrolling action-adventure video game published by Nintendo, and developed by its Research & Development 1 (R&D 1) division for the Game Boy Advance. It is a remake of the 1986 game Metroid—the first installment in the Metroid video game series, and is designed to retell that entry's story with modernized gameplay. It was initially released in North America in February 2004.",https://i.postimg.cc/MKRBx3Gw/9d530b2c-f042-4dbd-b8be-ff1a9914bc71.png
Castlevania Double Pack,2006-01-11,4.29,86,Miscellaneous,"Castlevania: Double Pack is a compilation package for the Game Boy Advance handheld system which contains two previous Castlevania titles: Castlevania: Harmony of Dissonance and Castlevania: Aria of Sorrow. It was released on January 10th, 2006 in North America, and later that year in Europe.",https://i.postimg.cc/TwLw0hLx/3129c7c8-5f5f-4b9e-8a2a-b48da9e10035.png
