title,released,gf_score,metascore,genre,description,cover_art_url
Pokemon Crystal Version,2001-07-29,4.39,,Role-Playing,"Pokémon Crystal Version is a role-playing video game developed by Game Freak and published by Nintendo for the Game Boy Color. It is an enhanced version of Pokémon Gold and Silver, and is part of the second generation of the Pokémon video game series. It was released in Japan on December 14, 2000, North America on July 29, 2001 and Europe on November 2, 2001..",https://i.postimg.cc/PrmBDPFj/e96de88c-338a-490b-a664-dea3a636cf1c.png
The Legend of Zelda: Link's Awakening DX,1998-12,4.37,,Action Adventure,The Legend of Zelda: Link's Awakening is a 1993 action-adventure game developed and published by Nintendo for the Game Boy. It was the first installment in The Legend of Zelda series for a handheld game console.,https://i.postimg.cc/NjsPrbH6/a530156e-0ecc-48d5-8920-22f6c4b7db8e.png
Pokemon Gold Version,2000-10-14,4.37,,Role-Playing,"Pokémon Gold Version and Pokémon Silver Version are role-playing video games developed by Game Freak and published by Nintendo for the Game Boy Color. They are the first installments in the second generation of the Pokémon series. They were released in Japan in 1999, Australia and North America in 2000, and Europe in 2001. Pokémon Crystal, a special edition, was released roughly a year later in each region. In 2009, on the 10th anniversary of the games, Game Freak remade Gold and Silver for the Nintendo DS as Pokémon Heart Gold and Soul Silver.",https://i.postimg.cc/9FVLv116/d6401bd0-db8b-4ef9-8abd-742d3d443ed7.jpg
Pokemon Silver Version,2000-10-14,4.36,,Role-Playing,"Pokémon Gold Version and Pokémon Silver Version are role-playing video games developed by Game Freak and published by Nintendo for the Game Boy Color. They are the first installments in the second generation of the Pokémon series. They were released in Japan in 1999, Australia and North America in 2000, and Europe in 2001. Pokémon Crystal, a special edition, was released roughly a year later in each region. In 2009, on the 10th anniversary of the games, Game Freak remade Gold and Silver for the Nintendo DS as Pokémon Heart Gold and Soul Silver.",https://i.postimg.cc/Hkwx7HFN/b0b96906-731f-4b38-ae70-121d94ff513f.jpg
Dragon Warrior Monsters 2: Cobi's Journey,2001-09-15,4.33,,Role-Playing,"Dragon Warrior Monsters 2, known in Japan as Dragon Quest Monsters 2, is a role-playing video game published by Enix for the Game Boy Color. It is the second Dragon Warrior Monsters game for the Game Boy Color and features two different versions of the same game, Cobi's Journey (released as Dragon Quest Monsters 2: Ruka's Journey in Japan) and Tara's Adventure (released as Dragon Quest Monsters 2: Iru's Adventure in Japan). This was the last Game Boy Color title released in North America that was also compatible with the original Game Boy and enhanced for the Super Game Boy.",https://i.postimg.cc/15pYMf0m/b75468b5-cb68-41e4-aa5e-085dbeddcd5c.png
Dragon Warrior Monsters 2: Tara's Adventure,2001-09-15,4.32,,Role-Playing,"Dragon Warrior Monsters 2, known in Japan as Dragon Quest Monsters 2, is a role-playing video game published by Enix for the Game Boy Color. It is the second Dragon Warrior Monsters game for the Game Boy Color and features two different versions of the same game, Cobi's Journey (released as Dragon Quest Monsters 2: Ruka's Journey in Japan) and Tara's Adventure (released as Dragon Quest Monsters 2: Iru's Adventure in Japan). This was the last Game Boy Color title released in North America that was also compatible with the original Game Boy and enhanced for the Super Game Boy.",https://i.postimg.cc/yYzLJsMw/194d391b-e980-46ed-9268-f09d3dae09ca.jpg
Dragon Warrior III,2001-07-16,4.31,,Role-Playing,"Dragon Quest III: The Seeds of Salvation,titled Dragon Warrior III when initially localized to North America, is a role-playing video game developed by Chunsoft and published by Enix. It is the third installment in the Dragon Quest series and was first released for the Family Computer (Famicom) in Japan and later for the Nintendo Entertainment System(NES) in North America. The game saw an enhanced remake for the Super Famicom (the Japanese version of the Super NES) in 1996 and the Game Boy Color in 2001, and a port to mobile phones and the Wii in 2009 and 2011. A version of the game for Android and iOS was released in Japan on September 25, 2014,and worldwide as Dragon Quest III: The Seeds of Salvation on December 4, 2014. It was the first time the game was given an official English subtitle.",https://i.postimg.cc/VLRWdMBC/a97c22b1-d9bb-4c67-ac42-b5a2a62bc58d.jpg
The Legend of Zelda: Oracle of Seasons,2001-05-13,4.16,,Action Adventure,"The Legend of Zelda: Oracle of Seasons and The Legend of Zelda: Oracle of Ages are two action-adventure games in The Legend of Zelda series, developed by Flagship (a subsidiary of Capcom). They were released in 2001 for Nintendo's Game Boy Color handheld console and re-released on the Virtual Console for the Nintendo 3DS in 2013. The games make up the seventh and eighth installment in the Zelda series.",https://i.postimg.cc/50JKvJG7/0d40d070-84d9-458f-aeeb-cdfcb6a44731.png
The Legend of Zelda: Oracle of Ages,2001-05-13,4.15,,Action Adventure,"The Legend of Zelda: Oracle of Seasons and The Legend of Zelda: Oracle of Ages are two action-adventure games in The Legend of Zelda series, developed by Flagship(a subsidiary of Capcom). They were released in 2001 for Nintendo's Game Boy Color handheld console and re-released on the Virtual Console for the Nintendo 3DS in 2013. The games make up the seventh and eighth installment in the Zelda series.",https://i.postimg.cc/3RbphCgX/21fc2e04-a4ad-4117-bb1f-0a3f712424fd.jpg
Dragon Warrior Monsters,2000-01,4.12,,Role-Playing,"Dragon Warrior Monsters is the first video game in the Dragon Quest Monsters series. It was released in Japan by Enix on September 25, 1998, and co-published by Eidos Interactive in Europe and North America in 2000. It was the first Dragon Quest game to be released in Europe. It was released for the Game Boy Color before the console itself was released; however, the cartridge is backward compatible with the older Game Boy console in black-and-white color.",https://i.postimg.cc/YCwnGgPN/d0c68e92-efa8-456d-a0d8-d2179af8a0fe.png
Metal Gear Solid,2000-04-24,4.12,,Action Adventure,"Early 21st Century. An incident that rocks the US government takes place. The classified weapon and nuclear-launching bipedal tank Metal Gear has fallen into the hands of terrorists. Seven years after the fiasco at Outer Heaven involving the original Metal Gear, the US government calls in Solid Snake to neutralize the terrorist threat.",https://i.postimg.cc/MK1tSHGn/f3fbc1a4-da2d-4b9a-9e89-cd6e3da0799e.png
Super Mario Bros. Deluxe,1999-04-30,4.08,,Action,"Super Mario Bros. Deluxe, sometimes referred to as Super Mario Bros. DX, was released on the Game Boy Color on May 10, 1999 in North America and Europe and in 2000 in Japan. Based on the original Super Mario Bros., it features an overworld level map, simultaneous multiplayer, a Challenge mode in which the player finds hidden objects and achieves a certain score in addition to normally completing the level, and eight additional worlds based on the main worlds of the Japanese 1986 game Super Mario Bros. 2.",https://i.postimg.cc/MH2RP0Vd/1e06f0ec-88c9-46e8-a5f2-7d02d3c4a01b.png
Tetris DX,1998-11,4.08,,Puzzle,"Tetris DX is a Game Boy Color game that is backwards compatible with the original Game Boy. It was developed by Nintendo and released in Japan on October 21, 1998, in North America on November 18, 1998, and in Europe and Australia in 1999. Tetris DX features battery-saved high scores and three player profiles. It has a new single-player mode against the CPU and also features two new modes of play. In ""Ultra Mode,"" players must accumulate as many points as possible within a three-minute time period. In ""40 Lines,"" players are timed on how quickly they can clear 40 lines of play. In addition, new music themes were added as well.",https://i.postimg.cc/j23Tqcch/eff8a63e-272b-47fc-8a2a-d6905df2b330.jpg
Magi Nation,2001-03,4.03,,Role-Playing,"Magi Nation is a video game released in 2001 for the Game Boy Color. The game, developed by American studio Interactive Imagination, is based on the collectible card game of the same name.",https://i.postimg.cc/KjwWsHQC/6760358e-5baf-4d84-bb45-fcb9e589e73d.jpg
Mario Tennis,2001-01,4.02,,Sports,"Take your game to the next level with Mario Tennis! Get advice from coaches, test your groundstrokes against ""The Wall,"" then hit the courts to ace the competition and earn a spot on the varsity squad. Play your way to the top on your own in singles, or power up a partner for doubles competition. When you're good enough, you'll enter the Island Open, where you'll face the fiercest players around...and maybe even challenge the greatest player of all-Mario!",https://i.postimg.cc/d0wxXdmQ/af624088-49c0-4a03-9697-0f5a4a8345d7.png
