title,released,gf_score,metascore,genre,description,cover_art_url
The Legend of Zelda Collector's Edition,2003-11-17,4.6,95,Miscellaneous - Compilation,"The Legend of Zelda: Collector's Edition is a 2002 compilation video game for the Nintendo GameCube game console. It includes four games from the The Legend of Zelda series. The games included are The Legend of Zelda, Zelda II: The Adventure of Link, The Legend of Zelda: Ocarina of Time, and The Legend of Zelda: Majora's Mask. It also includes a 20-minute demo of The Legend of Zelda: The Wind Waker and two The Legend of Zelda-related videos. It was originally released as a pre-order bonus for The Legend of Zelda: The Wind Waker in Japan and North America. It was later released in a GameCube bundle in North America and Europe in 2003.",https://i.postimg.cc/SxhPc2K4/cece8ba5-8c6f-4c08-a5e1-f274ff65f5c6.png
Resident Evil 4,2005-01-11,4.57,96,"Action Adventure - SurvivalResident Evil 4 is a third-person shooter survival horror video game developed and published by Capcom. The sixth major installment in the Resident Evil series, it was originally released for the GameCube in 2005. Players control U.S. government special agent Leon S. Kennedy, who is sent on a mission to rescue the U.S. president's daughter Ashley Graham, who has been kidnapped by a cult. In a rural part of Europe, Leon fights hordes of villagers infected by a mind-controlling parasite, and reunites with the spy Ada Wong.","Resident Evil 4 marks a new chapter in the Resident Evil series. You'll rejoin Leon S. Kennedy six years after his first mission as a rookie cop from Resident Evil 2. Now a US agent, Leon is on a top secret mission to investigate the disappearance of the president's daughter. As Leon, you must make your way to a mysterious location in Europe, where new enemies await. Take them down by using enhanced aim-and-shoot features and a new action button.",https://i.postimg.cc/q7mZf1xB/0a7691fc-3d40-4a44-ac02-4e5d7261db23.jpg
The Legend of Zelda: Ocarina of Time / Master Quest,2003-02-28,4.56,95,Action Adventure - Open-World,"The Legend of Zelda: Ocarina of Time is an action-adventure game developed and published by Nintendo for the Nintendo 64. It was released in Japan and North America in November 1998, and in Europe, Australia and New Zealand the following month. Ocarina of Time is the fifth game in the Legend of Zelda series, and the first with 3D graphics. Originally developed for the 64DD peripheral, it was instead released on a 256-megabit (32-megabyte) cartridge, the largest-capacity cartridge Nintendo produced at that time.",https://i.postimg.cc/Qxp4N8Jy/0f849c09-d5e4-460a-9d44-108a252c7e87.jpg
Super Smash Bros. Melee,2001-12-03,4.56,92,Action - Fighting - 2D,"Super Smash Bros. Melee is a crossover fighting video game developed by HAL Laboratory and published by Nintendo for the GameCube. It was first released in Japan on November 21, 2001, in North America on December 3, 2001, in Europe on May 24, 2002, and in Australia on May 31, 2002. The second installment in the Super Smash Bros. series, it features characters from Nintendo video game franchises such as Mario, The Legend of Zelda, Star Fox, and Pokémon. The stages and gameplay modes reference or take designs from these franchises as well.",https://i.postimg.cc/0QwGtntB/f68a4043-7fed-43f5-93aa-244dab6c6376.jpg
Tales of Symphonia,2004-07-13,4.47,86,Role-Playing - Action RPG,"In a dying village on Sylvarant, legend has it that a Chosen One will one day appear from among the people, and the land will be reborn. Now, you must enter a cel-shaded world in which you command real-time battles. Execute and combine hundreds of special attacks, magic spells, and combos. Each character grows to suit your fighting style, and the storyline changes based on the characters' relationships. The line between good and evil blurs in this immersive adventure where the fate of two interlocked worlds hangs in the balance.",https://i.postimg.cc/SNr6tJrk/099a8d31-39e4-4aa0-9c52-bb74751449eb.jpg
Paper Mario: The Thousand-Year Door,2004-10-11,4.45,87,Role-Playing - Japanese-Style,"Get ready for a new role-playing adventure as Mario returns to paper form to stop a dangerous threat. In Paper Mario 2, Mario can dodge, inflict damage, and impress the crowd to strengthen his attacks. Also, Mario and his friends have more paper abilities. They can now turn sideways to slip through cracks, fold into a paper airplane to fly, roll into a tube, and more. They can also use a variety of items like hammers and thunderbolts to defeat their enemies.",https://i.postimg.cc/SKwCz8y7/eef5ae09-c95c-4844-ab32-9b92e58f25a8.jpg
Resident Evil,2002-04-30,4.43,91,Action Adventure - Survival,"Resident Evil, known in Japan as Biohazard, is a Japanese horror media franchise created by Shinji Mikami and Tokuro Fujiwara, and owned by the video game company Capcom. The franchise focuses on a series of survival horror games and includes live-action films, animated films, comic books, novels, audio dramas, and merchandise. The story follows outbreaks of zombies and other monsters created mainly by the Umbrella Corporation.",https://i.postimg.cc/yNSSBdFJ/57ea0cac-f364-493e-a6dd-a407bc976e9f.jpg
Metroid Prime,2002-11-17,4.42,97,Action - Shooter - First-Person - Arcade,"Ten years ago, beneath the surface of Planet Zebes, the mercenaries known as ""Space Pirates"" were defeated by interstellar bounty hunter Samus Aran. Descending to the very core of the pirate stronghold, Samus exterminated the energy based parasites called ""Metroids"" and defeated Mother Brain, the leader of the pirate hoarde. But the Space Pirates were far from finished. Several pirate research vessels were orbiting Zebes when Samus fought on the surface below. After the fall of Mother Brain, the ships escaped, with the hope of finding enough resources to rebuild their forces and take their revenge. After discovering a possible pirate colony on planet Talon IV, Samus has once again prepared for war, hoping to end the Pirate threat forever.",https://i.postimg.cc/3rZ03zDZ/ff075a87-67c2-494b-82a2-ce77ba0870e3.jpg
The Legend of Zelda: The Wind Waker,2003-03-24,4.38,96,Action Adventure - Open-World,"The game is set on a group of islands in a vast sea—a first for the series. The player controls Link, the protagonist of the Zelda series. He struggles against his nemesis, Ganondorf, for control of a sacred relic known as the Triforce. Link spends a large portion of the game sailing, traveling between islands, and traversing through dungeons and temples to gain the power necessary to defeat Ganondorf. He also spends time trying to find his little sister. The Wind Waker follows in the footsteps of Ocarina of Time and its sequel Majora's Mask, retaining the basic gameplay and control system from the two Nintendo 64 titles. A heavy emphasis is placed on using and controlling wind with a baton called the Wind Waker, which aids sailing and floating in air. Controversial during development for its use of cel shading graphics and younger Link character, The Wind Waker received acclaim on release and is one of the Nintendo GameCube's most popular games.",https://i.postimg.cc/W4rtCyvg/8d018e6c-9754-49bb-859a-749ef63ddc09.jpg
Skies of Arcadia Legends,2003-01-27,4.38,84,Role-Playing - Japanese-Style,"Grasp the wheel of your air-ship and prepare to embark on a legendary adventure. You are Vyse, a young member of the Blue Rogue pirates. Together with your childhood friend Aika and Fina, a mysterious girl, you are locked in an epic struggle with a powerful enemy nation for the fate of the world. You must gather your own crew of air pirates and journey through uncharted skies to vanquish the empire from every corner of the map. Along the way, you'll wage battles against savage monsters and evil pirates as you make a name for yourself on land and in the sky.",https://i.postimg.cc/4NdysyGJ/c08591ff-89ec-4047-82fb-171dd0af4116.jpg
The Legend of Zelda: Twilight Princess,2006-12-11,4.38,96,Action Adventure - Open-World,"In the next chapter in the Legend of Zelda series, Link can transform into a wolf to scour the darkened land of Hyrule. With the help of Midna, a mysterious being, you must guide Link through hordes of foul creatures and challenging bosses using new moves and a new horseback combat system. Many puzzles stand between Link and the fulfillment of his quest, so you must sharpen your wits as you hunt for weapons and items. The Legend of Zelda: Twilight Princess is an action-adventure game developed and published by Nintendo for the Wii and GameCube home video game consoles. It is the thirteenth installment in The Legend of Zelda series. Originally planned for release on the GameCube in November 2005, Twilight Princess was delayed by Nintendo to allow its developers to refine the game, add more content, and port it to the Wii. The Wii version was released as a launch title in North America in November 2006, and in Japan, Europe, and Australia the following month. The GameCube version was also released worldwide in December 2006, and was the final first-party game released for the console.",https://i.postimg.cc/TY4wwx2n/397dd246-7c56-45c2-94e5-e15fe425bf1b.jpg
Pikmin 2,2004-08-30,4.3,96,Strategy - Real-Time - General,"Captain Olimar has returned to the planet where the Pikmin live, and he's all business this time. The company he works for is going bankrupt, so to save it, Olimar must salvage the treasure buried all over the planet. Of course, he'll need the help of the Pikmin to do that--he can't do anything by himself. Control one of two main characters--Olimar or his assistant--as you command your Pikmin to defeat enemies, propagate more Pikmin, collect precious doodads, and solve puzzles. With unlimited time, new colors of Pikmin, and two-player cooperative play, Pikmin 2 improves on the original in many ways.",https://i.postimg.cc/4yFJmvGX/06275055-3633-4207-bf83-b8cad124d04e.jpg
