title,released,gf_score,metascore,genre,description,cover_art_url
Shining Force: The Sword of Hajya,1994,4.01,N/A,"Strategy - Turn-Based - Tactics
","hining Force: The Sword of Hajya, released in Japan as Shining Force Gaiden II: Jashin no Mezame (シャイニング・フォース外伝 II ～邪神の覚醒～), is a 1993 tactical role-playing game for the Sega Game Gear.It is not to be confused with Shining Force II, as this Gaiden II is the sequel to the original Shining Force Gaiden. Along with the original Gaiden, The Sword of Hajya was remade as Shining Force CD, which contains two new scenarios that further continue the story of Cypress.",https://images.launchbox-app.com/95573139-7e55-4ba3-84e8-2b846bad0a00.jpg
Shinobi II: The Silent Fury,1992,3.91,N/A,Action - Platformer - 2D,"The G.G. Shinobi II: The Silent Fury (ザ・GG 忍シノビ II) is a side-scrolling action game by Sega released for the Game Gear in 1992. It is the sequel to The G.G. Shinobi, an offshoot of the Shinobi series created for Sega's portable platform. The player controls Joe Musashi as he rendezvous with his ninja allies from the previous game, giving the player access to different characters with unique abilities as the game progresses.",https://images.launchbox-app.com/4d053878-8b71-4ef7-8b7e-9686f0915922.jpg
Defenders of Oasis,1992,3.81,N/A,Role-Playing - General,"Defenders of Oasis, known as Shadam Crusader ~Harukanaru Oukoku~ (シャダム・クルセイダー ～遙かなる王国～) in Japan, is a role-playing video game released in 1992 for the Game Gear handheld system. The setting and plot draw heavily from Zoroastrianism, Mesopotamian mythology and The Book of One Thousand and One Nights, particularly the stories of Sindbad the Sailor, Aladdin, and Ali Baba and the Forty Thieves. In terms of gameplay, it bore similarities to other JRPGs of the time, such as Phantasy Star - the player wandered a map and would have to deal with random encounters as well as scripted events and plot-developing cut-scenes along the course of the game. Combat was turn-based and a case of selecting from lists in a static fight rather than moving characters around a combat map",https://images.launchbox-app.com/ba29e9c1-4ad5-488d-8099-285b12aa9115.jpg
Castle of Illusion starring Mickey Mouse,1991-06-01,3.8,N/A,Action - Platformer - 2D,Castle of Illusion Starring Mickey Mouse is a 1990 platform game developed by Sega and released for the Sega Genesis. An 8-bit version of the game was later released for the Master System and Game Gear. The game follows Mickey Mouse on a quest to save Minnie Mouse from the evil witch Mizrabel. It was the first game in Sega's long-running Illusion video game series starring Mickey and was also a part of the second wave of games initially released for the Sega Genesis which helped seal the console's reputation within the period until the release of Sonic the Hedgehog in 1991.,https://images.launchbox-app.com/e09306e8-5d30-4abf-bc4a-36ca41d516da.jpg
Shinobi II: The Silent Fury,1991,3.77,N/A, Action - Platformer - 2D,"Shinobi (忍 SHINOBI) is a series of video games created by Sega. The ninja (shinobi) Joe Musashi is the protagonist of the original series of games (Shinobi to Shinobi III). The first Shinobi game was released in 1987 for arcades and has since featured in a dozen other Shinobi titles. Along with Alex Kidd and Sonic the Hedgehog, Joe Musashi has long been one of Sega's flagship characters, acting as a mascot for a short time in the late 1980s when the ninja boom was in full force. The series' games are a showcase of Sega's technical accomplishment, noted for their high quality of graphics, gameplay and music, as well as their high level of difficulty. The Shinobi franchise sold more than 4.60 million copies.",https://images.launchbox-app.com/4d053878-8b71-4ef7-8b7e-9686f0915922.jpg
Sonic the Hedgehog: Triple Trouble,1994-11-15,3.68,N/A,Action - Platformer - 2D,"Sonic the Hedgehog: Triple Trouble is a platform game developed by Aspect and published by Sega for the Game Gear in 1994. It is the sequel to Sonic Chaos and features classic Sonic series gameplay. The player can choose to control either Sonic the Hedgehog or Tails as they venture to protect the powerful Chaos Emeralds from others. Sonic and Tails can use items strewn across the stages, and differences in their abilities make for different gameplay experiences when playing as each character.",https://images.launchbox-app.com/fcacc21d-a10b-4bda-a95b-ebb698f2050f.jpg
Crystal Warriors,1991,3.67,N/A,Strategy - Turn-Based - General,"Crystal Warriors (アーリエル クリスタル伝説 Arliel: Crystal Densetsu, ""Arliel: Crystal Legend"") is a strategy video game developed and published by Sega for the Sega Game Gear in Japan in 1991 and in Europe and North America in 1992. It was also released for Virtual Console in 2013. A Japan-only sequel Royal Stone was published in 1995",https://images.launchbox-app.com/3b662045-d949-46a2-b5ce-6db6483f5e81.jpg
Dr. Robotnik's Mean Bean Machine,1993-02-01,3.65,N/A,Puzzle - Matching,"Dr. Robotnik's Mean Bean Machine is a falling block puzzle game developed by Compile and published by Sega. It was released for the Genesis/Mega Drive in North America and Europe in November 1993, and was ported to the Game Gear and Master System in December 1993 and June 1994, respectively. The plot revolves around Sonic the Hedgehog series antagonist Doctor Robotnik kidnapping residents from Beanville and turning them into robots, with the purpose of removing all joy from the planet Mobius.",https://images.launchbox-app.com/c87fe902-c0a7-44fb-91de-a7031e00b83e.png
Columns,1991,3.62,N/A,Puzzle - Matching,"Columns (Japanese: コラムス Hepburn: Koramusu) is a match-three puzzle video game created by Jay Geertsen in 1989. Early versions of the game were ported across early computer platforms and Atari ST. In 1990, Jay Geertsen sold the rights to Sega, who ported the game to several Sega consoles.",https://images.launchbox-app.com/6ce4441d-6106-49e2-b97a-708e619c2a2e.jpg
"
Sonic the Hedgehog",1991,3.59,N/A,Action - Platformer - 2D,"Sonic the Hedgehog is a media franchise owned by Sega, centering on a series of high-speed platform games. Sonic, the protagonist, is an anthropomorphic blue hedgehog with supersonic speed. Typically, Sonic must stop antagonist Doctor Eggman's plans for world domination, often helped by his friends, such as Tails, Amy, and Knuckles.",https://images.launchbox-app.com/75d1cee3-b6a8-45b6-b9b7-eca9f624f550.jpg
