Title,Release Date,Score / 5,MetaScore,Genre,Description (Wikipedia),US Art (Link)
Sonic the Hedgehog 2,1992-11-24,4.32,n/a,Action - Platformer,"Sonic the Hedgehog 2 is a platform game developed and published by Sega for the Sega Genesis console, released worldwide in November 1992. It is the second main entry in the Sonic the Hedgehog series, and introduced Sonic's sidekick, Miles ""Tails"" Prower, controllable by a second player. In the story, Sonic and Tails must stop series antagonist Dr. Ivo Robotnik from stealing the Chaos Emeralds to power his space station, the Death Egg.
","https://images-wixmp-ed30a86b8c4ca887773594c2.wixmp.com/f/b4f70f02-b229-4bda-8b0e-0e17481655ec/dbxc6tm-85e93bdb-ea53-4a2b-93ad-73e700de68a6.png/v1/fill/w_759,h_1053,strp/sonic_2_us_box_art_with_jp_sonic__tails____eggman_by_workinprogress89_dbxc6tm-pre.png?token=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJzdWIiOiJ1cm46YXBwOjdlMGQxODg5ODIyNjQzNzNhNWYwZDQxNWVhMGQyNmUwIiwiaXNzIjoidXJuOmFwcDo3ZTBkMTg4OTgyMjY0MzczYTVmMGQ0MTVlYTBkMjZlMCIsIm9iaiI6W1t7ImhlaWdodCI6Ijw9MTc3NiIsInBhdGgiOiJcL2ZcL2I0ZjcwZjAyLWIyMjktNGJkYS04YjBlLTBlMTc0ODE2NTVlY1wvZGJ4YzZ0bS04NWU5M2JkYi1lYTUzLTRhMmItOTNhZC03M2U3MDBkZTY4YTYucG5nIiwid2lkdGgiOiI8PTEyODAifV1dLCJhdWQiOlsidXJuOnNlcnZpY2U6aW1hZ2Uub3BlcmF0aW9ucyJdfQ.E1feK-r6yMarbD3BZonxodcniAACnsRMNxtlIC4OO9E"
Shining Force II,1994-10-19,4.31,n/a,Strategy - Turn-Based - Tactics,"Shining Force II (シャイニング・フォースII 古えの封印 Shainingu Fōsu Tsū: Inishie no Fūin, lit. ""Shining Force II: The Ancient Seal""), is a tactical role-playing game for the Mega Drive/Genesis console developed by Sonic! Software Planning in 1993. Its storyline is not directly connected to the original Shining Force, although a Game Gear title Shining Force Gaiden: Final Conflict links the two games' plots.",https://server.emulator.games/images/sega-genesis/shining-force-ii.jpg
Phantasy Star IV,1995,4.31,n/a,Role-Playing - Japanese-Style,"Phantasy Star IV, released in Japan as Phantasy Star: The End of the Millennium (ファンタシースター 千年紀の終りに Fantashī Sutā Sennenki no Owari Ni), is a role-playing video game released for the Mega Drive/Genesis in Japan in 1993 and Europe and North America in 1995. It is the fourth and final game in the original Phantasy Star series, concluding the story of the Algol Star System. It was the last Phantasy Star game until Phantasy Star Online (2000), which has a mainly unrelated story.",https://images.launchbox-app.com/8bb07f29-f44b-4930-babd-be3ee3ad0f93.jpg
Sonic & Knuckles,1994-10-17,4.31,n/a,Action -Platformer -2D,"Sonic & Knuckles is a 1994 platform game developed and published by Sega for the Sega Genesis. An installment in the main Sonic the Hedgehog series, it is the sequel to Sonic the Hedgehog 3, released earlier that year. The story follows Sonic the Hedgehog and Knuckles the Echidna in their quests to save Angel Island; Sonic tries to prevent Dr. Robotnik from relaunching his orbital weapon, the Death Egg, while Knuckles scuffles with Robotnik's minion, EggRobo.",https://images.launchbox-app.com/cac5ef1e-6f2c-412b-9d1f-a299545ebeed.jpg
Sonic the Hedgehog 3,1994-02-02,4.31,n/a,Action -Platformer -2D,"Sonic the Hedgehog 3 is a platform game developed and published by Sega. It is the sequel to Sonic the Hedgehog 2 (1992) and was released worldwide for the Sega Genesis in 1994. Following the events of Sonic 2, Doctor Robotnik's spaceship, the Death Egg, crash-lands on a mysterious floating island. There, Sonic and Tails must once more retrieve the Chaos Emeralds to stop Death Egg from relaunching, while making rounds with the island's guardian, Knuckles the Echidna. Gameplay is similar to previous entries, with players controlling Sonic and Tails through side-scrolling levels at high speeds while collecting rings and defeating enemies",https://images.launchbox-app.com/afc310db-4de8-4fdb-bab1-33820c10ef24.jpg
Streets of Rage II,1992,4.3,n/a,Action - Beat-'Em-Up - 2D,"Streets of Rage 2, released in Japan as Bare Knuckle II: The Requiem of the Deadly Battle (ベア・ナックルII 死闘への鎮魂歌レクイエム Bea Nakkuru Tsū: Shitō e no Rekuiemu), is a side-scrolling beat 'em up video game published by Sega in 1992 for the Mega Drive/Genesis and developed by an ad hoc team of several companies: Sega, Ancient, Shout! Designworks, MNM Software and H.I.C. It is the second game in the Streets of Rage series, a sequel to Streets of Rage and followed by Streets of Rage 3.",https://images.launchbox-app.com/77e3f3ce-af11-4ee9-a6a0-c7f759740a31.jpg
Shinobi III: Return of the Ninja Master,1993-07-23,4.23,n/a,Action -Platformer -2D,"Shinobi III: Return of the Ninja Master, released in Japan as The Super Shinobi II (ザ・スーパー忍II Za Sūpā Shinobu II), is an action game developed and published by Sega for the Mega Drive/Genesis console that was released in 1993. It is the direct sequel to the previous The Revenge of Shinobi. The game was originally intended to be released in 1992, and to be very different from the final version of the game in terms of levels and storyline.",https://images.launchbox-app.com/73dbaaf0-41d8-44b2-8fc3-2d4ffc0fc45a.jpg
Contra: Hard Corps,1994-09-14,4.21,n/a,Action -Platformer -2D,"Contra: Hard Corps is a side-scrolling run and gun-style shoot-'em-up video game released by Konami for the Sega Genesis in North America and South Korea in 1994. It was also released for the Mega Drive as Contra: The Hard Corps (魂斗羅 ザ・ハードコア Kontora Za Hādo Koa) in Japan, and as Probotector in Europe and Australia. It was the first game in the Contra series released for a Sega platform and serves as the first entry in the Hard Corps series, itself a subseries of the Contra franchise. It was re-released in 2019 as part of Contra: Anniversary Collection for PlayStation 4, Xbox One, Nintendo Switch, and Windows",https://images.launchbox-app.com/82376b67-c335-4286-b294-2545ec67ab7b.jpg
Gunstar Heroes,1993-09-09,4.18,n/a, Action - Shooter - Shoot-'Em-Up - Horizontal,"Gunstar Heroes is a run and gun video game developed by Treasure and published by Sega. It was Treasure's debut game, originally released on the Sega Genesis in 1993. The game's premise is centered around a pair of characters, the Gunstars, in their efforts to stop an evil empire from recovering four powerful gems. The characters can fire guns and perform a series of acrobatic maneuvers to fight enemies across each stage. There are four weapons in the game which can be combined with one another to create different shot types",https://images.launchbox-app.com/a7549ef0-f76d-4a63-a02f-73c4dbf4076d.jpg
Ristar,1995-02-16,4.18,n/a,Action -Platformer -2D,"Ristar is a platform game developed and published by Sega for the Sega Genesis, which released worldwide in February 1995. A Sega Game Gear game of the same name and genre, Ristar, was also released, which shared similar themes, while possessing different level design and gameplay mechanics. The game stars an anthropomorphic cartoon star who uses his hands and long, stretchable arms to both move and combat enemies. Reception for the game has been generally positive, but the game's initial release was overshadowed due to the imminent ending of the Genesis's lifecycle and the succession of the Sega Saturn and other fifth generation video game consoles. While never receiving any sequels, Sega has re-released the game a number of times digitally and on Sega-themed compilations, including the Sega Forever line of releases for mobile devices. The character has additionally received various cameos in other Sega properties as well.",https://images.launchbox-app.com/76d98008-98dd-49f5-8170-92e31f0f3be9.jpg
Rocket Knight Adventures,1993-08-05,4.17,n/a,Action - Platformer - 2D,"Rocket Knight Adventures (ロケットナイトアドベンチャーズ Roketto Naito Adobenchāzu) is a 1993 side-scrolling platformer video game developed and published by Konami for the Sega Genesis. The game was released in North America on August 5, 1993, in Japan on August 6, 1993, and in Europe in 1993. Rocket Knight Adventures was designed by Nobuya Nakazato, designer of several titles in the Contra series such as The Alien Wars, Hard Corps and Shattered Soldier. Its protagonist is Sparkster, an opossum knight who fights an army of robots and pigs, many of whom are piloting various mechanical vehicles. Sparkster is armed with a sword that can project energy over a short distance and a rocket pack that allows him to fly",https://images.launchbox-app.com/b782eaa1-7c41-4706-ab86-a8ce6059f718.jpg
Beyond Oasis,1994-12-08,4.17,n/a,Role-Playing - Action RPG,"Beyond Oasis, known in Japan and Europe as The Story of Thor: A Successor of The Light, is an action-adventure game developed by Ancient and published by Sega for the Sega Genesis. The game has also been re-released in various emulated collections, such as the Virtual Console, Sonic's Ultimate Genesis Collection, and Sega Forever. A prequel to the game, The Legend of Oasis, was released for the Sega Saturn in 1996.",https://images.launchbox-app.com/82b6c5a9-27f9-4d3c-8346-e9c75b17489e.jpg
Lightening Force: Quest for the Darkstar,1992,4.16,n/a,Action - Shooter - Shoot-'Em-Up - Horizontal,"Thunder Force IV, known in North America as Lightening Force: Quest for the Darkstar, is a shoot 'em up video game developed and published by Technosoft for the Mega Drive in 1992. It is the fourth installment in Technosoft's Thunder Force series, and the third and final one created for the Mega Drive. It was developed by the team at Technosoft that ported Devil's Crush to the Mega Drive rather than the team that developed the previous Thunder Force games. Like its predecessors, it is a horizontally scrolling shooter, but it also features extensive vertical scrolling with large playing fields.",https://images.launchbox-app.com/e5bb11dc-9f2e-4b59-a0b6-4e6d376e969f.jpg
Landstalker,1993-10-29,4.16,n/a,Action Adventure - Open-World,"Landstalker: The Treasures of King Nole (ランドストーカー 皇帝の財宝 Randosutōkā: Kōtei no Zaihō) is an action-adventure game that was developed by Climax Entertainment and released for the Sega Genesis in 1992 in Japan and 1993 elsewhere. A spinoff called Lady Stalker: Challenge from the Past was released in Japan for the SNES in 1995. The Sega Saturn game Dark Savior (produced by the same company) is considered its spiritual successor. The main characters from Landstalker, Nigel (Ryle in Japan and France, Niels in Germany) and Friday, reappear in the Dreamcast game Time Stalkers",https://images.launchbox-app.com/4495011a-c239-4ad0-8847-cf15e8b00b35.jpg
Shining Force II,1993-07-01,4.11,n/a,Strategy - Turn-Based - Tactics,"Shining Force: The Legacy of Great Intention (シャイニング・フォース 神々の遺産 Shainingu Fōsu: Kamigami no Isan, lit. ""Shining Force: The Legacy of the Gods""), is a 1992 fantasy turn-based tactics role-playing video game for the Mega Drive/Genesis console. While primarily a traditional fantasy-themed game, it contains some science fiction elements",https://images.launchbox-app.com/937d22e2-6770-4a74-861d-9aa6436f34db.jpg
Alien Soldier,2007-11-05,4.1,n/a,Action - Platformer - 2D,"Alien Soldier is a side-scrolling run and gun video game developed by Treasure and published by Sega for the Mega Drive. Retail copies were released in Japan and PAL territories while in North America it was only available exclusively via the Sega Channel cable service. The story follows a powerful being named Epsilon-Eagle, who after being nearly killed becomes determined to avenge his near death and save his planet. The character has a variety of weapons and moves that the player must master to complete the game. Many gameplay ideas are borrowed from Treasure's earlier Mega Drive release, Gunstar Heroes(1993). However, Alien Soldier puts an emphasis on challenging boss fights with short and easy levels serving as downtime in-between",https://images.launchbox-app.com/03de97c6-119e-45c2-9eb7-1d1e57d448b0.jpg
