key,name
32x,Sega 32X
arcade,Arcade
atari_2600,Atari 2600
atari_5200,Atari 5200
atari_7800,Atari 7800
atari_8-bit_family,Atari 8-Bit Family
dreamcast,Sega Dreamcast
game_boy,Game Boy
game_boy_advance,Game Boy Advance
game_boy_color,Game Boy Color
game_gear,Game Gear
gamecube,Gamecube
master_system,Master System
mega_drive,Mega Drive
nintendo_3ds,Nintendo 3DS
nintendo_64,Nintendo 64
nintendo_ds,Nintendo DS
nintendo_entertainment_system,NES
nintendo_switch,Switch
pc,PC
playstation,Playstation
playstation_2,Playstation 2
playstation_3,Playstation 3
playstation_portable,Playstation Portable
playstation_vita,Playstation Vita
saturn,Sega Saturn
sega_cd,Sega CD
sega_saturn,Saturn
steam,Steam
super_nintendo_entertainment_system,SNES
turbografx-16,TurboGrafx-16
wii,Wii
wii_u,Wii-U
xbox,Xbox
