title,released,gf_score,metascore,genre,description,cover_art_url
The Legend of Zelda: Ocarina of Time,1998-11-23,4.61,99,Action Adventure - Open-World,"Ganondorf, the evil King of Thieves, is on the move, threatening the peaceful land of Hyrule. He is determined to steal his way into the legendary Sacred Realm in hopes of harnessing the power of the mythical Triforce. As the young hero Link, it is your destiny to thwart Ganondorf’s evil schemes. Navi, your guardian fairy, will guide you as you venture through the many regions of Hyrule, from the volcanic caves of Death Mountain to the treacherous waters of Zora’s Domain. Before you complete this epic quest, you’ll delve into deadly dungeons, collect weapons of great power and learn the spells you need to conquer the most irresistible force of all-time.",https://i.postimg.cc/zGC7pjfB/396e4974-d018-4d02-8ec7-3c2759ef5843.jpg
The Legend of Zelda: Majora's Mask,2000-10-25,4.42,95,Action Adventure - Open-World,"Link’s all-new epic adventure lands him in the mystical world of Termina, where ever-present clocks count down the hours until a menacing moon falls from the sky above. When his horse and Ocarina are stolen by a strange, masked figure, Link embarks on an urgent quest to solve the mystery of the moon, save the world from destruction, and find his way back to the peaceful land of Hyrule! Link transforms before your eyes. Over 20 magical masks give Link powers and abilities he’s never had before! Watch him transform into a hapless Deku child, a mighty Goron hero and a legendary Zora guitarist.",https://i.postimg.cc/9ftWWvQh/bbfeed46-f743-4f69-b47d-a9551ce29a49.jpg
Super Mario 64,1996-09-26,4.4,94,Action - Platformer - 3D,"Super Mario 64 is a 1996 platform video game for the Nintendo 64, and the first in the Super Mario series to feature three-dimensional (3D) gameplay. As Mario, the player explores Princess Peach's castle and must rescue her from Bowser. As an early 3D platformer, Super Mario 64 is based on open-world playability, degrees of freedom through all three axes in space, and relatively large areas which are composed primarily of true 3D polygons as opposed to only two-dimensional (2D) sprites. It places an emphasis on exploration within vast worlds that require the player to complete various missions, in addition to the occasional linear obstacle courses as in traditional platform games.",https://i.postimg.cc/zG4jJcP0/0f633ee3-5665-4128-a28b-9dfad23db4ff.jpg
Paper Mario,2001-02-05,4.36,93,Role-Playing - Japanese-Style,"Mario pals around in an all-new action adventure! Mario's back in his first adventure since Super Mario 64, and this time, Bowser's bent on preventing a storybook ending. When Princess Peach is kidnapped, Mario plots to rescue the seven Star Spirits and rid the Mushroom Kingdom of Koopa's cruel cohorts. As he travels from the tropical jungles of Lavalava Island to the frosty heights of Shiver Mountain, he'll meet up with seven all-new companions... and he'll need help from each one or there'll be no happily ever after.",https://i.postimg.cc/ZRs0S1wq/726d8929-5015-4a94-ace2-da43e9d935c5.jpg
Banjo-Kazooie,1998-06-29,4.33,92,Action - Platformer - 3D,"Trouble is brewing on Spiral Mountain! Gruntilda the witch, wildly jealous of Tooty the Honey Bear's good looks; is determined to steal them for herself! But even as she whisks the helpless youngster off to her tower, Tooty's big brother Banjo and his loud-mouthed partner Kazooie are hot on the trail to rescue her...Aided by the mystical shaman Mumbo Jumbo, Banjo and Kazooie must tackle gloomy swamps, scorching deserts, towering mountain ranges and spooky haunted houses on their way to the final confrontation at the summit of Gruntilda's Lair.",https://i.postimg.cc/7LfZNBH8/09201dbd-96ac-42b1-a5aa-986afd1ddc00.jpg
GoldenEye 007,1997-08-25,4.33,96,Action » Platformer » 3D,"You are Bond, James Bond. You are assigned to covert operations connected with the GoldenEye weapons satellite. M will brief you on your mission and objectives from London. Q Branch will support your efforts with a plentiful supply of weapons and gadgets. Moneypenny offers you light-hearted best wishes and you’re off! Your mission begins in the heavily guarded chemical warfare facility at the Byelomorye Dam in the USSR.",https://i.postimg.cc/PJkfTTmT/2ea26142-61e5-44fa-883b-e55c22043544.jpg
Perfect Dark,2000-05-22,4.32,97,Action - Shooter - First-Person - Arcade,"Step into the Dark... As Carrington Institute's most promising new Agent, Joanna Dark must uncover the truth behind the dataDyne Corporation's recent technological breakthroughs - breakthroughs which could have serious consequences for mankind.",https://i.postimg.cc/6Qktftbn/0827b971-c2c8-4ba7-9313-0e51e75eb496.jpg
Banjo-Tooie,2000-11-20,4.32,90,Action - Platformer - 3D,"Two years after Banjo & Kazooie rescued Banjo's sister Tooty, the antagonist Gruntilda Winkybunion and her sisters, Mingella and Blobbelda, are planning to restore Gruntilda's body to its original form. Banjo and Kazooie must stop them before it is too late.",https://i.postimg.cc/SxnBTHMr/502e9319-c887-453f-a291-6852a334d657.jpg
Harvest Moon 64,1999-11-30,4.28,78,Strategy - Management - Business / Tycoon,"Harvest Moon 64, released in Japan as Bokujou Monogatari 2, is a farm simulation video game developed by Victor Interactive Software and published by Natsume for the Nintendo 64 video game console, and the third game in the Story of Seasons series (following Harvest Moon GB). It was first released in Japan on February 5, 1999, and was later released in North America on December 22, 1999",https://i.postimg.cc/LX8wP72L/28595-harvest-moon-64-full.png
Ogre Battle 64: Person of Lordly Caliber,2000-10-07,4.28,82,Strategy - Turn-Based - Tactics,"Ogre Battle 64: Person of Lordly Caliber is a real-time tactical role-playing game developed by Quest Corporation and localized by Atlus USA for the Nintendo 64. Though conceptually similar to Ogre Battle: The March of the Black Queen, significant gameplay tweaks were implemented to improve the game's overall flow. Ogre Battle 64 is the third game in the series, the first two being Ogre Battle: The March of the Black Queen, and Tactics Ogre: Let Us Cling Together. Gaidens have been released in Japan, on Game Boy Advance and Neo Geo Pocket Color.",https://i.postimg.cc/N0gzhVyS/768caeb9-fe02-4ab2-b147-2bd89b125dbc.jpg
