title,released,gf_score,metascore,genre,description,cover_art_url
Chrono Trigger,2008-11-25,4.59,92,Role-Playing - Japanese-Style,"Chrono Trigger is a role-playing video game developed and published by Square for the Super Nintendo Entertainment System in 1995 that began the Chrono series. Chrono Trigger's development team included three designers that Square dubbed the ""Dream Team"": Hironobu Sakaguchi, the creator of Square's successful Final Fantasy series; Yuji Horii, a freelance designer and creator of Enix's popular Dragon Quest series; and Akira Toriyama, a manga artist famed for his work with Dragon Quest and Dragon Ball. In addition, Kazuhiko Aoki produced the game, Masato Kato wrote most of the story, while composer Yasunori Mitsuda wrote most of the soundtrack before falling ill and deferring the remaining tracks to Final Fantasy series-composer Nobuo Uematsu. The game's story follows a group of adventurers who travel through time to prevent a global catastrophe.",https://images.launchbox-app.com/d1cb8066-54dd-438b-869d-72feb41d88c6.jpg
The World Ends with You,2008-04-22,4.49,88,Role-Playing - Action RPG,"The World Ends with You is an action role-playing game with urban fantasy elements developed by Square Enix and Jupiter for the Nintendo DS. Set in the modern-day Shibuya shopping district of Tokyo, The World Ends with You features a distinctive art style inspired by Shibuya and its youth culture. Development was inspired by elements of Square Enix's previous game, Kingdom Hearts: Chain of Memories. It was released in Japan in July 2007, and in PAL regions and North America in April 2008. Later, an enhanced port to accommodate the game for mobile devices ported by h.a.n.d. was released in 2012, while an enhanced port for the Nintendo Switch was released worldwide in 2018 under the title The World Ends with You: Final Remix.",https://images.launchbox-app.com/ab9f89be-ad57-4132-af90-57643e79e155.jpg
Phoenix Wright: Ace Attorney - Trials and Tribulations,2007-10-23,4.48,81, Adventure - Visual Novel,"Phoenix Wright: Ace Attorney − Trials and Tribulations is a visual novel adventure video game developed and published by Capcom. It was originally released for the Game Boy Advance in 2004 in Japan, and has since been released for several platforms, including a Nintendo DS version that was released in 2007 in Japan and North America and in 2008 in Europe. It is the third game in the Ace Attorney series, following Phoenix Wright: Ace Attorney (2001) and Justice for All (2002)",https://images.launchbox-app.com/d17e89dc-2cbf-41c5-8c87-29c3613c2be5.jpg
"Nine Hours, Nine Persons, Nine Doors",2010-11-16,4.47,82,Adventure - Visual Novel,"Nine Hours, Nine Persons, Nine Doors is an adventure video game developed by Chunsoft. It is the first installment in the Zero Escape series, and was released in Japan in 2009 and in North America in 2010 for the Nintendo DS. The story follows Junpei, a college student who is abducted along with eight other people and forced to play the ""Nonary Game,"" which puts its participants in a life-or-death situation, to escape from a sinking cruise liner. The gameplay alternates between two types of sections: Escape sections, where the player completes puzzles in escape-the-room scenarios; and Novel sections, where the player reads the game's narrative and makes decisions that influence the story toward one of six different endings.",https://images.launchbox-app.com/9579b1d5-56a5-4a4a-8ceb-51cc693dc524.png
Pokemon SoulSilver Version,2010-03-14,4.41,87,Role-Playing - Trainer,"Pokémon HeartGold Version and SoulSilver Version are enhanced remakes of the 1999 video games Pokémon Gold and Silver, including the features in Pokémon Crystal. The games are part of the fourth generation of the Pokémon series of role-playing video games, and were developed by Game Freak, published by The Pokémon Company and Nintendo for the Nintendo DS. The games were released in Japan on September 12, 2009, and were later released in other countries during March 2010.",https://images.launchbox-app.com/727e850b-414f-4d2b-a3ce-c5184e119902.jpg
Ghost Trick: Phantom Detective,2011-01-11,4.41,83,Adventure - General,"Ghost Trick: Phantom Detective is an adventure game developed by Capcom for the Nintendo DS and iOS. Ghost Trick's story centers on the recently deceased protagonist Sissel, and his ghost's struggle to discover who he was when he was alive and who killed him. The player assumes the role of this ghost, who has the ability to perform various Ghost Tricks to solve puzzles and navigate the world around him.",https://images.launchbox-app.com/71ccbb3f-e213-493d-9085-7cffdc50be79.jpg
Pokemon HeartGold Version,2010-03-14,4.4,87,Role-Playing - Trainer,"Pokémon HeartGold Version and SoulSilver Version are enhanced remakes of the 1999 video games Pokémon Gold and Silver, including the features in Pokémon Crystal. The games are part of the fourth generation of the Pokémon series of role-playing video games, and were developed by Game Freak, published by The Pokémon Company and Nintendo for the Nintendo DS. The games were released in Japan on September 12, 2009, and were later released in other countries during March 2010.",https://images.launchbox-app.com/9464e461-7fd6-4cff-9d14-56ee7691b993.jpg
Gyakuten Kenji 2,2011-02-03,3.39,N/A,Adventure - Visual Novel,"Gyakuten Kenji 2, unofficially known as Ace Attorney Investigations 2, is an adventure video game developed by Capcom. It was released in Japan for the Nintendo DS in 2011 and for Android and iOS in 2017; Capcom does not plan to release the game outside Japan, but a full English fan translation was released in 2015. The game is the sixth entry in the Ace Attorney series, and a sequel to Ace Attorney Investigations: Miles Edgeworth (2009).",https://images.launchbox-app.com/6b25cdb8-8dcd-4be4-938c-ad08f8ced784.jpg
Moero! Nekketsu Rhythm Damashii: Osu! Tatakae! Ouendan 2,2007-05-17,4.39,N/A,Action - Rhythm - Music,"Moero! Nekketsu Rhythm Damashii: Osu! Tatakae! Ouendan 2 is a rhythm video game developed by iNiS and published by Nintendo for the Nintendo DS handheld video game console. It is the third game to use its gameplay, and is the sequel to Osu! Tatakae! Ouendan while incorporating many of the improvements in gameplay made in Elite Beat Agents. The game has 4-player wireless play, supports the Nintendo DS Rumble Pak accessory, and was released in Japan on May 17, 2007.",https://images.launchbox-app.com/c7e63246-18a6-4b49-acf8-1f3944a1d54a.jpg
Inazuma Eleven 3: Sekai e no Chousen!! The Ogre,2010-12-16,4.38,N/A,Sports - Team - Soccer - Arcade,"Inazuma Eleven 3 (イナズマイレブン3 世界への挑戦!! Inazuma Irebun 3: Sekai e no Chousen, lit. ""Inazuma Eleven 3: Challenge to the World"") is a role-playing video game and sports video game for the Nintendo DS developed and published by Level-5. There are 3 versions of the game: Spark and Bomber, released on July 1, 2010 in Japan, followed in December 16, 2010 by The Ogre. The Nintendo DS versions were never released outside Japan.",https://images.launchbox-app.com/e6921486-c4b9-4d99-9ded-3247b08f9e3f.jpg
