title,release,gf_score,metascore,genre,description,cover_art_url
Super Mario Bros. 3,,4.55,,Action,"Super Mario Bros. 3 is a platform video game developed and published by Nintendo for the Nintendo Entertainment System(NES). It was released in Japan on October 23, 1988, and in North America on February 12, 1990. It was developed by Nintendo Entertainment Analysis and Development, led by Shigeru Miyamoto and Takashi Tezuka. Players control plumbers Mario or Luigi, who must save Princess Toadstool and the rulers of seven different kingdoms from the antagonist Bowser.",https://i.postimg.cc/9z5vxkh7/500ae7d7-0c4a-41bf-a91c-747623e894a5.jpg
Mega Man 2,,4.27,,Action,"Mega Man 2 is an action game developed and published by Capcom for the Nintendo Entertainment System. It was released in Japan in 1988 and in North America and PAL regions the following years. Mega Man 2 continues Mega Man's battle against the evil Dr. Wily and his rogue robots. It introduced graphical and gameplay changes, many of which became series staples. Although sales for the original Mega Man were unimpressive, Capcom allowed the team to create a sequel.",https://i.postimg.cc/fbqWHMgS/49efb7ec-6ad8-4d35-aeeb-d1654dd6f8bb.png
Dragon Warrior IV,,4.26,80,Role-Playing,"Dragon Quest IV: Chapters of the Chosen, titled Dragon Warrior IV when initially localized to North America, is a role-playing video game, the fourth installment of the Dragon Quest video game series developed by Chunsoft and published by Enix, and the first of the Zenithian Trilogy. It was originally released for the Famicom on 11 February 1990 in Japan. A North American NES version followed in October 1992, and would be the last Dragon Quest game localized and published by Enix's Enix America Corporation subsidiary prior to its closure in November 1995, as well as the last Dragon Quest game to be localized into English prior to the localization of Dragon Warrior Monsters in December 1999.",https://i.postimg.cc/T1gRYg2n/abe28a44-b696-4115-828f-7aa0694df493.jpg
The Legend of Zelda,,4.22,84,Action Adventure,"The Legend of Zelda is a fantasy action-adventure video game franchise created by Japanese game designers Shigeru Miyamotoand Takashi Tezuka. It is primarily developed and published by Nintendo, although some portable installments and re-releases have been outsourced to Capcom, Vanpool, and Grezzo. The series' gameplay incorporates action-adventure and elements of action RPG games.",https://i.postimg.cc/HLnd8fsY/24251e00-230c-44c0-820e-ad430089c71e.jpg
Super Mario Bros. / Duck Hunt,,4.2,,Miscellaneous,"Super Mario Bros./Duck Hunt is a best-selling NES cartridge combining the games Super Mario Bros. and Duck Hunt. The player would select which game to play on the first menu. It was a best selling game, largely due to the fact that it was packaged with the NES Action Set. That package also included the Zapper Light Gun for Duck Hunt. This game was developed and published by Nintendo and was released in November 1988.",https://i.postimg.cc/Bb90yb5b/f8ebbaa9-5390-4e6b-92e2-4d330d6121a4.png
Mega Man 3,,4.2,,Action,"Mega Man 3 is an action-platform video game developed and published by Capcom for the Nintendo Entertainment System. It is the third game of the original Mega Man series and was originally released in Japan on September 28, 1990. The game localized in North America later in 1990 and in European regions in 1992. Taking place after the events of Mega Man 2, the plot follows the titular hero as he helps his creator, Dr. Light, and a former villain, Dr. Wily, collect parts for a peace-keeping robot by defeating several Robot Masters that have gone haywire.",https://i.postimg.cc/bNg7035s/57ae5a2b-6512-4678-8b10-64685e1b943b.jpg
Contra,,4.19,,Action,"Contra is a run and gun video game developed and published by Konami, originally released as a coin-operated arcade game on February 20, 1987. A home version was released for the Nintendo Entertainment System in 1988, along with ports for various computer formats, including the MSX2. The home versions were localized in the PAL regionas Gryzor on the various computer formats and as Probotector on the NES, released later. Several Contra sequels were produced following the original game.",https://i.postimg.cc/zvJdV18p/3c70d940-5dfe-45ea-a957-9a8e6d2d00f8.jpg
Super Mario Bros.,,4.18,84,Action,"Super Mario Bros. is a platform video game developed and published by Nintendo. The successor to the 1983 arcade game, Mario Bros., it was released in Japan in 1985 for the Famicom, and in North America and Europe for the Nintendo Entertainment System (NES) in 1985 and 1987 respectively. Players control Mario, or his brother Luigi in the multiplayer mode, as they travel the Mushroom Kingdom to rescue Princess Toadstool from the antagonist, Bowser. They must traverse side-scrolling stages while avoiding hazards such as enemies and pits with the aid of power-ups such as the Super Mushroom, Fire Flower and Starman.",https://i.postimg.cc/SsGd0tC9/0f1ff472-a800-471e-b99b-7ce9d672cbbb.png
Tecmo Super Bowl,1991-12-01,4.18,,Sports,"Tecmo Super Bowl is an American football video game for the Nintendo Entertainment System (NES) that was released in December, 1991. Developed by Tecmo, it was the first sports video game that was licensed by both the National Football League and the National Football League Players Association, thus allowing the game to use both the names and attributes of real NFL teams and real NFL players. Prior games used the real teams or the real players, but not both simultaneously.",https://i.postimg.cc/BQbgyp68/51d7e5bb-15b3-424f-912e-d13655b005a2.jpg
Dragon Warrior III,,4.16,,Role-Playing,"Dragon Quest III was localized outside Japan as Dragon Warrior III. It's a role-playing video game developed by Chunsoft and published by Enix (now Square Enix). It is the third installment in the Dragon Quest series (known as Dragon Warrior in North America at the time of its original release), first released for the Famicom in Japan, and then the NES in North America. The game later was ported as an enhanced remake on the Super Nintendo in late 1996 and then on the Game Boy Colorin 2001. This game was never released in Europe.",https://i.postimg.cc/QNy5B38t/1d981a37-f09b-42cf-93eb-b0a99b715d01.jpg
Kirby's Adventure,,4.15,,Action,"Kirby's Adventure is a 1993 platform game developed by HAL Laboratory and published by Nintendo for the Nintendo Entertainment System (NES). It is the second game in the Kirby series after Kirby's Dream Land (1992) on the Game Boy and the first to include the copy ability, which allows the main character Kirby to gain new powers by eating certain enemies. The game centers around Kirby traveling across Dream Land to repair the Star Rod after King Dedede breaks it apart and gives the pieces to his minions.",https://i.postimg.cc/vZd498pQ/0bdcf9f7-572e-4311-b600-6a7cabdf9a0a.jpg
Crystalis,,4.13,,Role-Playing,"Crystalis is a 1990 action RPG/action-adventure video game produced by SNK for the Nintendo Entertainment System. Though Crystalis never became a runaway hit, it is now considered a cult classic. The game's initial success prompted a release for the Game Boy Color by Nintendo Software Technology in 2000, which is generally considered more of a remake than a simple port. Many changes were made to the story, music, and other aspects of the game, upsetting fans of the original.",https://i.postimg.cc/s2T4fHTC/7c4d5f1a-a3a0-4815-8cb2-d9fe06f1acab.jpg
Mike Tyson's Punch-Out!!,,4.13,,Sports,"Punch-Out!!, originally titled Mike Tyson's Punch-Out!!, is a boxing sports fighting video game for the Nintendo Entertainment System (NES) developed and published by Nintendo in 1987. Years later, worldwide releases of the game were re-branded as Punch-Out!! Part of the Punch-Out!! series, it is a port of both the Punch-Out!!and Super Punch-Out!!arcade games with some variations.",https://i.postimg.cc/bvw15HpC/96d86e0c-e80f-43f3-82f9-3fbadf389ab0.jpg
Castlevania III: Dracula's Curse,,4.11,,Action,"Castlevania III: Dracula's Curse is the third Castlevania video game produced for the Nintendo Entertainment System. It was published by Konami in Japan in 1989, and in North America in 1990, and in Europe by Palcom in 1992. It was later released on the Wii Virtual Console. It is notorious for its difficulty, and like its predecessors is also notable for its highly regarded sound track. The plot of Castlevania III: Dracula's Curse is a prequel to the original Castlevania (much like the earlier Game Boy game Castlevania: The Adventure) set a few centuries before the events of the original game. The game's protagonist is Trevor C. Belmont, an ancestor of the original hero Simon Belmont.",https://i.postimg.cc/dQyrg0cY/c1fa7940-7dd0-4c71-b4d7-c1ee05c924bd.jpg
The Guardian Legend,,4.09,,Action,"The Guardian Legend is a 1988 hybrid action-adventure/shoot 'em up video game developed by Compile for the Nintendo Entertainment System (NES). It is the sequel to the 1986 MSX game Guardic, and was published and released in Japan by Irem in 1988, in North America by Brøderbund in 1989, and in Europe by Nintendo in 1990. It incorporates gameplay elements from other games such as The Legend of Zelda, Metroid, and 1942. In the game, the player controls a lone protagonist, the Guardian, who is on a quest to destroy a large alien-infested world named Naju before it reaches the planet Earth.",https://i.postimg.cc/dV4yGkr8/82f6c9ac-94d1-4759-afe0-037fe2dc95fa.jpg
River City Ransom,,4.07,,Action,"River City Ransom, later released as Street Gangs in the PAL regions, is an open world action role-playing beat 'em up video game for the Nintendo Entertainment System. It was developed by Technōs Japan and originally released in Japan on April 25, 1989. It is the third game in Technos' Kunio-kun series released for the console, preceded by Renegade and Super Dodge Ball. Like its predecessors, River City Ransom underwent great changes in its storyline and graphical presentation during its localization in order to make the game more palatable in the Western market. It was one of the first console games published by North American subsidiary American Technos.",https://i.postimg.cc/Twm1NpLN/e91f9f44-6e36-4b5b-93d2-17c2432923ba.jpg
