title,released,gf_score,metascore,genre,description,cover_art_url
The Witcher 3: Wild Hunt,2015-05-19,4.54,93,Role-Playing - Action RPG,"The Witcher 3: Wild Hunt is a 2015 action role-playing game developed and published by CD Projekt, based on The Witcher series of fantasy novels by Andrzej Sapkowski. It is the sequel to the 2011 game The Witcher 2: Assassins of Kings. Played in an open world with a third-person perspective, players control protagonist Geralt of Rivia, a monster hunter known as a witcher, who is looking for his missing adopted daughter on the run from the Wild Hunt: an otherworldly force determined to capture and use her powers. Players battle the game's many dangers with weapons and magic, interact with non-player characters, and complete main-story and side quests to acquire experience points and gold, which are used to increase Geralt's abilities and purchase equipment. Its central story has several endings, determined by the player's choices at certain points in the game.",https://i.postimg.cc/kMcpCbwb/31921342-b7f6-4010-bc3d-83d04c481ffb.jpg
Cave Story,2004-12-20,4.48,N/A,Action - Platformer - 2D,"Cave Story is a Metroidvania platform-adventure video game released in 2004 for Windows PCs. It was developed over five years by Japanese developer Daisuke ""Pixel"" Amaya in his free time. Cave Story features 2D platform mechanics and is reminiscent of the games Amaya played in his youth, such as Metroid and Castlevania (both from 1986). After its initial self-published release, the game slowly gained popularity on the internet. It received widespread critical acclaim for many polished aspects of its design, like its compelling characters, setting, story, and gameplay. Cave Story is considered by many as the quintessential indie game because of its one-man development team and influence on the gaming world.",https://i.postimg.cc/0ymGkgxB/0fac2729-9161-4385-b863-054041be49d9.jpg
Baldur's Gate II: Shadows of Amn,2000-09-24,4.48,95,Role-Playing - Western-Style,"Baldur's Gate II: Shadows of Amn is a role-playing video game developed by BioWare and published by Interplay Entertainment. It is the sequel to Baldur's Gate (1998) and was released for Microsoft Windows in September 2000. Like Baldur's Gate, the game takes place in the Forgotten Realms—a fantasy campaign setting—and is based on the Advanced Dungeons & Dragons 2nd edition rules. Powered by BioWare's Infinity Engine, Baldur's Gate II uses an isometric perspective and pausable real-time gameplay. The player controls a party of up to six characters, one of whom is the player-created protagonist, while the others are certain characters recruited from the game world.",https://i.postimg.cc/hGBLhCtP/5afe2f73-e642-4e5d-b3fa-c4b17595c795.jpg
Planescape: Torment,1999-12-14,4.43,95,Role-Playing - Western-Style,"Planescape: Torment is a role-playing video game developed by Black Isle Studios and published by Interplay Entertainment. Released for Microsoft Windows on December 12, 1999, the game takes place in locations from the multiverse of Planescape, a Dungeons & Dragons (D&D) fantasy campaign setting. The game's engine is a modified version of the Infinity Engine, which was used for BioWare's Baldur's Gate, a previous D&D game set in the Forgotten Realms.",https://i.postimg.cc/nLpmnC3X/e5d58395-00f6-49e1-997b-f88e729091d6.jpg
Portal 2,2011-04-19,4.43,91,Action - Shooter - First-Person - Arcade,"Portal 2 is a first-person puzzle-platform video game developed by Valve Corporation. It was released in April 2011 for Windows, OS X, Linux, PlayStation 3, and Xbox 360. The digital PC version is distributed online by Valve's Steam service, while all retail editions were distributed by Electronic Arts.",https://images.launchbox-app.com/5aa7e40a-e9be-46ab-b917-6345bb3c63c4.jpg
Deus Ex,2000-06-23,4.43,90,Action Adventure - General,"Deus Ex is a series of role-playing video games. The first two games in the series were developed by Ion Storm, and subsequent entries were developed by Eidos Montreal, following Ion Storm's closure. The series, set during the 21st century, focuses on the conflict between secretive factions who wish to control the world by proxy, and the effects of transhumanistic attitudes and technologies in a dystopian future setting.",https://images.launchbox-app.com/1d7ce5a0-27db-48b2-91a3-046fdbeaa873.jpg
Grim Fandango,1998-10-14,4.43,94,Adventure - 3D - Third-Person,"Grim Fandango is an adventure game, directed by Tim Schafer, developed and published by LucasArts in 1998 for Windows. It is the first adventure game by LucasArts to use 3D computer graphics overlaid on pre-rendered static backgrounds. As with other LucasArts adventure games, the player must converse with characters and examine, collect, and use objects to solve puzzles.",https://i.postimg.cc/W4NdQx4r/2aaf5bf2-f30d-401c-a213-c717bd92975d.jpg
Silent Hill 2,2002-12-02,4.42,70,Action Adventure - Survival,"Silent Hill 2 is a survival horror video game published by Konami for the PlayStation 2 and developed by Team Silent, part of Konami Computer Entertainment Tokyo. It was released in September 2001 as the second installment in the Silent Hill series. An extended version containing an extra bonus scenario and other additions was published for Xbox in December of the same year. In 2002 it was ported to Windows. A remastered high-definition version was released for the PlayStation 3 and the Xbox 360 in 2012 as part of the Silent Hill HD Collection.",https://i.postimg.cc/q71N0QtF/d9150da7-7971-4359-988a-8ee2ef305121.jpg
Starcraft,1998-03-31,4.41,88,Strategy - Real-Time - Command,"StarCraft is a military science fiction media franchise, created by Chris Metzen and James Phinney and owned by Blizzard Entertainment. The series, set in the beginning of the 26th century, centers on a galactic struggle for dominance among four species—the adaptable and mobile Terrans, the ever-evolving insectoid Zerg, the powerfully enigmatic Protoss, and the ""god-like"" Xel'Naga creator race—in a distant part of the Milky Way galaxy known as the Koprulu Sector. The series debuted with the video game StarCraft in 1998. It has grown to include a number of other games as well as eight novelizations, two Amazing Stories articles, a board game, and other licensed merchandise such as collectible statues and toys.",https://i.postimg.cc/PxcNvxQz/41cfbc36-a9a4-4416-a6cb-a88c2300abd2.jpg
The Orange Box,2007-10-10,4.41,96,Miscellaneous - Compilation,"The Orange Box is a video game compilation containing five games developed by Valve Corporation. Two of the games included, Half-Life 2 and its first stand-alone expansion, Episode One, had previously been released as separate products. Three new games were also included in the compilation: the second stand-alone expansion, Half-Life 2: Episode Two, the puzzle game Portal, and Team Fortress 2, the multiplayer game sequel to Team Fortress Classic. Valve also released a soundtrack containing music from the games within the compilation. A separate product entitled The Black Box was planned, which would have included only the new games, but was later cancelled.",https://i.postimg.cc/ZYCfd5S9/db9f7c73-8301-4d6f-8662-570f8dc8e711.jpg
