title,release,gf_score,metascore,genre,description,cover_art_url
Castlevania: Symphony of the Night,1997-10-02,4.6,93,Role Playing » Action RPG,"Castlevania: Symphony of the Night is a platform-adventure action role-playing game developed and published by Konami in 1997 for the PlayStation. It was directed and produced by Toru Hagihara, with Koji Igarashi acting as assistant director. It is the direct sequel to Castlevania: Rondo of Blood, taking place four years later. It features Dracula's dhampir son Alucard as the protagonist, rising from his slumber to explore Dracula's castle which has re-appeared after Richter Belmont vanished. It marks a break from previous games in the series, introducing exploration, non-linear level design and role-playing elements.",http://www.thegeekedgods.com/wp-content/uploads/2016/03/Castlevania-cover.jpg
Metal Gear Solid,1998-10-21,4.57,94,Action Adventure » General,"You are Snake, a government agent on a mission to regain control of a secret nuclear weapons base from terrorist hands. Lightly armed and facing an army of foes, Snake must avoid firefights in order to survive. If Snake can locate them he can utilize advanced hardware, ranging from silenced pistols to ground-to-air missiles. Enemies react to sight and sound - so stay quiet and stay in the shadows. State-of-the-art graphics: textures, transparencies, models and explosions. Taut, gripping story with multiple endings - a truly cinematic experience.",http://boxequalsart.com/metal-gear-solid-ps1-big.jpg
Suikoden II,1999-08-31,4.55,82,Role-Playing » Japanese-Style,"Sequel to the early PlayStation RPG. As a member of the Alliance, a military force only really hinted at in the original, you play the unwitting hero of the game: an orphan who has been raised by a quiet, unassuming battle hero in a seemingly ancient war. Alongside you in the ranks is your best friend Jowy, a boy born of nobility but who has never been able to receive approval in his stubborn father's eyes. As the game begins, you are immediately tossed into a tale of political strife, betrayal and war on a grand scale beyond your scope in the early stages. As the game wears on, the plot will twist, turn and develop in numerous ways that expose the personalities of each of the characters involved.",https://media.playstation.com/is/image/SCEA/suikoden-ii-listing-thumb-01-us-09dec14?$Icon$
Final Fantasy VII,1997-09-07,4.49,92,Role-Playing » Japanese-Style,"Final Fantasy VII is a 1997 role-playing video game developed by Square for the PlayStation console. It is the seventh main installment in the Final Fantasy series. Published in Japan by Square, it was released in other regions by Sony Computer Entertainment and became the first in the main series to see a PAL release.",https://gamefaqs.akamaized.net/box/7/8/1/781_front.jpg
Chrono Trigger,2011-10-04,4.43,,Role-Playing » Japanese-Style,"CHRONO TRIGGER has been hailed as one of the greatest games of all time by critics and fans alike. With a unique and multifaceted storyline, the game revolutionized the world of RPGs with never-before-seen features, including an unprecedented soundtrack and multiple endings determined by side quests and the player's actions.",https://www.mobygames.com/images/covers/l/10941-chrono-trigger-playstation-front-cover.jpg
Final Fantasy Tactics,1998-01-28,4.41,83,Strategy » Turn-Based » Tactics,Final Fantasy Tactics is a tactical role-playing game developed and published by Squaresoft (later changed to Square and now Square Enix) for the Sony PlayStation video game console. It is the first game of the Final Fantasy Tactics series and was released in Japan in June 1997 and in the United States in January 1998.,http://www.fantasyanime.com/finalfantasy/fftactics/fftacticspsx_CaseFront.jpg
Final Fantasy IX,2000-11-13,4.4,94,Role-Playing » Japanese-Style,"Final Fantasy IX is a 2000 role-playing video game developed and published by Squaresoft for the PlayStation video game console. It is the ninth game in the main Final Fantasy series and the last to debut on the original PlayStation. The plot centers on the consequences of a war between nations in a medieval fantasy world called Gaia. Players follow bandit Zidane Tribal, who kidnaps Alexandrian princess Garnet Til Alexandros XVII as part of a gambit by the neighboring nation of Lindblum. He joins Garnet and a growing cast of characters on a quest to take down her mother, Queen Brahne of Alexandria, who started the war. The plot shifts when the player learns that Brahne is a pawn of a more menacing threat, Kuja, who shares a mysterious history with Zidane spanning two worlds.",https://www.mobygames.com/images/covers/l/427874-final-fantasy-ix-playstation-4-front-cover.jpg
Xenogears,1998-10-20,4.4,84,Role-Playing » Japanese-Style,"Xenogears is a role-playing video game developed and published by Square for the PlayStation video game console. The debut entry in the wider Xeno franchise, it was released in Japan in February 1998, and in North America in October the same year.",https://i.ytimg.com/vi/cIYB5stWUPU/maxresdefault.jpg
Resident Evil 2: Dual Shock Edition,1998-08-05,4.38,,Action Adventure » Survival,"First there was the disaster at the mansion lab. Umbrella Corp. developed the T-virus, a muta-genic toxin for use in biological weapons. After breaking loose, living things mutated into all sorts of decaying creatures. The case was eventually closed, but Umbrella's experiments were far from over. Now it's the worst possible nightmare: a new virus runs rampant. All of Raccoon City is infested. Blood-thirsty zombies, hideous mutations now overwhelm the community. When Leon and Claire arrive in town their nightmare is just beginning...You now control their destiny. If the suspense doesn't kill you...something else will.","http://2.bp.blogspot.com/-w9IE6mYupPw/VFVTXl9bikI/AAAAAAAAA9U/NsvJfNNlpVk/s1600/Resident%2BEvil%2B2%2B-%2BCOVER.jpg"
Resident Evil 2,1998-01-21,4.36,89,Action Adventure » Survival,"Ready or not, the terror of Resident Evil 2 is here. In chapter one, the case of the disastrous T-virus outbreak--a mutagenic toxin designed for biological weapons--was eventually closed but the experiments were far from over. Control the destiny of Leon Kennedy or Claire Redfield as their nightmare begins when a biotech terror runs rampant in Raccoon City. Relentless zombies and hideous monsters are all out for a taste of your blood. If the suspense doesn't kill you, something else will.",https://steamcdn-a.akamaihd.net/steam/apps/883710/header.jpg?t=1556224097
Valkyrie Profile,2000-08-29,4.34,81,Role-Playing » Japanese-Style,"Valkyrie Profile is a role-playing video game developed by tri-Ace and published by Enix for the PlayStation. It was released on 12 22, 1999 in Japan and on August 29, 2000 in North America.",https://upload.wikimedia.org/wikipedia/en/thumb/3/3a/Vpbox.jpg/220px-Vpbox.jpg
Final Fantasy VI,2011-12-6,4.3,,Role-Playing » Japanese-Style,"Final Fantasy VI, also known as Final Fantasy III from its marketing for initial North American release in 1994, is a role-playing video game developed and published by Japanese company Square for the Super Nintendo Entertainment System.",https://upload.wikimedia.org/wikipedia/en/0/05/Final_Fantasy_VI.jpg
Silent Hill,1999-01-31,4.27,86,Action Adventure » Survival,"A young man searching for his daughter - struggling to exist in a place between reality and hell - a town hiding gruesome, dark secrets. Follow a trail of blood and mutilation to snatch a loved one from the clutches of a demonic power. Enter an alternative dimension where death is no escape. Welcome to the madness that is Silent Hill...",https://www.sonypictures.com/sites/default/files/styles/max_560x840/public/chameleon/title-movie/238840_SILENT%20HILL_1400x2100_Eng.jpg?itok=cV5B_OHO
Harvest Moon: Back To Nature,2000-11-22,4.27,82,Strategy » Management » Business / Tycoon,"As a child you visited your Grandfather's ranch when vaction plans fell through. Return to the farm that holds fond childhood memories and rejuvenate it's long neglected fields. Tend to your livestock and interact with over 50 characters. As you struggle to make the farm something your grandfather would be proud of, one nagging question remains: What ever happend to the little girl that you knew a decade ago?",https://images-na.ssl-images-amazon.com/images/I/61CW9FT405L._SX342_.jpg
Star Ocean: The Second Story,1999-05-31,4.26,80,Role-Playing » Action RPG,"In an endless sea of stars, at the edge of the universe, a single fateful encounter is about to take place. The Gods have hurled a deadly meteorite into an unsuspecting planet, unleashing powerful mysterious and sudden chaos. Now, two people from different worlds will collide into a journey so deep, they might never make it back.",https://upload.wikimedia.org/wikipedia/en/thumb/7/71/Star_Ocean_Second_Story.jpg/220px-Star_Ocean_Second_Story.jpg
