title,released,gf_score,metascore,genre,description,cover_art_url
Final Fantasy XIII ,"March 09, 2010",4.51,83,RPG» JRPG,"Cocoon, a human paradise, floats above the world of Pulse. When an ancient entity of Pulse origin awakens on the outskirts of a Cocoon city, paradise is threatened from within. Chosen by destiny, six must choose between saving mankind, and saving themselves.", https://i.postimg.cc/mkgHgGjt/ff13.jpg
3D Dot Game Heroes,2010-05-11,3.93,77,Action - Adventure - Role-Playing,"From the makers of the award winning Demon’s Souls comes the ultimate retro gaming experience: 3D Dot Game Heroes. An homage to the all time classic action/adventure and RPGs, 3DDGH delivers incredibly satisfying old school gameplay, beautiful visuals, and endless inside jokes, winks, and nudges for people who grew up in the golden age of gaming! Control a hero on a quest to rid the Dotnia Kingdom of a dark plague caused by the forces of evil in order to restore peace to the land. Legend tells of an evil king known as the Dark King Onyx who brought tragedy and darkness to the kingdom by stealing six magical orbs. However a hero rose up against the Dark King and with his legendary sword and the power of the orbs, he sealed the Dark King Onyx away within another orb. Though the forces of evil rose again as the Dark Bishop Fuelle stole the orb and threw the Kingdom of Dotnia into a state of chaos once more.",https://i.postimg.cc/FHqbdHqr/8f258531-8390-4368-a066-29ebea519445.jpg
Alice: Madness Returns,,gf_score,metascore,Action - Platform,"Alice: Madness Returns takes place 10 years after the conclusion of the original game, with Alice struggling to recover from the emotional trauma of losing her entire family in a fatal fire. After spending a decade institutionalized in an insane asylum, she is finally released to the care of a psychiatrist who just may be able to help her conquer the nightmarish hallucinations that still haunt her. Alice embarks on a mission to root out the true cause of her family's mysterious death, jumping from a gloomy and stark London to a rich and provocative Wonderland. Includes the original American McGee's Alice remastered as an extra.",https://i.postimg.cc/KcJM3Yk6/5d898bdb-a786-449b-ab3d-22022d0d601a.jpg
Aliens: Colonial Marines,2013-02-12,2.78,43,Action - Shooter,"In Aliens: Colonial Marines, players are part of a United States Colonial Marine squad and must prepare to face an alien assault more intense and horrific than ever before. Packing classic Aliens weaponry ranging from pulse rifles to flamethrowers as well as brand-new equipment and skills all within a squad-based combat system, players will become an elite United States Colonial Marine. Aliens: Colonial Marines will feature a story driven single-player mode and an all-new four player co-op mode allowing players to share the chilling experience with three friends.",https://i.postimg.cc/1Xr4GsKY/c344ed72-faec-4b42-88b5-4aa316d35cb6.jpg
Assassin's Creed II,2009-11-17,4.26,91,Action,"Delve deeper into the secret society of assassins with the sequel to the blockbuster action-adventure game. Assassin's Creed 2 is an epic story of family, vengeance and conspiracy set in the pristine, yet brutal, backdrop of a Renaissance Italy. Ezio befriends Leonardo da Vinci, takes on Florence's most powerful families and ventures throughout the canals of Venice where he learns to become a master assassin. This game retains the core gameplay experience that made the first opus a resounding success and features new experiences that will surprise and challenge players.",https://i.postimg.cc/GtthyGH9/be63e191-f35b-4ed6-bc99-6120c6a797a6.jpg
Batman: Arkham City,2011-10-18,4.42,96,Action - Adventure,"From Giant Bomb: ""Batman: Arkham City is the sequel to Batman: Arkham Asylum, and was released for the Playstation 3 and Xbox 360 on Oct. 18th, 2011. The PC version was released on November 18, 2011, and a version for the Nintendo Wii U is expected some time in 2012. Square-Enix will be publishing all versions of the game in Japan. Taking place a year after Arkham Asylum, the storyline starts with Quincy Sharp, formerly the warden of Arkham Asylum, now the mayor of Gotham City, turning the Gotham slums into a cordoned off prison colony named Arkham City with psychologist Hugo Strange as its warden. The gameplay has been updated to incorporate more of Batman's gadgets in combat and a new faster traversal system. Players will also be able to play as Catwoman in certain sections of the game. On September 25, 2011, the game developers at Rocksteady officially announced that the game was finished and being shipped out to retailers.""",https://i.postimg.cc/Gt6rTfWS/92d960f9-0f81-4ebe-b809-2f5a6cc9b9e3.jpg
Dragon's Crown,2013-08-06,4.21,82,Action - Role Playing,"From George Kamitani and Vanillaware, the mind and design team behind Odin Sphere and Muramasa: The Demon Blade, Dragon's Crown is a multiplayer action RPG with breathtaking visual style, a design built around cooperative play and epic boss fights, and the ability to discover a new adventure in every play session. With Dragon's Crown, developer Vanillaware deftly marries stunning hand-drawn and animated art work with deep, action-packed hardcore gameplay. Brandish your blade, dust off your grimoire, and rally your online adventuring party. Dragon’s Crown thrusts you into a fantastical medieval world packed with labyrinthine dungeons to explore, vile monstrosities to smite, and nearly endless online adventure. Your mission is to dive into the dank underworld, uncovering treasure and strengthening your mettle as you unlock the secret behind the ancient dragon threatening the world.",https://i.postimg.cc/dQZ0wmPS/63dff13e-ca87-4ad5-bd13-f20b5516f2c1.jpg
Eternal Sonata,2007-09-17,3.92,80,Role Playing,"Cross the Bridge Between Dreams and Reality. On his deathbed, the famous composer, Frédéric Chopin, drifts between this life and the next. In his final hours, he experiences a fantastical dream where he encounters a young girl facing a terrible destiny and the boy who will fight to save her. On the border between dreams and reality, Chopin discovers the light that shines in all of us in this enduring tale of good and evil, love and betrayal. Developed by tri-Crescendo and featuring the music of Chopin, Eternal Sonata for the PlayStation 3 computer entertainment system delivers amazingly detailed 3D graphics, a captivating storyline, an innovative action battle system as well as new playable characters, quests, music and more.",https://i.postimg.cc/ydqb9HxR/885d18c9-7afd-4f42-a266-19e3a5e9bcef.jpg
Final Fantasy X / X-2: HD Remaster,2014-03-18,4.51,85,Role Playing,"Final Fantasy X and Final Fantasy X-2 are back - in HD! Final Fantasy X was first released in 2001 on the PlayStation 2 system, and its sequel, Final Fantasy X-2, in 2003. Widely acclaimed for their moving stories and spectacular graphics, the two titles have returned as an HD remaster set. Characters, monsters, and environments have been fine-tuned to HD detail, providing a richer, deeper Final Fantasy visual experience. Other new features in the HD version include remastered/rearranged BGM, International Edition content, trophies, and Cross-Save functionality.",https://i.postimg.cc/P5jbm5QT/75676cad-0cb7-47eb-8a20-833be38a45f4.jpg
Final Fantasy XIII-2,2012-01-31,3.83,79,Role Playing,"Final Fantasy XIII-2 is created with the aim of surpassing the quality of its predecessor in every way, featuring new gameplay systems and cutting-edge visuals and audio. In this game the player has the freedom to choose from a range of possibilities and paths; where their choices affect not only the immediate environment, but even shape time and space! It is no longer about facing destiny. Create a new future and change the world! Larger, more interactive environments with multiple pathways to explore, and many secrets to find and an enhanced Battle System with new elements such as visually dynamic Cinematic Action sequences, and an innovative battle clock that will either reward or punish players, offer players the chance to shape the adventure their way.",https://i.postimg.cc/HxgCm5QF/468803ad-f6f8-4eae-b7ca-f1f4660cf18a.jpg
