title,released,gf_score,metascore,genre,description,cover_art_url,title_id
#KILLALLZOMBIES,2014-10-28,,64,"Action, Shooter","A twin-stick zombie shooter that combines intense action with streaming integration and dynamic arenas. Players battle endless waves of zombies in procedurally-generated environments that shift and change based on viewer votes and interactions. The game features roguelike elements with perks and power-ups, while the arena itself evolves with deadly hazards and obstacles. Survival depends on quick reflexes and adapting to the ever-changing battlefield as zombie hordes grow increasingly aggressive.",https://images.launchbox-app.com/3895f78e-890d-4c11-90c4-1808d96e42ee.png,PCSB01049
#KILLALLZOMBIES,2014-10-28,,64,"Action, Shooter","A twin-stick zombie shooter that combines intense action with streaming integration and dynamic arenas. Players battle endless waves of zombies in procedurally-generated environments that shift and change based on viewer votes and interactions. The game features roguelike elements with perks and power-ups, while the arena itself evolves with deadly hazards and obstacles. Survival depends on quick reflexes and adapting to the ever-changing battlefield as zombie hordes grow increasingly aggressive.",https://images.launchbox-app.com/3895f78e-890d-4c11-90c4-1808d96e42ee.png,PCSE00965
&: Sora no Mukou de Sakimasu you ni,,,,,,,PCSG00239
10 Second Ninja X,2016-07-19,,77,"Action, Platformer","Race against the clock in this fast-paced action platformer where you have exactly 10 seconds to eliminate all enemies in each level. Master precise ninja abilities including shuriken throwing, sword slashes, and acrobatic movement to achieve the perfect run. Navigate through 100 challenging stages across multiple worlds, utilizing quick reflexes and strategic planning to earn coveted three-star ratings. Compete against ghost data from players worldwide and unlock bonus marathon modes that push your speed-running skills to the absolute limit in this intense arcade experience.",https://images.launchbox-app.com/e413c6dc-2f93-44f8-a589-dd471b37f212.png,PCSB00963
10 Second Ninja X,2016-07-19,,77,"Action, Platformer","Race against the clock in this fast-paced action platformer where you have exactly 10 seconds to eliminate all enemies in each level. Master precise ninja abilities including shuriken throwing, sword slashes, and acrobatic movement to achieve the perfect run. Navigate through 100 challenging stages across multiple worlds, utilizing quick reflexes and strategic planning to earn coveted three-star ratings. Compete against ghost data from players worldwide and unlock bonus marathon modes that push your speed-running skills to the absolute limit in this intense arcade experience.",https://images.launchbox-app.com/e413c6dc-2f93-44f8-a589-dd471b37f212.png,PCSE00890
1001 Spikes,2014-06-03,,79,"Action, Platformer","Players guide Aban Hawkins through deadly trap-filled ruins in search of his father's treasures. This brutally difficult platformer challenges players with precise jumping and timing across over 100 levels. Each screen contains lethal spikes, arrows, and hazards requiring pixel-perfect execution. Multiple playable characters offer unique abilities. The retro-styled adventure demands quick reflexes and pattern memorization to survive countless deaths. Die and retry mechanics test player persistence as they learn enemy patterns and trap layouts. Hidden areas and collectibles reward thorough exploration.",https://images.launchbox-app.com/0cb8de33-f9da-4fcd-a306-4838fcfb3efc.png,PCSB00684
1001 Spikes,2014-06-03,,79,"Action, Platformer","Players guide Aban Hawkins through deadly trap-filled ruins in search of his father's treasures. This brutally difficult platformer challenges players with precise jumping and timing across over 100 levels. Each screen contains lethal spikes, arrows, and hazards requiring pixel-perfect execution. Multiple playable characters offer unique abilities. The retro-styled adventure demands quick reflexes and pattern memorization to survive countless deaths. Die and retry mechanics test player persistence as they learn enemy patterns and trap layouts. Hidden areas and collectibles reward thorough exploration.",https://images.launchbox-app.com/0cb8de33-f9da-4fcd-a306-4838fcfb3efc.png,PCSE00349
12 Ji no Kane to Cinderella ～Cinderella Series Triple Zenkan Pack～,,,,,,,PCSG00561
2013: Infected Wars,,,,,,https://images.launchbox-app.com/c73cbea9-2721-4000-89df-7bef55748e59.png,PCSB00842
2013: Infected Wars,,,,,,https://images.launchbox-app.com/c73cbea9-2721-4000-89df-7bef55748e59.png,PCSE00634
2064: Read Only Memories,2015-10-06,,76,Adventure,"2064: Read Only Memories is a cyberpunk adventure set in Neo-San Francisco. You play as a journalist investigating the disappearance of your friend, a talented programmer whose revolutionary sapient AI, Turing, seeks your help. Navigate a world of genetic hybrids, underground hackers, and corporate intrigue as you search for answers. The game features multiple endings based on your choices, combining classic point-and-click gameplay with branching dialogue and investigation. Explore a richly detailed future where the line between human and machine blurs, and your decisions shape both relationships and outcomes.",https://images.launchbox-app.com/b592cc20-14e0-4c06-95cd-66a960ee2e8d.png,PCSB01034
2064: Read Only Memories,2015-10-06,,76,Adventure,"2064: Read Only Memories is a cyberpunk adventure set in Neo-San Francisco. You play as a journalist investigating the disappearance of your friend, a talented programmer whose revolutionary sapient AI, Turing, seeks your help. Navigate a world of genetic hybrids, underground hackers, and corporate intrigue as you search for answers. The game features multiple endings based on your choices, combining classic point-and-click gameplay with branching dialogue and investigation. Explore a richly detailed future where the line between human and machine blurs, and your decisions shape both relationships and outcomes.",https://images.launchbox-app.com/b592cc20-14e0-4c06-95cd-66a960ee2e8d.png,PCSE00972
36 Fragments of Midnight,2017-03-28,,,"Action, Platformer","36 Fragments of Midnight is a minimalist platformer where players control a small square character navigating through dangerous shadowy environments. The goal is to collect all 36 fragments scattered across randomly generated levels while avoiding deadly obstacles and enemies. Each playthrough offers a unique layout, testing reflexes and precision jumping skills. The game features stark black and white visuals with a haunting atmosphere, challenging players to complete runs as quickly as possible in this bite-sized indie experience.",https://images.launchbox-app.com/5ad9c884-a9f3-439b-874b-c8e4a15c3b4e.png,PCSB01184
36 Fragments of Midnight,2017-03-28,,,"Action, Platformer","36 Fragments of Midnight is a minimalist platformer where players control a small square character navigating through dangerous shadowy environments. The goal is to collect all 36 fragments scattered across randomly generated levels while avoiding deadly obstacles and enemies. Each playthrough offers a unique layout, testing reflexes and precision jumping skills. The game features stark black and white visuals with a haunting atmosphere, challenging players to complete runs as quickly as possible in this bite-sized indie experience.",https://images.launchbox-app.com/5ad9c884-a9f3-439b-874b-c8e4a15c3b4e.png,PCSE01169
5-nin no Koi Prince: Himitsu no Keiyaku Kekkon,,,,,,,PCSG00590
7'scarlet,2017-05-25,,,"Adventure, Visual Novel","In the mysterious mountain town of Okunezato, a young woman arrives seeking her missing brother. The town harbors dark secrets, and strange deaths have occurred there. Players navigate through this otome visual novel, making choices that determine which of several eligible bachelors to pursue while unraveling the supernatural mystery surrounding the town. Multiple routes and endings reveal different aspects of the overarching mystery, where romance and suspense intertwine in this thrilling narrative experience.",https://images.launchbox-app.com/66e9d493-951e-4e74-ae1b-a3d6844599a3.png,PCSB01176
7'scarlet,2017-05-25,,,"Adventure, Visual Novel","In the mysterious mountain town of Okunezato, a young woman arrives seeking her missing brother. The town harbors dark secrets, and strange deaths have occurred there. Players navigate through this otome visual novel, making choices that determine which of several eligible bachelors to pursue while unraveling the supernatural mystery surrounding the town. Multiple routes and endings reveal different aspects of the overarching mystery, where romance and suspense intertwine in this thrilling narrative experience.",https://images.launchbox-app.com/66e9d493-951e-4e74-ae1b-a3d6844599a3.png,PCSE01168
7'scarlet,2017-05-25,,,"Adventure, Visual Novel","In the mysterious mountain town of Okunezato, a young woman arrives seeking her missing brother. The town harbors dark secrets, and strange deaths have occurred there. Players navigate through this otome visual novel, making choices that determine which of several eligible bachelors to pursue while unraveling the supernatural mystery surrounding the town. Multiple routes and endings reveal different aspects of the overarching mystery, where romance and suspense intertwine in this thrilling narrative experience.",https://images.launchbox-app.com/66e9d493-951e-4e74-ae1b-a3d6844599a3.png,PCSG00876
7'scarlet,2017-05-25,,,"Adventure, Visual Novel","In the mysterious mountain town of Okunezato, a young woman arrives seeking her missing brother. The town harbors dark secrets, and strange deaths have occurred there. Players navigate through this otome visual novel, making choices that determine which of several eligible bachelors to pursue while unraveling the supernatural mystery surrounding the town. Multiple routes and endings reveal different aspects of the overarching mystery, where romance and suspense intertwine in this thrilling narrative experience.",https://images.launchbox-app.com/66e9d493-951e-4e74-ae1b-a3d6844599a3.png,PCSH10090
99Vidas,2016-08-09,,,"Action, Beat-'Em-Up","99Vidas is a side-scrolling beat-'em-up that pays homage to classic arcade brawlers. Players battle through waves of enemies using martial arts moves, special attacks, and power-ups. The game features pixel art graphics, local and online co-op multiplayer, and a story that blends humor with references to retro gaming culture. Multiple playable characters offer different fighting styles and abilities. Players progress through colorful stages filled with thugs, bosses, and nostalgic nods to the golden age of arcade gaming.",https://images.launchbox-app.com/0d357377-92bc-464d-8e0e-7385d17104da.jpg,PCSB01173
99Vidas,2016-08-09,,,"Action, Beat-'Em-Up","99Vidas is a side-scrolling beat-'em-up that pays homage to classic arcade brawlers. Players battle through waves of enemies using martial arts moves, special attacks, and power-ups. The game features pixel art graphics, local and online co-op multiplayer, and a story that blends humor with references to retro gaming culture. Multiple playable characters offer different fighting styles and abilities. Players progress through colorful stages filled with thugs, bosses, and nostalgic nods to the golden age of arcade gaming.",https://images.launchbox-app.com/0d357377-92bc-464d-8e0e-7385d17104da.jpg,PCSE00914
99vidas - Demo,,,,,,https://images.launchbox-app.com/0d357377-92bc-464d-8e0e-7385d17104da.jpg,PCSE01167
@field,2012-02-15,4.19,80,"Action, Adventure","Nathan Drake embarks on a perilous quest to uncover the truth behind a mysterious golden amulet. This portable adventure delivers cinematic storytelling and fluid third-person action as Drake travels from seedy Panama streets to lush tropical jungles. Players engage in dynamic gunfights, solve environmental puzzles, and navigate treacherous terrain using Vita's touch controls. The hunt for a legendary Spanish treasure reveals dark secrets and deadly mercenaries. Features multiplayer modes and near-console quality visuals optimized for handheld play. Drake's signature wit and acrobatic combat translate seamlessly to this original Vita adventure.",https://images.launchbox-app.com/46a29026-8fb3-4f8b-b745-308129b9d213.jpg,PCSG00022
@Simple V Series Vol. 1: The Dokodemo Gal Mahjong,,,,,,,PCSG00332
