title,released,gf_score,metascore,genre,description,cover_art_url
Wonder Boy III: The Dragon's Trap,1989,4.33,N/A,Action Adventure - General,"Wonder Boy: The Dragon's Trap is a platform action-adventure video game developed by Lizardcube and published by DotEmu. The game is a remake of the 1989 game Wonder Boy III: The Dragon's Trap, which was originally developed by Westone Bit Entertainment and published by Sega for the Master System as part of the Wonder Boy series. The game was released on Nintendo Switch, PlayStation 4, and Xbox One in April 2017, later releasing for Microsoft Windows in June 2017, macOS and Linux in July 2017, and iOS and Android in May 2019.",https://images.launchbox-app.com/717b630c-d030-42a5-8a44-4fb4f681bb6a.jpg
Phantasy Star,1988,4.04,N/A, Role-Playing - Japanese-Style,"Phantasy Star (ファンタシースター Fantashī Sutā) is a series of console role-playing video games and other supplementary media created by Sega. The series debuted in 1987 on the Master System with Phantasy Star, and continues into the present with Phantasy Star Online 2 and other extensions of the Phantasy Star Online sub-series. Each of the games in the series features a science fantasy setting featuring a cross-genre combination of magic and technology.",https://images.launchbox-app.com/feceac87-80fb-4828-a2a9-eb36e7828804.jpg
Bubble Bobble,1992,3.98,N/A,Action - Platformer - 2D,"Bubble Bobble (バブルボブル Baburu Boburu) is a platform game by Taito, first released in arcades in 1986 and later ported to home systems. The game, starring the twin Bubble Dragons Bub and Bob, tasks players with travelling through one hundred stages, blowing and bursting bubbles, jumping on and off blown bubbles to navigate level obstacles, dodging and eliminating enemies, and collecting a variety of items including some that carry power-ups and significant bonuses. For example, the red shoe allows Bub and Bob to move faster, while wrapped candies cause Bub and Bob to blow bubbles faster, and blow bubbles at greater distances. Other items, such as umbrellas, allow to skip numerous levels, moving closer to the final level. The game became popular and led to a long series of sequels and spin-offs. The main goal of the game is to rescue Bub and Bob's girlfriends from the Cave of Monsters. The game has multiple endings, which depend on the player's performance and discovery of secrets",https://images.launchbox-app.com/bublbobl.png
Land of Illusion starring Mickey Mouse,1992,3.95,N/A,Action - Platformer - 2D,"Land of Illusion Starring Mickey Mouse, released in Japan as Mickey Mouse no Mahō no Crystal (ミッキーマウスの魔法のクリスタル), and in Brazil as Land of Illusion Estrelando Mickey Mouse, is a platform game developed and published by Sega for the Master System and Game Gear.",https://images.launchbox-app.com/41aa4732-d2b1-4f15-9f08-528d4dd0d4f8.jpg
Castle of Illusion Starring Mickey Mouse,1991-02-01,3.93,N/A,Action - Platformer - 2D,Castle of Illusion Starring Mickey Mouse is a 1990 platform game developed by Sega and released for the Sega Genesis. An 8-bit version of the game was later released for the Master System and Game Gear. The game follows Mickey Mouse on a quest to save Minnie Mouse from the evil witch Mizrabel. It was the first game in Sega's long-running Illusion video game series starring Mickey and was also a part of the second wave of games initially released for the Sega Genesis which helped seal the console's reputation within the period until the release of Sonic the Hedgehog in 1991.,https://images.launchbox-app.com/81a5c8db-c87c-4d2c-bfc8-852b513fabba.jpg
R-Type,1988,3.89,N/A,Action - Shooter - Shoot-'Em-Up - Horizontal,"R-Type is a horizontal-scrolling shooter arcade game developed and released by Irem in 1987. The player controls a star ship, the R-9 ""Arrowhead"", in its efforts to destroy the Bydo, a powerful alien race bent on wiping out all of mankind. The R-9 can acquire a glowing orb-like device called a ""Force"", protecting it from enemy fire and providing additional firepower. In North America, it was distributed by Nintendo",https://images.launchbox-app.com/2cf9c473-0729-4bef-8bbb-af82c629ca8b.jpg
Asterix,1991,3.87,N/A,Action - Platformer - 2D,"Asterix is a horizontal-scrolling beat'em up arcade game released in 1992 by Konami. It is based on the French comic series Asterix and Obelix. The player fights as either Asterix the Gaul or his best friend, Obelix, as they take on the 'might' of the oppressive Roman Empire. Asterix includes a variety of humorous fighting moves, which are demonstrated in the game's attract mode. The artwork and feel of Asterix remains true to its French source material, and the game's many humorous touches (such as the way defeated Legionnaires crawl away) will be instantly familiar to fans of the comic-book and cartoon series. Bonus levels - such as the chariot race that awaits at the end of the first level - introduce different gameplay elements to provide a break from the fighting.",https://images.launchbox-app.com/e6f5cbcf-698a-4c94-a7a2-b0e433eac9a8.jpg
Sonic the Hedgehog,1991-10-25,3.86,N/A,Action - Platformer - 2D,"Sonic the Hedgehog, also referred to as Sonic 1, is a platform game developed by Sonic Team and published by Sega for the Sega Genesis console. It was released in North America in June 1991, and in PAL regions and Japan the following month. The game features an anthropomorphic hedgehog named Sonic in a quest to defeat Doctor Robotnik, a scientist who has imprisoned animals in robots and stolen the powerful Chaos Emeralds. The gameplay involves collecting rings as a form of health and a simple control scheme, with jumping and attacking controlled by a single button",https://images.launchbox-app.com/d8617c40-e3f8-4dc2-a0ba-e907e0346109.jpg
Zillion,1987,3.83,N/A,Action - Platformer - 2D,"Zillion, known as Akai Koudan Zillion (赤い光弾 ジリオン, lit. Red Photon Zillion) in Japan, is a space adventure platform video game developed by Sega and designed for the Master System as a companion for Tatsunoko Productions's Zillion anime series in 1987. Zillion prominently features Sega's egg-shaped mascot, Opa-opa, who stars in the Fantasy Zone games, also available for the Master System. A sequel to the game, Zillion II was released in 1988.",https://images.launchbox-app.com/4603d962-74ff-4950-8f93-a95786cbed40.jpg
Ys: The Vanished Omens,1988,3.82,N/A,Role-Playing - Action RPG,"Ys: The Vanished Omens (also Ys I: Ancient Ys Vanished (イース Ancient Ys Vanished Īsu) or The Ancient Land of Ys) is the first installment of Ys, an action role-playing video game series developed by Nihon Falcom in 1987. The name is commonly misspelled Y's due to an error on the packaging of an English-language release.",https://images.launchbox-app.com/6bcda8ef-ebdb-4a09-a011-fe068f254d59.jpg
Wonder Boy in Monster Land,1988,3.81,N/A,Action Adventure - General,"Wonder Boy in Monster Land, known by its original arcade release as Wonder Boy: Monster Land (ワンダーボーイモンスターランド Wandā Bōi Monsutā Rando), is an action role-playing platform video game developed by Westone Bit Entertainment and released by Sega for arcade cabinets in 1987 and for the Master System in 1988, with a number of other home computer and console ports following. The game is the sequel to the 1986 game Wonder Boy and takes place eleven years after the events in the previous game. After enjoying over a decade of peace on Wonder Land following the defeat of the evil King by Tom-Tom, later bestowed the title ""Wonder Boy"", a fire-breathing dragon called the MEKA dragon appeared; he and his minions conquered Wonder Land, turning it into ""Monster Land"". The people, helpless due to their lack of fighting skill, call for Wonder Boy, now a teenager, to destroy the monsters and defeat the MEKA dragon. Players control Wonder Boy through twelve linear levels as he makes his way through Monster Land to find and defeat the MEKA dragon. Players earn gold by defeating enemies and buy weapons, armor, footwear, magic, and other items to help along the way.",https://images.launchbox-app.com/89aa071f-5a4a-4c3a-bcdb-261db9eac9de.jpg
Fantasy Zone II: The Tears of Opa-Opa,1987,3.8,N/A,Action - Shooter - Shoot-'Em-Up - Horizontal,"Fantasy Zone II: The Tears of Opa-Opa (ファンタジーゾーンII オパオパの涙 Fantajī Zōn tsū: Opa-Opa no Namida) is a Sega Master System game created by Sega in 1987. It was later ported to the arcade, Famicom, and MSX, and was remade for the System 16 hardware on a PlayStation 2 compilation in 2008. It was re-released on the Wii Virtual Console in North America on June 29, 2009. Like the first Fantasy Zone, the player controls a sentient spaceship named Opa-opa who fights surreal invader enemies. Like its predecessor, Fantasy Zone II departs from the traditional scrolling shooter themes with its bright colors and whimsical designs. For this reason, it is occasionally dubbed a ""cute 'em up"".",https://images.launchbox-app.com/8870fb2d-1f61-4364-9c89-5054bdf604b6.jpg
