title,released,gf_score,metascore,genre,description,cover_art_url
Panzer Dragoon Saga,1998-04-30,4.57,N/A,Role-Playing - Japanese-Style,"Panzer Dragoon Saga, known in Japan as Azel: Panzer Dragoon RPG (Japanese: アゼル –パンツァードラグーン RPG– Hepburn: Azeru –Pantsā Doragūn Arupījī–), is a 1998 role-playing video game (RPG) published by Sega and developed by Team Andromeda for the Sega Saturn. It departs from the linear rail shooter gameplay of the Panzer Dragoon series, introducing traditional RPG elements such as random encounters, semi-turn-based battles, and free-roaming exploration. The player controls Edge, a young mercenary who rides a powerful dragon and encounters a mysterious girl from a vanished civilization.",https://images.launchbox-app.com/8d2dc87b-58f8-4402-853e-8f476484cc84.jpg
Dragon Force,1998-04-30,4.57,N/A, Role-Playing - Japanese-Style,"Dragon Force is a real-time strategy and tactics role-playing video game from Sega created for the Sega Saturn. It was created in Japan and translated for North American release by Working Designs in 1996, a translation that was also used by Sega in Europe under license from Working Designs. The game's main selling point was that battles involve up to 200 soldiers fighting on screen in real time, causing them to be often likened to the battle scenes in the then-recent film Braveheart. A sequel, later translated by fans, was released for the Saturn in Japan in 1998. The first game was re-released for the PlayStation 2 as part of the Sega Ages series.",https://images.launchbox-app.com/9c10ffd3-9b9d-4f03-bebd-0fba05ebf2ab.jpg
Mega Man X4,1997-10-01,4.29,N/A,Action - Platformer - 2D,"Mega Man X4, originally released in Japan as Rockman X4 (ロックマンX4), is a video game developed by Capcom. It is the fourth game in the Mega Man X series and the second game in the series to be released on the Sega Saturn and PlayStation. The two versions were released simultaneously in Japan in 1997. A North America release followed sometime thereafter, while Europe received only the PlayStation version in 1997",https://images.launchbox-app.com/26fb91d3-2722-4d1e-a0ea-5ece05048769.jpg
Shining Force III,1998-05-31,4.26,N/A,Strategy - Turn-Based - Tactics,"Shining Force III (シャイニング・フォースIII Shainingu Fōsu III) is a fantasy turn-based tactics role-playing video game designed for the Sega Saturn by Camelot Software Planning. It is a continuation of the Shining series. Comprising three separate but overlapping storylines, the Japanese version of Shining Force III was released in three volumes, known as: Scenario 1 | ""God Warrior of the Kingdom"" Scenario 2 | ""Target: Child of God"", and Scenario 3 | ""Bulzome Rising"". For players who collected all three volumes, Camelot Soft also issued a Premium Disc featuring artwork, a character model viewer, and additional extras.",https://images.launchbox-app.com/c94a3197-034e-40b4-acb6-c27f1a50fce7.jpg
Guardian Heroes,1996,4.26,N/A,Role-Playing - Action RPG,"Guardian Heroes is a 2D side-scrolling beat 'em up video game in the vein of Final Fight or Golden Axe, but with RPG elements. The development team called it a ""fighting RPG"". Guardian Heroes was developed by Treasure and released in 1996 for the Sega Saturn video game console. A sequel was released in 2004 for the Game Boy Advance entitled Advance Guardian Heroes.",https://images.launchbox-app.com/089f464d-1c5e-4063-9d6d-25dc542ef356.jpg
Panzer Dragoon II Zwei,1996,4.2,N/A,Action - Shooter - Rail,"Panzer Dragoon II Zwei is a 1996 rail shooter video game for the Sega Saturn, published by Sega and developed by Sega's Team Andromeda studio. It is the second entry in the Panzer Dragoon series, and a prequel to the first game. The game follows Jean-Luc Lundi, who raises and later rides a dragon he names Lagi. The player moves an aiming reticle (representing the dragon's laser and Lundi's gun) and shoots enemies while the dragon flies or runs through 3D environments on predetermined tracks.",https://images.launchbox-app.com/ac035ae9-ef3f-43a6-bcf7-5b65d71631d8.jpg
Saturn Bomberman,1997,4.16,N/A,Puzzle - Action,"Saturn Bomberman (サターンボンバーマン Satān Bonbāman) is an action video game by Hudson Soft for the Sega Saturn. The twelfth installment in the Bomberman series, it was first released in Japan on 19 July 1996, in North America on 22 August 1997 and in Europe in 1997. It is best known for its multiplayer functionality for up to ten players.",https://images.launchbox-app.com/c6e50102-4818-4f59-9a03-3022be70c4b6.jpg
NiGHTS Into Dreams...,1996-08-31,4.16,N/A,Action - Platformer - 3D,"Nights into Dreams... is a 1996 action game developed by Sonic Team and published by Sega for the Sega Saturn. The story follows teenagers Claris and Elliot, who enter Nightopia, a dream world where all dreams take place. With the help of Nights, an exiled ""Nightmaren"", they begin a journey to stop the evil ruler Wizeman from destroying Nightopia and consequently the real world. Players control Nights flying through Claris and Elliot's dreams to gather enough energy to defeat Wizeman and save Nightopia. The game is presented in 3D and imposes time limits on every level, in which the player must accumulate points to proceed",https://images.launchbox-app.com/fa9e6ffd-91b5-4358-984e-e6eb7603c5ff.jpg
Akumajou Dracula X: Gekka no Yasoukyoku,1998-06-25,4.15,N/A,Role-Playing - Action RPG,"Castlevania: Symphony of the Night is a platform-adventure action role-playing game developed and published by Konami in 1997 for the PlayStation. It was directed and produced by Toru Hagihara, with Koji Igarashi acting as assistant director. It is the direct sequel to Castlevania: Rondo of Blood, taking place four years later. It features Dracula's dhampir son Alucard as the protagonist, rising from his slumber to explore Dracula's castle which has re-appeared after Richter Belmont vanished. It marks a break from previous games in the series, introducing exploration, non-linear level design and role-playing elements.",https://images.launchbox-app.com/8f1b91f6-f55c-4736-9daa-d9dee2774451.jpg
Shining Force III Scenario 3: Hyouheki no Jashinguu,1998-09-23,413,N/A,Strategy - Turn-Based - Tactics,"Shining Force III (シャイニング・フォースIII Shainingu Fōsu III) is a fantasy turn-based tactics role-playing video game designed for the Sega Saturn by Camelot Software Planning. It is a continuation of the Shining series. Comprising three separate but overlapping storylines, the Japanese version of Shining Force III was released in three volumes, known as: Scenario 1 | ""God Warrior of the Kingdom"" Scenario 2 | ""Target: Child of God"", and Scenario 3 | ""Bulzome Rising"". For players who collected all three volumes, Camelot Soft also issued a Premium Disc featuring artwork, a character model viewer, and additional extras.",https://images.launchbox-app.com/02c1f44b-390b-4ecd-9723-a566951711eb.jpg
Radiant Silvergun,1998-07-23,4.12,N/A,Action - Shooter - Shoot-'Em-Up - Vertical,"Radiant Silvergun is a shoot 'em up developed by Treasure. It was originally released in Japanese arcades in 1998 and subsequently ported to the Sega Saturn later that year. The story follows a team of fighter pilots in the far future who are battling waves of enemies summoned by a mysterious crystal dug up from the Earth. The player hosts an arsenal of six different types of shots to choose from, and a sword to destroy nearby targets. The stages are tightly designed to present players with scenarios that can be approached differently with the various weapon types.",https://images.launchbox-app.com/46d08903-1fb0-4613-a9e5-deb5091ebda0.jpg
Resident Evil,1997-08-31,4.12,N/A,Action Adventure - Survival,"Resident Evil, known in Japan as Biohazard, is a Japanese horror media franchise created by Shinji Mikami and Tokuro Fujiwara, and owned by the video game company Capcom. The franchise focuses on a series of survival horror games and includes live-action films, animated films, comic books, novels, audio dramas, and merchandise. The story follows outbreaks of zombies and other monsters created mainly by the Umbrella Corporation.",https://images.launchbox-app.com/64e63376-dfe9-4f3e-8acc-5375fd1a504c.jpg
X-Men vs. Street Fighter,1997-11-27,4.1,N/A, Action - Fighting - 2D,"X-Men vs. Street Fighter is a crossover fighting video game developed and published by Capcom. It is Capcom's third fighting game to feature Marvel Comics characters, following X-Men: Children of the Atom and Marvel Super Heroes, and the first installment in the Marvel vs. Capcom series. As the title suggests, the game includes characters from Marvel's X-Men franchise and the cast from Capcom's Street Fighter series. Originally released as a coin-operated arcade game in 1996, it was ported to the Sega Saturn in 1997 and the PlayStation in 1998.",https://images.launchbox-app.com/xmvsf.png
Mega Man 8,1997-02-28,4.09,N/A,Action - Platformer - 2D,"Mega Man 8 is an action-platform video game developed and released by Capcom in 1996. It was directed by Hayato Kaji, who had previously worked on the series as an artist. Keiji Inafune, who was also an artist for the series, was given the role of producer after the departure of Tokuro Fujiwara who had been producer for the series since Mega Man 2. It is the eighth installment in original Mega Man series, and was originally released in Japan on the PlayStation in 1996. The following year, Mega Man 8 saw a release on the Sega Saturn and was localized for both consoles in North America and the PlayStation alone in PAL regions. Upon its release, Capcom reached the franchise's tenth anniversary. Mega Man 8 is the first game in the series made available on 32-bit consoles.",https://images.launchbox-app.com/12504346-12d8-4536-9508-a7685a3d9165.jpg
Street Fighter Alpha 2,1996-09-30,4.09,N/A, Action - Fighting - 2D,"Street Fighter Alpha 2 is a 1996 fighting game originally released for the CPS II arcade hardware by Capcom. The game is both a sequel and a remake to the previous year's Street Fighter Alpha: Warriors' Dreams, which is itself a prequel to the Street Fighter II series in terms of plot and setting. The game features a number of improvements over the original, such as new attacks, stages, endings, and gameplay features. It was followed by Street Fighter Alpha 3.",https://images.launchbox-app.com/sfa2.png
