title,released,gf_score,metascore,genre,description,cover_art_url
Chrono Trigger,1995-08-22,4.58,92,Role-Playing,"Chrono Trigger is a role-playing video game developed and published by Square for the Super Nintendo Entertainment System in 1995 that began the Chrono series. Chrono Trigger's development team included three designers that Square dubbed the ""Dream Team"": Hironobu Sakaguchi, the creator of Square's successful Final Fantasy series; Yuji Horii, a freelance designer and creator of Enix's popular Dragon Quest series; and Akira Toriyama, a manga artist famed for his work with Dragon Quest and Dragon Ball.",https://i.postimg.cc/7LBmCzGJ/0af318b0-1ffc-401e-a2e0-8384b6231c8b.jpg
The Legend of Zelda: A Link to the Past,1992-04-13,4.58,95,Action Adventure,"The Legend of Zelda: A Link to the Past is an action-adventure video game developed and published by Nintendo for the Super Nintendo Entertainment System video game console. It is the third installment in The Legend of Zelda series and was released in 1991 in Japan and 1992 in North America and Europe. The plot of A Link to the Past focuses on Link as he travels on a journey to save Hyrule, defeat Ganon and rescue maidens related to the Sages. A Link to the Past uses a 3/4 top-down perspective similar to that of the original The Legend of Zelda, dropping the side scrolling elements of Zelda II: The Adventure of Link.",https://i.postimg.cc/kgqcfsWt/7ce3e960-ef7c-440f-88d5-df59fc40b85b.png
Super Mario All-Stars / Super Mario World,1994-12,4.57,N/A,Miscellaneous,"Super Mario All-Stars is a 1993 compilation of platform games for the Super Nintendo Entertainment System (SNES). It contains remakes of Nintendo's four Super Mario titles released for the Nintendo Entertainment System (NES) and its Family Computer Disk System add-on—Super Mario Bros. (1985), Super Mario Bros.: The Lost Levels(1986), Super Mario Bros. 2(1988), and Super Mario Bros. 3 (1988). They are faithful recreations that adapt the games' original premises and level designs for the SNES with updated graphics and music.",https://i.postimg.cc/cCGY61m8/4a6ea058-1483-4224-9c14-69bbc9420407.png
Final Fantasy III,1994-10-20,4.55,92,Role-Playing,"Final Fantasy III is a role-playing video game developed and published by Square for the Family Computer. The third installment in the Final Fantasy series, it was released in 1990. It is the first numbered Final Fantasy game to feature the job-change system. The story revolves around four orphaned youths drawn to a crystal of light. The crystal grants them some of its power, and instructs them to go forth and restore balance to the world. Not knowing what to make of the crystal's pronouncements, but nonetheless recognizing the importance of its words, the four inform their adoptive families of their mission and set out to explore and bring back balance to the world.",https://i.postimg.cc/cLzvr414/6504fd85-ab13-47f1-b600-1954a91c7696.jpg
Super Mario World,1991-08-13,4.55,N/A,Action,"Super Mario World is a 1990 side-scrolling platform game developed and published by Nintendo for the Super Nintendo Entertainment System(SNES). The story follows Mario's quest to save Princess Toadstool and Dinosaur Land from the series antagonist Bowser and his minions, the Koopalings. The game play is similar to that of earlier Super Mario games: Players control Mario or his brother Luigi through a series of levels in which the goal is to reach the flagpole at the end. Super Mario World introduced Yoshi, a dinosaur who can eat enemies and gain abilities by eating the shells of Koopa Troopas.",https://i.postimg.cc/hj14bSnm/1a175c33-1c72-4524-bc46-9f88b566cb16.jpg
Super Metroid,1994-04-18,4.47,N/A,Action Adventure,"Super Metroid is an action-adventure game developed and published by Nintendo for the Super Nintendo Entertainment System in 1994. It is the third installment in the Metroid series, following the events of the Game Boy game Metroid II: Return of Samus(1991). Players control bounty hunter Samus Aran, who travels to planet Zebes to retrieve an infant Metroid creature stolen by the Space Pirate leader Ridley. It was released through Nintendo's Virtual Console in 2007 and as part of the Super NES Classic Edition micro console in 2017.",https://i.postimg.cc/gj0pV8N9/b4c002be-d127-4c93-afd5-3f656183ea9b.png
Super Mario RPG: Legend of the Seven Stars,1996-05-13,4.46,N/A,Role-Playing,"Super Mario RPG: Legend of the Seven Stars is a role-playing video game(RPG) developed by Square and published by Nintendo for the Super Nintendo Entertainment System in 1996. It is the first RPG in the Mario franchise, with major elements drawn from Square's RPG franchises and action-based game play reminiscent of the Super Mario series.",https://i.postimg.cc/hGFD72wN/81c03bcd-6311-4116-9b38-ed762744e933.jpg
Fire Emblem: Seisen no Keifu,1996-06-14,4.43,N/A,Strategy,"Fire Emblem: Genealogy of the Holy War is a tactical role-playing game developed by Intelligent Systems and published by Nintendo for the Super Famicom home video game console in 1996. It is the fourth installment of the Fire Emblem series, and the second to be developed for the platform. Genealogy of the Holy War takes place on the continent of Jugdral, split between eight different countries founded by the Twelve Crusaders, an ancient group of soldiers who ended the rule of the ancient dragon Loptyr with divine aid. In the present, a cult working to revive Loptyr stir up war among the countries.",https://i.postimg.cc/jq1G5LBF/058f1c5e-bba6-4c26-aca7-97e143b40f60.png
Donkey Kong Country 2: Diddy's Kong Quest,1995-12,4.41,N/A,Action,"Donkey Kong Country 2: Diddy's Kong Quest, released in Japan as Super Donkey Kong 2: Dixie & Diddy (スーパードンキーコング2 ディクシー＆ディディ), is an adventure platform video game developed by Rare and published by Nintendo for the Super Nintendo Entertainment System (SNES). It was released on 20 November 1995 in North America, on 21 November 1995 in Japan, and on 14 December 1995 in Europe. It is the second installment of the Donkey Kong Country series and serves as a direct sequel to Donkey Kong Country.",https://i.postimg.cc/C5dT28Xj/6cc70094-824b-4c1c-8b1d-7883839d7674.png
Super Mario All-Stars,1993-08,4.4,70,Miscellaneous,"Super Mario All-Stars is a 1993 compilation of platform games for the Super Nintendo Entertainment System (SNES). It contains remakes of Nintendo's four Super Mario titles released for the Nintendo Entertainment System (NES) and its Family Computer Disk System add-on—Super Mario Bros. (1985), Super Mario Bros.: The Lost Levels(1986), Super Mario Bros. 2(1988), and Super Mario Bros. 3 (1988). They are faithful recreations that adapt the games' original premises and level designs for the SNES with updated graphics and music.",https://i.postimg.cc/sDdCmMKZ/ba0976f8-e67a-42a7-a028-e0357d64411b.jpg
