title,released,gf_score,metascore,genre,description,cover_art_url
Soldier Blade,1992,4.17,,Action » Shooter » Shoot-'Em-Up » Vertical,"Soldier Blade (ソルジャーブレイド) is a scrolling shooter video game released for the TurboGrafx-16 system. It is the fourth game in the Star Soldier series and the last one for TurboGrafx-16. The player pilots the Soldier Blade fighter against the Zeograd Army, aliens bent on conquering Earth. The game features 7 operations (stages) as well as 2-minute and 5-minute challenge modes.",https://images.launchbox-app.com/96226379-1f29-4d8d-906d-a77f552c69a3.jpg
Devil's Crush,1990,4.04,,Action » Pinball,"Devil's Crush (known as Devil Crash in Japan) is a pinball video game developed by Compile for the TurboGrafx-16 and released in 1990. The second installment in the Crush Pinball series after Alien Crush, the game has an eerie occult theme with skulls, skeletons, and demons. It was later followed by Jaki Crush and Alien Crush Returns.",https://images.launchbox-app.com/242ec705-9d85-4013-9b9d-71f09754a6ee.jpg
Street Fighter II': Champion Edition,2009-11-16,4.01,,Action » Fighting » 2D,"Street Fighter II: Champion Edition is a fighting game released for the arcades by Capcom in 1992. It was the first of several updated versions of Street Fighter II: The World Warrior, part of the Street Fighter II sub-series of Street Fighter games. The main changes were the addition of the Grand Masters (the final four computer-controlled opponents in the single-player mode) as playable characters and mirror matches (vs. matches using the same character). The fighting techniques of the eight main characters from the original game were also further refined to allow for more-balanced competitive play.",https://images.launchbox-app.com/95a23ac6-212e-48f4-8b74-2a59754e7d04.jpg
Bomberman '94,23-Mar-09,3.98,,Puzzle » Action,"Bomberman '94 (ボンバーマン'94 Bonbāman Nintī Fō) is a video game from the Bomberman series which was developed and published by Hudson Soft for the PC Engine and released on December 10, 1993 in Japan. It was later re-developed by Westone and re-published by Sega as Mega Bomberman on the Sega Mega Drive/Genesis in 1994 in other areas. The PC Engine Bomberman '94 was later released outside Japan through the Wii's Virtual Console and the PlayStation 3's PlayStation Network.",https://images.launchbox-app.com/4250849f-aebb-405e-878a-e0955f769e98.jpg
Blazing Lazers,1989,3.97,,Action » Shooter » Shoot-'Em-Up » Vertical,"Blazing Lazers, known as Gunhed in Japan, is vertically scrolling shooter by Hudson Soft and Compile. It was released in Japan and North America in 1989 for the NEC PC Engine (TurboGrafx-16). It is based on the Japanese film Gunhed, and the references to the film were removed for the North American release. In the game, a fictional galaxy is under attack by an enemy space armada called the Dark Squadron, and this galaxy's only chance for survival is the Gunhed Advanced Star Fighter, who must destroy the Dark Squadron and its Super Weapons. The gameplay features fast vertical scrolling and a wide array of weapons for the player to use.",https://images.launchbox-app.com/602a6223-66e1-4944-be8d-ef37843ee731.jpg
Bonk's Revenge,1991,3.92,,Action » Platformer » 2D,"Bonk's Revenge (PC-原人 2, or PC-Genjin 2 in Japan) is a 2D platformer set in prehistory, originally for the TurboGrafx 16 console, created in 1991 by the Red Company for Hudson Soft, and licensed by NEC. This is the second title in the Bonk series and it was re-released for the TurboGrafx-16 in 1992 on the Gate of Thunder 4-in-1 game CD-ROM. A completely different game with the same name appeared on the Game Boy, whereas the original version was re-released for Wii Virtual Console and on the Japanese PlayStation Store. It was also released in Japan on Windows Store on December 13, 2013 and on Wii U Virtual Console on March 12, 2014.",https://images.launchbox-app.com/e065bcbf-a362-45a5-b6e7-dca66f345f4e.jpg
Galaga '90,1989,3.92,,Action » Shooter » Shoot-'Em-Up » Vertical,"Galaga '88 is a 1987 fixed shooter arcade game by Namco. It is the third sequel for Galaxian (following Galaga, and Gaplus). It features significantly improved graphics over the previous games in the series, including detailed backgrounds, larger enemies and greater ship details. Although it was well received, fewer cabinets of this game were produced than of Galaga and Gaplus. The game runs on Namco System 1 hardware. First ported on the NEC PC Engine, it was later released on the North American TurboGrafx-16 under the name",https://images.launchbox-app.com/7efdb7fd-7b69-4aeb-a26d-daefc709c037.jpg
R-Type,1989,3.92,,Action » Shooter » Shoot-'Em-Up » Horizontal,"R-Type is a horizontal-scrolling shooter arcade game developed and released by Irem in 1987. The player controls a star ship, the R-9 ""Arrowhead"", in its efforts to destroy the Bydo, a powerful alien race bent on wiping out all of mankind. The R-9 can acquire a glowing orb-like device called a ""Force"", protecting it from enemy fire and providing additional firepower. In North America, it was distributed by Nintendo.",https://images.launchbox-app.com/e996b1e4-9216-4e74-89a6-6eecb3757a41.jpg
Dragon's Curse,1991,3.86,,Action Adventure » General,"Wonder Boy III: The Dragon's Trap is a platforming and action-adventure video game developed by Westone as part of Sega's Wonder Boy series. It was published by Sega and released for the Master System in 1989 and for the Game Gear in 1992 as Wonder Boy: The Dragon's Trap. It was ported by Hudson Soft in 1991 (1990 in North America) and was released for the TurboGrafx-16/PC Engine under the name Dragon's Curse. It was also ported in 1993 by Brazilian company Tec Toy under the title Turma da Mônica em o Resgate, with the game retooled to include characters from Brazilian comic book series Monica's Gang (Turma da Mônica). A remakedeveloped by Lizardcube and published by DotEmu, titled Wonder Boy: The Dragon's Trap, was released in April 2017.",https://images.launchbox-app.com/cb538866-e299-448e-95f5-3ab8bc3f004f.jpg
Neutopia II,1992,3.85,,Action Adventure » General,"Neutopia II (ニュートピアII Nyūtopia Tsū) is an action/adventure game developed by Hudson Soft for the PC-Engine in 1991. It was released for TurboGrafx-16 in 1992 and is the sequel to Neutopia. Players take control of Jazeta's son, who must begin a quest to both save his father and defeat Dirth. This game as well as the original was released on the PlayStation Network and Virtual Console.",https://images.launchbox-app.com/8907dda6-72aa-4f05-b02e-b53b9638d1fb.jpg
