title,released,gf_score,metascore,genre,description,cover_art_url
Metroid Prime Trilogy,2009-08-24,4.6,91,Miscellaneous,"Metroid Prime: Trilogy is a compilation of action-adventure games developed by Retro Studios and published by Nintendo for the Wii video game console. It features three games from the Metroid series: Metroid Prime, Metroid Prime 2: Echoes, and Metroid Prime 3: Corruption. Prime and Echoes, which were originally released for the GameCube, were updated with many of the features that were first implemented in Corruption, such as a new control scheme based on the Wii Remote and a credits system that was supported by Wii Connect 24.",https://i.postimg.cc/QCjk1W5v/15d51c0c-3891-4822-9053-8334a97ce5d4.jpg
Xenoblade Chronicles,2012-04-06,4.58,92,Role-Playing,"Xenoblade Chronicles is an open world action role-playing game developed by Monolith Soft and published by Nintendo for the Wii. Initially released in Japan in 2010, it was later released in the PAL region in 2011 and then in North America in 2012. A port for the New Nintendo 3DS was released worldwide in 2015. Xenoblade Chronicles is the first entry in the Xenoblade Chronicles series, a sub series which forms part of the Xenome series.",https://i.postimg.cc/rmL6DqhH/09a2a3dc-e331-499e-8627-07dc9145479a.jpg
Resident Evil 4: Wii Edition,2007-06-19,4.49,91,Action Adventure,"Resident Evil 4 is a third-person shooter survival horror video game developed and published by Capcom. The sixth major installment in the Resident Evil series, it was originally released for the GameCube in 2005. Players control U.S. government special agent Leon S. Kennedy, who is sent on a mission to rescue the U.S. president's daughter Ashley Graham, who has been kidnapped by a cult. In a rural part of Europe, Leon fights hordes of villagers infected by a mind-controlling parasite, and reunites with the spy Ada Wong.",https://i.postimg.cc/xTB6ftpx/d1e64ea3-c642-4ccd-8b93-9c10cfc7f4ec.jpg
Super Mario Galaxy 2,2010-05-23,4.45,97,Action,"Super Mario Galaxy 2 is a platform video game developed and published by Nintendo for the Wii. It was first announced at E3 2009 and is the sequel to 2007's Super Mario Galaxy. It was released worldwide in 2010. The story follows Mario as he pursues the Koopa King, Bowser, into outer space, where he has imprisoned Princess Peach and taken control of the universe using Power Stars and Grand Stars. Mario must travel across various galaxies to recover the Power Stars in order to travel to the centre of the universe and rescue Princess Peach.",https://i.postimg.cc/TwHSvmyn/1419fddc-81a0-4c2e-9076-3360d6ea4c20.jpg
Super Smash Bros. Brawl,2008-03-09,4.4,93,Action,"Super Smash Bros. Brawl is a crossover fighting video game developed by Sora Ltd., HAL Laboratory and Game Arts and published by Nintendo for the Wii.The third installment in the Super Smash Bros.series, it was announced at a 2005 pre-E3 press conference by Nintendo president Satoru Iwata.Masahiro Sakurai, director of the previous two games in the series, assumed the role of director at Iwata's request. Game development began in October 2005 with a creative team that included members from several Nintendo and third-party development teams.",https://i.postimg.cc/1zYhsb2g/1dc7b262-5be9-4aca-82c5-0345a171bf12.jpg
Super Mario Galaxy,2007-11-12,4.39,97,Action,"Super Mario Galaxy is a 2007 platform video game for the Wii, and the third 3D game in Nintendo's Super Mario series. As Mario or Luigi, the player embarks on a quest to rescue Princess Peach, save the universe from Bowser, and collect 121 Power Stars. The levels in the game consist of galaxies filled with minor planets and worlds, with different variations of gravity, the central element of game play. The player controls the player character using the Wii Remote and Nunchuk, and completes missions, fights bosses, and reaches certain areas to collect Power Stars. Certain levels use the motion-based Wii Remote functions.",https://i.postimg.cc/D0cKkmTh/7a1a4534-4a67-468d-b218-397293981bf5.jpg
Okami,2008-04-15,4.38,90,Action Adventure,"Ōkami is an action-adventure video game developed by Clover Studio and published by Capcom. It was released for Sony Computer Entertainment's PlayStation 2 video game console in 2006 in Japan and North America, and in 2007 in Europe and Australia. Despite the closure of Clover Studio a few months after the game's initial release, a version for Nintendo's Wii console was developed and produced by Ready at Dawn, Tose and Capcom, which was released in North America in April 2008, in Europe in June 2008, and in Japan in October 2009.",https://i.postimg.cc/rwrQK3D0/520acbde-2d79-404c-9c4b-38a3e0691f56.jpg
The Legend of Zelda: Twilight Princess,2006-11-19,4.35,95,Action Adventure,"The Legend of Zelda: Twilight Princess is an action-adventure game developed and published by Nintendo for the Wii and GameCube home video game consoles. It is the thirteenth installment in The Legend of Zelda series. Originally planned for release on the GameCube in November 2005, Twilight Princess was delayed by Nintendo to allow its developers to refine the game, add more content, and port it to the Wii.",https://i.postimg.cc/V60z0YcQ/c47340e6-8e7d-4b0e-93f3-e1757900615c.jpg
Monster Hunter Tri,2010-04-20,4.33,84,Role-Playing,"Monster Hunter Tri is the third console installment in the Monster Hunter franchise, developed by Capcom and released for the Wii in Japan on August 1, 2009. Monster Hunter Tri was released on April 20, 2010, in North America, April 23 in Europe, and April 29 in Australia.",https://i.postimg.cc/QMs7qydy/dc091a5d-f742-4add-ad68-df1310cd5c5c.jpg
Kirby's Dream Collection: Special Edition,2012-09-16,4.28,82,Miscellaneous,"Kirby's Dream Collection is a 2012 video game published by Nintendo for the Wii system. It is an anthology disc celebrating the 20th anniversary of the Kirby series, which took place on April 27, 2012. In addition to the disc, the package includes a booklet that highlights Kirby's history, as well as a soundtrack CD containing music from multiple series entries. The game was released in Japan on July 19, 2012 and in North America on September 16, 2012.",https://i.postimg.cc/9QPRzYYt/d7b0423c-0859-4733-8182-b8cd006d7bbb.jpg
