title,released,gf_score,metascore,genre,description,cover_art_url
007 Legends,2012-12-11,3.33,,Action,"007 Legends is a first-person shooter video game featuring the character of British secret agent James Bond. It was developed by Eurocom and released by Activision on October 2012 for PlayStation 3 and Xbox 360, November 2012 for Microsoft Windows and December 2012 for Wii U. The game is available as physical optical disc media, as well as a digital release download via PlayStation Network and Xbox Live Marketplace on date of release. It was removed off all other digital stores without warning.",https://images.launchbox-app.com/e4eef476-2759-4d8b-8dd9-2938c7b6b42e.jpg
1001 Spikes,2014-06-03,3.9,,Platformer,"Prepare to die. A lot. This brutally challenging retro-style platformer demands pixel-perfect precision as you guide adventurer Aban Hawkins through ancient temples filled with deadly traps, spikes, and devious obstacles. Every level is a gauntlet of instant death, where timing and memorization are everything. With over 100 stages of punishing difficulty, unlockable characters each with unique abilities, and competitive multiplayer modes, 1001 Spikes rewards persistence with that sweet taste of victory after countless failures. The 8-bit aesthetic masks a modern design philosophy that respects your intelligence while testing your reflexes.",https://images.launchbox-app.com/61c5ff49-428b-4c48-a6de-9b638a12095b.png
140,2016-11-29,,,Rhythm Platformer,"140 is a mesmerizing rhythm-action platformer where music and gameplay merge into one synchronized experience. Guide a shape-shifting geometric character through minimalist abstract worlds that pulse, shift, and transform in perfect harmony with the electronic soundtrack. Every jump, dash, and movement must be precisely timed to the beat as platforms materialize, obstacles animate, and the environment breathes with the music. The game strips away all unnecessary elements to create a pure challenge of rhythm and reflexes across three increasingly intense levels. Each stage introduces new mechanics that test your ability to internalize the beat while navigating deadly hazards.",https://images.launchbox-app.com/809e7a03-bc43-4bf5-97b7-ba89e7a168f5.png
153 Hand Video Poker,2016-06-02,2.9,,Card / Casino,"Play 153 hands of video poker simultaneously in this unique casino simulation from Skunk Software. Each dealt hand triggers a corresponding piano chord based on its rank, creating an audiovisual poker experience. Choose your holds across all hands, then watch as the game analyzes each result in sequence. Features standard video poker gameplay including Jacks or Better rules, with the distinctive twist of managing over a hundred hands at once. The sheer scale transforms traditional video poker into a test of patience as you wait through extended analysis sequences to see your winnings across all active hands.",https://images.launchbox-app.com/103fd0de-16c2-43e8-a8a8-a4b71a1a0d19.png
360 Breakout,,3.69,,,,https://images.launchbox-app.com/7f74da53-5b2f-4c64-8a73-ba80a451e5a6.png
3Souls,,3.33,,,,https://images.launchbox-app.com/00d75148-dd1d-4369-8712-d05e8930e3a0.png
6-Hand Video Poker,,3.61,,,"Experience casino-style video poker on your Wii U with the ability to play six hands simultaneously. Start with a set amount of credits and place bets across all six hands at once. Choose which cards to hold or discard, then watch as your hands are compared against the pay table for payouts. Features unlimited play with a realistic pay structure and a Las Vegas-themed backdrop. Track your credit totals across sessions as you aim to build your virtual bankroll through strategic card play and lucky draws in this digital poker experience.",https://images.launchbox-app.com/92e6ae36-5d72-492e-827b-54b92aa19582.png
6180 the Moon,2017-09-07,4.15,,Platformer,"Defy gravity in this minimalist puzzle platformer where the moon has disappeared and the sun has gone dark. Play as the moon itself, navigating through a mysterious universe by inverting gravity and seamlessly wrapping between the top and bottom of the screen. Each of the 60+ levels presents intricate challenges that demand precise timing and creative thinking as you master the unique screen-wrapping mechanic. Accompanied by a hauntingly beautiful ambient soundtrack, guide the moon through ethereal environments in search of the sun.",https://images.launchbox-app.com/d90487e4-36c5-4af3-946b-331cb2667fd3.png
8Bit Hero,2016-05-12,4.13,,Action Adventure,"Team up with up to four friends in this retro hack-and-slash adventure that blends 2D pixelated characters with 3D environments. Battle through eight worlds and over 30 challenging levels across three difficulty modes—Casual, Arcade, or Hardcore. Explore a secret-filled world to discover hidden weapons, tools, and pixel pieces that extend your hit points. Customize your attacks with special equipment found throughout your journey and spend loot on upgrades. The unique visual style features cardboard-like characters in a pop-up book aesthetic, creating a distinctive retro arcade experience with local co-op gameplay. Sources: - [8Bit Hero Review (Wii U eShop) | Nintendo Life](https://www.n...",https://images.launchbox-app.com/1b8b53f9-d0c0-4dfc-bf2d-5b6dea5bbbee.png
99Moves,2014-02-13,3.64,,Puzzle,"99Moves is a unique puzzle game that challenges you to clear the board in exactly 99 moves or less. Each level presents a grid filled with colored blocks that you must eliminate by matching three or more of the same color. The twist? Every single move counts toward your strictly limited total of 99 moves across the entire game. Strategic planning is essential as you progress through increasingly complex puzzles, deciding when to make aggressive plays and when to conserve moves for later challenges. Chain reactions and careful positioning become critical as the difficulty ramps up. Can you master the perfect sequence of moves to conquer all levels before your move counter hits zero?",https://images.launchbox-app.com/2ef5f7ee-b42c-4061-a619-dc96ece71208.png
