title,released,gf_score,metascore,genre,description,cover_art_url
187 Ride or Die,2005-08-23,,51,Racing Combat,"187 Ride or Die brings street racing and combat together in an explosive urban battleground. Race through the gritty streets of Los Angeles as you build your reputation in the underground racing scene. This isn't just about speed - arm your ride with deadly weapons and take down rivals in intense vehicular combat. Switch between driving and shooting as your co-pilot unleashes devastating firepower on enemy crews. The game features a deep story mode following Buck and Cortez as they fight to control the city's criminal underworld. Customize your vehicles with performance upgrades and an arsenal of weapons from machine guns to rocket launchers. Multiplayer modes let you prove your skills against other players in death races and combat arenas. With its unique blend of street racing and shooter mechanics, authentic hip-hop soundtrack, and raw urban atmosphere, 187 Ride or Die delivers high-octane action where only the strongest survive the streets.",
2002 FIFA World Cup,2002-04-22,,79,Sports,"Experience the drama and excitement of football's greatest tournament in 2002 FIFA World Cup. Take control of any of the 32 qualified nations and lead them through the official stadiums of Korea and Japan. Feel the intensity with aggressive tackles, dramatic diving headers, and bicycle kicks that capture the raw emotion of World Cup competition. The game features authentic player likenesses, official kits, and real tournament structure from group stages to the final. Master the new airplay system for spectacular headers and volleys, while the star player system lets your best performers shine under pressure. Dynamic camera angles and thunderous crowd chants recreate the electric atmosphere of packed stadiums. Challenge friends in multiplayer matches or guide your nation to glory in the official tournament mode.",https://images.launchbox-app.com/38135444-3848-45f9-90f9-925e9d784d6f.jpg
2006 FIFA World Cup,2006-04-24,,77,Sports,"Experience the passion and excitement of football's greatest tournament in 2006 FIFA World Cup. Lead any of 127 national teams through the official qualifying rounds and into Germany for the main event. Feel the atmosphere with authentic stadiums, official match balls, and realistic crowd reactions that capture the World Cup spirit. Master the new shooting mechanics that let you curve, dip and power shots with precision. The Global Challenge mode recreates 40 classic scenarios from World Cup history, letting you rewrite football's most memorable moments. Dynamic gameplay features include aerial battles, physical challenges, and tactical depth that bring authentic international football to life. With official teams, players, and the complete tournament structure, immerse yourself in the journey from qualification to lifting the trophy in Berlin.",
25 to Life,2006-01-17,,41,Shooter,"Choose your side of the law in this gritty urban warfare shooter that blurs the line between cops and criminals. Play as a street-hardened gangster fighting for territory and respect, or suit up as a SWAT officer bringing justice to the streets. Intense multiplayer matches pit law enforcement against organized crime in brutal 16-player online battles. With authentic street slang, motion-captured combat moves, and a hard-hitting hip-hop soundtrack, 25 to Life delivers raw, unfiltered urban combat. In these streets, you're either predator or prey.",https://images.launchbox-app.com/3c6e565d-eb9e-4aed-b4d9-039e9f648d2c.jpg
4x4 Evo 2,2001-11-15,,59,Racing,"4x4 Evo 2 takes off-road racing to the extreme with over 120 licensed vehicles from top manufacturers like Chevrolet, Ford, Dodge, Nissan, and Toyota. Race through diverse environments from arctic tundras to scorching deserts across massive open-world tracks. The revolutionary career mode lets you earn prize money to upgrade and customize your trucks with authentic parts and accessories. Challenge rivals in intense multiplayer races or tackle treacherous terrain in single-player championships. Dynamic weather and realistic physics push your driving skills to the limit as you navigate mud, snow, and rocky obstacles. With detailed damage modeling and authentic SUV handling, every race becomes a test of strategy and endurance in this ultimate 4x4 simulation.",https://images.launchbox-app.com/a6bbd423-cd47-4e18-bcd0-e477e54e76a1.jpg
50 Cent: Bulletproof,2005-11-17,,50,Action,"Step into the gritty underworld as hip-hop icon 50 Cent in this intense action-shooter. Battle through the dangerous streets of New York seeking revenge against those who left you for dead. Experience brutal counter-kill moves that let you take down enemies with bone-crushing style. The game features an original storyline co-written by 50 Cent himself, bringing authentic street credibility to every mission. Unleash devastating combat combos mixing gunplay with hand-to-hand takedowns. Team up with G-Unit members Tony Yayo, Lloyd Banks, and Young Buck as you fight through gang-infested neighborhoods. With exclusive music tracks from 50 Cent and G-Unit, the soundtrack drives the relentless urban warfare. Raw, unfiltered action meets hip-hop culture.",https://images.launchbox-app.com/df81e32d-a2b6-4639-adbf-0f357795aee7.jpg
Advent Rising,2005-05-31,,68,Action Adventure,"Embark on an epic sci-fi odyssey as Gideon Wyeth, a human thrust into an intergalactic war that threatens humanity's very existence. Advent Rising blends intense third-person combat with an evolving psychic powers system that grows stronger as you progress. Switch seamlessly between devastating firearms and telekinetic abilities, lifting enemies and hurling objects with your mind. The dynamic targeting system lets you engage multiple foes simultaneously while performing acrobatic dodges and flips. Experience a sweeping space opera penned by award-winning novelist Orson Scott Card, featuring branching storylines shaped by your critical choices. Master both vehicular combat sequences and on-foot battles across alien worlds. Your decisions determine not only the fate of humanity but which incredible powers you unlock along your journey to becoming humanity's savior.",https://images.launchbox-app.com/c77d6f89-d85c-459e-b0e7-cf931bd2c877.jpg
Æon Flux,2005-11-15,,69,Action,"Based on the acrobatic assassin Æon Flux, this action-packed game puts you in control of the deadly secret agent on a mission to overthrow the oppressive Breen regime. Master Æon's signature fluid combat system, combining martial arts, gunplay, and devastating special moves to eliminate enemies with style. Navigate through the dystopian city of Bregna using parkour-inspired movements - wall-run, swing, and leap across futuristic environments while solving environmental puzzles. Switch between stealth infiltration and explosive action as you uncover a conspiracy that threatens both sides of the conflict. Unlock new abilities and weapons as you progress through a story that expands on the animated series' dark sci-fi universe. Experience cel-shaded visuals that capture the distinctive art style while delivering intense third-person combat and platforming challenges.",https://images.launchbox-app.com/721239bd-2191-413d-bc09-80da92fbfe01.jpg
Aggressive Inline,2002-07-29,,85,Sports,"Tear through massive urban environments on inline skates in this extreme sports masterpiece. Pull off insane trick combinations across sprawling levels filled with rails, ramps, and vertical surfaces. Master the innovative juice meter system that rewards aggressive skating with unlimited grinding and manual balance. Create custom skaters and unlock legendary pros like Chris Edwards and Franky Morales. Each environment offers complete freedom to explore and discover secret areas, from movie lots to industrial complexes. String together grinds, wall rides, and aerial tricks using the intuitive control system that lets you modify tricks mid-air. Compete in challenging objectives or just session your favorite spots. With a killer soundtrack featuring punk and hip-hop tracks, Aggressive Inline delivers the most authentic and creative inline skating experience ever created, pushing the boundaries of extreme sports gaming.",https://images.launchbox-app.com/4cd33fc8-1add-44b9-8135-a9548ad370b2.jpg
AirForce Delta Storm,2001-11-15,,61,Flight Combat,"Take to the skies in AirForce Delta Storm, where you command cutting-edge fighter jets in explosive aerial combat missions. Choose from over 50 authentic military aircraft, each with unique handling and weaponry, as you engage enemy squadrons in breathtaking dogfights. Master challenging missions across diverse environments from arctic tundras to scorching deserts, using advanced tactics and precision flying to outmaneuver opponents. The game features realistic flight physics that reward skilled pilots while remaining accessible to newcomers. Experience intense air-to-air combat, strategic ground strikes, and daring reconnaissance operations. With multiple difficulty levels and unlockable aircraft, every mission offers new challenges as you rise through the ranks to become an ace pilot in this thrilling flight combat experience.",https://images.launchbox-app.com/376bbd7b-2b5a-4297-bf77-092edee99061.jpg
